Ruth Powell	4-(482)899-1307
Virginia Mills	5-(800)914-9670
Linda Cole	8-(700)265-3904
Rebecca Gutierrez	5-(538)944-6995
Denise Rodriguez	0-(054)406-5320
Elizabeth Holmes	8-(137)750-3966
Catherine Garrett	8-(322)714-0279
Rachel Marshall	5-(253)126-2978
Jessica Bailey	2-(378)112-8058
Betty James	2-(338)720-6787
Margaret Lane	5-(326)475-2534
Lisa Berry	7-(189)291-8238
Emily Matthews	7-(327)096-1106
Jessica Mason	6-(537)267-3189
Norma White	4-(445)037-9928
Kathleen Woods	6-(959)635-6477
Kathleen Duncan	4-(426)795-2291
Katherine Williams	7-(032)728-8520
Annie Barnes	6-(728)157-3501
Kathryn Russell	7-(108)570-5671
Betty Castillo	7-(266)989-8419
Virginia Alexander	3-(589)613-4406
Lisa Cruz	0-(791)973-4259
Bonnie Moore	6-(123)992-7317
Lisa Reynolds	8-(862)874-9759
Nicole Chavez	1-(144)947-4041
Janice Wilson	4-(943)028-0500
Phyllis Matthews	6-(461)507-6286
Margaret Banks	4-(893)052-7739
Lisa Holmes	3-(110)331-1014
Jean Mendoza	5-(739)145-0081
Judith Castillo	0-(803)362-8757
Judith Moore	4-(138)796-4321
Donna Dixon	8-(415)248-5431
Ashley Duncan	8-(793)149-7984
Betty Marshall	7-(342)405-5931
Stephanie Murphy	8-(314)942-1243
Bonnie Harris	7-(104)848-5728
Susan Henry	9-(754)312-1052
Julia Lawson	2-(448)387-4233
Sarah Hunter	0-(796)924-0824
Marilyn Mcdonald	6-(567)783-6181
Marilyn Reynolds	9-(363)456-7543
Nancy Murray	7-(492)339-0360
Frances Richardson	5-(378)911-8691
Brenda Price	1-(823)762-6285
Teresa Coleman	4-(422)224-8194
Shirley Collins	5-(554)742-0389
Tammy Perkins	8-(990)876-3896
Emily Williamson	4-(281)138-5261
Lisa Webb	0-(745)202-7902
Kimberly Lynch	4-(125)354-7583
Frances Alexander	2-(608)047-3913
Marie Dunn	7-(407)560-4359
Anne Gibson	6-(128)430-0567
Louise Dean	9-(865)219-1302
Catherine Snyder	6-(225)010-5831
Emily King	8-(129)506-4930
Lois Kennedy	8-(198)473-5558
Lillian Morris	4-(232)813-2100
Ruth Burns	6-(873)928-6263
Joan Sims	1-(111)774-8947
Cheryl Wheeler	9-(816)474-4164
Patricia Wright	1-(598)208-4855
Julie Hughes	5-(842)236-1195
Rachel Peters	9-(365)938-3564
Helen Austin	4-(620)598-9474
Karen Lawrence	6-(046)733-0971
Carol Cruz	4-(843)698-7239
Stephanie Harris	0-(673)809-2091
Alice Adams	9-(581)999-0543
Bonnie Hart	4-(314)960-2724
Beverly Fernandez	5-(720)840-5109
Cheryl Spencer	2-(901)509-9548
Ashley Barnes	7-(817)999-5422
Deborah Marshall	4-(075)891-6137
Julie Woods	2-(389)335-0586
Michelle Turner	9-(929)800-7142
Andrea Ramirez	7-(454)735-8066
Robin Morris	8-(073)765-1712
Amy Adams	3-(778)501-7041
Evelyn Sims	6-(800)536-8573
Amanda Cunningham	7-(413)458-7717
Diana Olson	2-(406)778-7893
Helen Bowman	4-(499)896-9160
Phyllis Jacobs	8-(252)857-3744
Deborah Hanson	3-(803)952-8047
Rose Bradley	5-(465)472-3684
Robin Frazier	7-(571)599-4677
Lori Green	7-(602)691-7212
Julie Elliott	9-(932)240-7924
Jane Mason	5-(977)490-3662
Annie Gardner	6-(032)314-8463
Phyllis Williams	7-(690)262-8876
Debra Gutierrez	1-(218)764-8733
Judith Mills	4-(711)599-8464
Amanda Walker	1-(029)633-1095
Mary Rice	6-(307)149-8076
Brenda Moreno	6-(455)716-6493
Rachel Carter	5-(366)041-0756
Deborah Warren	0-(343)324-8603
Ann Rogers	1-(423)391-5904
Karen Mccoy	4-(138)229-0641
Joan Webb	9-(580)632-5087
Teresa Turner	4-(449)820-8825
Rose Lopez	0-(440)706-7708
Mildred Cox	5-(520)478-4470
Angela Rice	8-(496)846-1618
Donna Mills	2-(842)127-3983
Kathleen Lewis	6-(805)391-2523
Denise Barnes	1-(513)298-1873
Joyce Murphy	5-(529)073-7124
Rose Grant	6-(461)475-6207
Denise Adams	3-(903)015-5133
Theresa Gutierrez	1-(119)182-2726
Lori Morgan	3-(324)453-4777
Diana Holmes	8-(717)114-7218
Cheryl Boyd	7-(068)806-9516
Tina Stewart	5-(478)042-7843
Debra Hansen	3-(230)647-3658
Christina West	8-(904)267-7140
Cynthia Porter	5-(058)016-9489
Dorothy Schmidt	6-(276)375-9138
Lori Kennedy	3-(119)025-2151
Janet Howard	0-(476)667-5694
Robin Garrett	6-(420)681-0898
Anna Walker	5-(234)680-5341
Dorothy Porter	7-(813)016-4784
Janet Dean	7-(448)513-5681
Debra Hughes	7-(872)928-2466
Marilyn Phillips	8-(867)280-2442
Denise Ruiz	9-(768)888-3014
Kimberly Bell	1-(831)292-5825
Pamela West	4-(137)612-0585
Ann Grant	1-(644)325-2845
Jessica Wallace	2-(503)101-2918
Kathryn Bishop	2-(427)229-0182
Nancy Butler	2-(341)557-7271
Jean Perkins	4-(456)878-5304
Rebecca Matthews	7-(050)630-3369
Margaret Burke	3-(927)244-9226
Joyce Williams	5-(257)598-2327
Emily Webb	2-(329)102-3920
Christina Duncan	5-(168)950-1425
Andrea Wallace	5-(916)934-7878
Gloria Campbell	3-(527)262-6067
Catherine Hunter	2-(273)198-3907
Karen Owens	7-(064)292-8675
Kathy Rodriguez	1-(002)381-4406
Kelly Wallace	6-(448)216-4775
Robin Duncan	2-(164)400-1940
Cynthia Mills	5-(959)875-7229
Marilyn Powell	6-(515)926-9228
Helen Hicks	5-(577)132-6894
Sarah Howard	6-(069)376-3970
Diane Harvey	6-(165)319-3636
Brenda Reynolds	4-(807)666-9755
Robin Jacobs	0-(416)494-9395
Phyllis Mason	0-(750)585-3107
Karen Watkins	8-(143)481-3885
Rose Ellis	5-(829)493-3119
Rebecca Coleman	9-(281)394-8853
Helen Clark	4-(636)093-9594
Evelyn Wheeler	9-(043)401-5773
Maria Cruz	1-(124)936-6790
Theresa Barnes	5-(822)145-7185
Nancy Graham	0-(276)017-0459
Maria Dixon	0-(235)304-2891
Beverly Burton	9-(093)557-1759
Beverly Hart	8-(718)849-2312
Margaret Ruiz	8-(995)374-5677
Sarah Jacobs	4-(848)086-6918
Rose Elliott	9-(856)410-4219
Diana Owens	5-(727)591-6588
Bonnie Dean	7-(187)373-8219
Shirley Henry	9-(415)457-4261
Betty Rogers	8-(029)121-9494
Martha Long	0-(985)904-3680
Ruth Lewis	1-(318)441-5983
Bonnie Diaz	0-(342)146-9362
Judy Cox	2-(860)265-5362
Rose Wright	8-(629)706-0650
Janet Lane	4-(380)660-8921
Janet Clark	0-(324)755-1016
Mary Carter	7-(425)584-2177
Andrea Romero	2-(785)501-3390
Virginia Anderson	4-(817)089-8932
Patricia Day	0-(762)883-8601
Joyce Arnold	8-(549)282-2638
Betty Fisher	7-(649)498-1006
Alice Griffin	8-(874)772-9505
Katherine Jenkins	5-(655)647-3654
Catherine Sanchez	8-(268)562-6652
Sara Matthews	2-(970)650-0019
Shirley Grant	4-(967)720-4146
Ann Jones	7-(354)708-1082
Ruby Garcia	5-(069)175-8223
Louise Ortiz	0-(870)471-9408
Nicole Mason	5-(475)376-6696
Marilyn Robertson	4-(856)025-8965
Ruby Ruiz	1-(082)602-0219
Diane Brown	4-(993)150-9762
Judith Rose	8-(541)807-8023
Kathy Wagner	6-(704)990-7875
Kathy Bailey	9-(232)094-7645
Evelyn Griffin	0-(725)054-1162
Ashley Gray	6-(093)825-3689
Carolyn Smith	3-(020)526-4401
Julia Edwards	0-(435)423-3549
Linda Shaw	2-(648)998-6737
Jacqueline Robinson	9-(135)667-0816
Tammy Rice	8-(101)963-5660
Theresa Mccoy	8-(988)577-2890
Lois Bailey	7-(760)783-3409
Debra Morris	4-(177)112-9676
Susan Burns	5-(858)469-9647
Heather Cooper	3-(375)352-4712
Martha Jordan	6-(842)282-1986
Elizabeth Lopez	5-(348)087-5845
Lois Carr	3-(702)720-0623
Janice Johnston	3-(832)466-5358
Pamela Young	1-(049)359-8219
Tina Simmons	8-(557)618-0199
Jean Hughes	4-(026)282-8340
Christine Porter	5-(942)177-6068
Sharon Powell	3-(236)179-1378
Janice Lawson	0-(278)744-4640
Marilyn Weaver	8-(287)855-3383
Rachel Murray	2-(405)536-0045
Sharon Hunt	7-(760)258-8499
Sarah Evans	1-(795)339-6262
Rachel Lewis	2-(624)567-8248
Sara Anderson	5-(360)931-9302
Lois Adams	7-(347)861-3911
Andrea Carter	2-(641)858-6249
Joan Patterson	9-(495)636-8856
Linda Rice	9-(565)005-6135
Marilyn Stewart	8-(164)251-3953
Judy Elliott	3-(397)553-4967
Judith Hawkins	3-(260)087-6122
Lillian Welch	2-(727)888-5041
Rebecca Powell	8-(268)678-0855
Stephanie Knight	3-(209)453-5464
Theresa Shaw	6-(348)601-5570
Mildred Hart	3-(702)511-5295
Marilyn Fields	7-(182)443-8539
Susan Long	2-(491)917-9404
Christine Gilbert	1-(502)528-3058
Martha Sullivan	0-(719)792-7405
Paula Evans	4-(362)865-1997
Carol Wilson	2-(190)184-5333
Heather Simpson	3-(033)931-9078
Cheryl Stevens	4-(402)430-6811
Mildred Washington	9-(307)493-5621
Andrea Gutierrez	9-(853)365-9337
Gloria Hernandez	7-(919)654-7762
Amy Johnson	7-(524)762-1525
Elizabeth Hicks	4-(146)482-1384
Virginia Hayes	9-(316)957-2303
Diana Gomez	7-(394)600-2362
Amy Brown	4-(458)416-8466
Robin Stevens	9-(993)372-1654
Amanda Flores	0-(450)755-1538
Barbara Brooks	2-(704)950-6412
Julie Anderson	1-(080)504-3349
Mildred Spencer	6-(708)812-2046
Jane Grant	9-(026)967-3255
Mildred Graham	9-(530)626-4354
Deborah Montgomery	3-(240)474-2024
Sarah Fields	4-(634)995-6006
Jessica Meyer	5-(073)307-3752
Lois Hunt	4-(026)857-2656
Louise Harper	3-(153)334-1997
Teresa Wilson	1-(318)319-0154
Kathy Reynolds	4-(727)381-7440
Robin Freeman	7-(759)386-6727
Dorothy Snyder	4-(290)624-2016
Kathryn Mcdonald	5-(051)106-2606
Louise Shaw	3-(534)443-7128
Paula Bishop	2-(424)204-7086
Janice Lopez	7-(405)855-5556
Cynthia Ruiz	8-(451)573-5410
Jean Long	3-(150)910-1709
Irene Williamson	9-(820)199-3075
Rebecca Washington	8-(952)411-7359
Kimberly Wright	9-(970)393-5573
Maria Fowler	6-(662)856-0089
Pamela Ellis	7-(256)879-6286
Ruby Montgomery	1-(981)589-2977
Sandra Russell	8-(521)594-9829
Sandra Palmer	8-(712)738-5373
Emily Mitchell	2-(813)611-4371
Angela Daniels	6-(908)830-1517
Anna Greene	3-(620)998-1386
Helen Andrews	8-(252)339-9952
Diana Vasquez	8-(100)495-6492
Janet Rodriguez	8-(307)005-6587
Janice Davis	3-(895)437-7948
Christina Peterson	3-(578)220-9767
Andrea Vasquez	6-(994)368-0152
Helen Boyd	1-(444)290-6413
Alice Mills	5-(378)783-7303
Debra Gutierrez	4-(145)502-4174
Christine Sanchez	1-(138)024-9580
Kathleen Pierce	7-(537)585-4660
Kelly Ford	6-(118)891-2951
Alice Payne	3-(039)547-1658
Judith Hayes	9-(827)291-9958
Tina Bell	2-(754)561-1882
Elizabeth Knight	4-(931)434-4234
Rebecca Lynch	6-(237)224-8443
Janice Collins	0-(344)828-0672
Phyllis Powell	6-(425)448-3203
Debra Reynolds	6-(766)772-8026
Lillian Dunn	1-(011)782-9579
Helen Fisher	4-(305)076-0910
Rose Rivera	1-(695)952-2131
Nicole Peterson	7-(631)255-5577
Gloria Thompson	1-(323)905-6263
Nancy Welch	4-(233)809-1962
Carolyn Crawford	3-(248)030-7247
Maria Elliott	5-(137)646-8845
Julia Sanchez	8-(537)536-2075
Kathleen Hanson	5-(918)934-8840
Anna Cox	7-(481)766-4860
Denise Collins	1-(976)538-1573
Sharon Fernandez	4-(147)701-0867
Mildred Brown	1-(531)922-8017
Anna Allen	3-(821)420-9106
Angela Wagner	3-(001)457-9166
Irene Wheeler	6-(367)758-9358
Andrea Rodriguez	4-(896)964-8216
Melissa West	5-(183)538-1623
Tammy Day	1-(195)497-2111
Alice Morrison	0-(130)749-2427
Karen Medina	2-(603)211-1062
Stephanie Williams	8-(242)938-8453
Carol Walker	2-(332)696-9359
Betty Perry	5-(581)325-6464
Rose Perez	7-(546)541-7508
Virginia Perkins	6-(114)457-2776
Rebecca Reed	9-(623)154-8934
Nancy Reed	3-(945)540-3839
Jean Stewart	9-(121)472-4447
Frances Rose	1-(015)102-4898
Sharon Brown	0-(450)394-9292
Kathleen Ellis	1-(203)193-0579
Julia Bennett	1-(636)992-9337
Jean Murphy	2-(010)191-4241
Louise Parker	4-(751)544-9872
Beverly Romero	1-(734)864-7324
Jacqueline Harper	3-(180)977-4810
Tina Montgomery	3-(441)253-9587
Kathy Miller	2-(585)633-7872
Ashley Taylor	6-(858)446-6600
Katherine Gray	9-(742)177-8651
Emily Hill	6-(898)861-1103
Martha Wagner	4-(255)003-5397
Karen Gibson	9-(746)267-3397
Frances Riley	6-(148)194-8596
Jean Cox	0-(295)879-9944
Carolyn Hansen	2-(006)780-7401
Kathleen Fox	6-(205)566-1668
Heather Griffin	9-(413)264-4363
Jane Graham	3-(387)921-2667
Tammy Wood	2-(375)813-3689
Shirley Cruz	5-(766)290-4531
Rose Thomas	8-(296)610-1544
Tammy Burke	3-(243)819-4787
Andrea Carter	1-(957)589-7758
Cheryl Butler	2-(301)576-3352
Amanda Phillips	6-(403)271-5626
Rachel Hawkins	1-(246)660-3580
Sharon Barnes	8-(503)603-5808
Sharon Kelley	0-(158)323-9236
Betty Perkins	2-(010)243-1054
Julia Marshall	4-(596)158-9942
Beverly Nelson	8-(869)782-4261
Cynthia Bowman	1-(122)501-3550
Rebecca Stewart	1-(298)395-6963
Laura Graham	3-(038)346-4165
Julia Wright	9-(650)499-0416
Margaret Robinson	5-(490)634-7094
Betty Lane	2-(906)956-3806
Kimberly Rogers	0-(681)511-3665
Melissa Mcdonald	2-(819)019-8507
Stephanie Day	3-(664)558-7578
Jennifer Ramirez	1-(408)355-4934
Ruby Davis	0-(712)708-4809
Pamela Boyd	1-(121)422-5577
Margaret Greene	5-(379)590-0906
Nicole Armstrong	8-(872)882-9444
Ruby Wagner	0-(515)989-0539
Beverly Myers	7-(603)409-3107
Frances Cruz	0-(662)423-7473
Kelly Ray	7-(130)953-0185
Tina Bishop	2-(187)534-4986
Maria Rose	5-(753)361-6448
Marie Simpson	9-(963)382-1750
Margaret Hamilton	3-(517)723-6814
Joyce Cook	5-(295)404-5539
Cynthia Price	8-(827)537-0631
Debra James	7-(257)279-2656
Judith Payne	5-(726)019-1262
Wanda Holmes	7-(817)327-6036
Emily Dixon	8-(532)906-5204
Marie Taylor	3-(901)597-6323
Kimberly Fowler	7-(162)967-8826
Wanda Frazier	0-(664)061-3095
Nancy Walker	1-(770)027-9612
Bonnie Russell	2-(121)933-9589
Debra Ortiz	5-(651)157-7614
Jennifer Gomez	9-(699)124-8177
Heather Coleman	6-(569)587-9126
Stephanie Warren	7-(012)229-7049
Dorothy White	8-(049)689-6761
Betty Thomas	2-(737)382-1011
Sandra Nelson	5-(228)829-8862
Marilyn Hansen	5-(041)705-9000
Robin Lane	5-(353)222-9006
Louise Greene	6-(764)518-5886
Ruby Cox	4-(942)142-3663
Frances Lee	9-(974)415-9325
Julie Willis	9-(747)683-1188
Jennifer Hamilton	2-(525)902-5641
Annie Thomas	2-(886)965-2558
Ruby Porter	3-(714)171-0987
Cheryl Weaver	5-(436)905-9666
Martha Henry	4-(840)839-5575
Angela Clark	9-(046)241-7436
Shirley Edwards	7-(494)923-5431
Rose Campbell	7-(904)988-4572
Marie Lee	9-(607)551-1913
Amy Duncan	0-(598)449-3736
Katherine Greene	1-(587)045-5526
Shirley Hicks	3-(786)640-6372
Jessica Reed	6-(227)373-8232
Sara Clark	1-(827)033-0257
Gloria Spencer	6-(494)230-3300
Kathleen Tucker	3-(951)135-5363
Melissa Kim	4-(461)036-1020
Martha Long	1-(454)772-5622
Sandra Crawford	5-(315)009-4703
Cheryl Bradley	8-(965)226-0313
Maria Simpson	7-(589)413-9356
Diane Carter	4-(520)915-7738
Lois Alvarez	5-(710)702-2231
Robin Evans	7-(322)882-8738
Rebecca Morrison	6-(855)109-8505
Marilyn Ross	8-(899)980-7232
Kathleen Duncan	4-(040)284-9811
Tina Simmons	4-(866)596-4547
Ruth Hernandez	3-(247)935-2017
Paula Walker	7-(281)752-8342
Amanda Fowler	8-(629)129-8643
Diana Parker	3-(498)309-0804
Kathryn Richardson	3-(039)442-5396
Christina Black	9-(056)291-6424
Doris Castillo	9-(931)104-0446
Denise Hernandez	1-(073)603-9151
Kathryn Flores	3-(019)096-5404
Frances Black	8-(431)796-4857
Irene Moreno	3-(972)395-6485
Bonnie Burton	9-(572)743-8253
Robin Freeman	7-(432)810-7573
Beverly Young	4-(075)171-7757
Debra Davis	7-(161)658-1214
Ruth Andrews	5-(699)097-9820
Janet Fields	2-(703)693-4825
Amanda Castillo	4-(560)766-1452
Mildred Weaver	3-(941)759-0482
Jacqueline Rice	8-(297)720-7792
Ruth Kelley	9-(763)990-2231
Irene Baker	9-(871)451-6806
Carolyn Garrett	6-(179)450-1964
Patricia Kelly	8-(047)221-9048
Janice Harvey	3-(035)724-9162
Julia Hudson	9-(423)584-8431
Judith Rogers	9-(063)603-5330
Emily Hawkins	8-(602)850-6207
Jacqueline Wallace	5-(684)135-9565
Kathleen Gibson	2-(567)355-8717
Jacqueline Jordan	9-(445)414-4229
Dorothy Gonzalez	8-(904)266-5874
Lois Larson	7-(393)241-7426
Gloria Ruiz	2-(682)140-0898
Christina Vasquez	6-(441)732-1268
Frances Gilbert	5-(632)648-1817
Susan Mendoza	9-(745)844-6673
Lois Chapman	4-(112)688-3885
Mary Bishop	9-(444)920-1706
Heather Johnson	1-(717)944-0841
Paula Gonzalez	1-(788)931-3753
Sara Stanley	5-(797)085-3128
Jean Perkins	2-(262)377-1444
Angela Dunn	9-(845)477-4624
Maria Gilbert	8-(219)483-0106
Frances Gibson	0-(981)333-1682
Amy Dunn	2-(709)145-1918
Judy Ward	8-(042)356-9700
Rachel Grant	8-(102)077-5448
Teresa Alvarez	3-(405)468-2785
Norma Nichols	6-(636)170-2820
Catherine Greene	4-(161)829-7736
Marie Porter	1-(277)432-8646
Evelyn Lopez	3-(780)767-5494
Lillian Dunn	3-(349)779-8513
Ruth Ray	7-(665)183-3030
Kathy Hunter	2-(958)324-7278
Mildred Bowman	2-(079)205-5517
Emily Watson	6-(404)491-3947
Emily Kelly	2-(985)436-2686
Shirley Johnston	2-(727)433-3245
Linda Gonzales	8-(947)086-0631
Denise Arnold	1-(760)260-8769
Ruby Berry	6-(186)444-0811
Judith Montgomery	1-(533)589-6025
Judith Grant	2-(705)128-8290
Frances Powell	6-(541)454-3760
Marie Stephens	6-(329)385-4643
Shirley Elliott	2-(582)110-9132
Elizabeth Perry	4-(231)315-9184
Janet Ryan	2-(394)954-7199
Lisa Ferguson	8-(546)298-5475
Diane Simmons	8-(127)337-2190
Gloria Perez	4-(073)345-2838
Patricia Campbell	9-(732)899-8944
Heather Watson	6-(494)127-6587
Helen Ramos	8-(241)695-6775
Barbara Banks	7-(777)593-0898
Rebecca Ramirez	7-(942)797-2121
Elizabeth Martin	0-(406)856-3156
Jacqueline Ray	1-(123)332-1491
Joan Garcia	5-(537)959-4730
Jennifer Sanchez	9-(903)306-9669
Pamela Jordan	7-(099)372-5780
Evelyn Jones	6-(391)924-6242
Annie Palmer	2-(396)479-4320
Andrea Turner	4-(832)674-6524
Denise Reynolds	2-(255)523-1625
Judith Robertson	5-(444)366-5950
Teresa Henderson	1-(505)252-5905
Diane Peters	2-(571)462-6991
Frances Gordon	9-(403)175-1747
Rachel Fernandez	4-(752)844-7357
Heather Armstrong	8-(129)698-8671
Annie Young	5-(835)520-3005
Lori Payne	2-(197)419-0848
Andrea Carr	3-(169)067-4447
Wanda Mccoy	4-(788)224-6190
Norma Moore	0-(586)761-6364
Jessica Anderson	0-(435)315-9247
Carol Ryan	4-(608)840-8915
Laura Smith	0-(353)072-8435
Carol Johnston	6-(430)055-4590
Pamela Kelly	4-(104)023-3200
Catherine Gray	5-(381)239-9845
Nicole Henry	7-(490)456-7519
Karen Russell	4-(930)498-5678
Pamela Anderson	7-(774)767-7063
Paula Reyes	8-(162)025-4851
Cheryl Scott	1-(682)151-8890
Kimberly Lopez	9-(346)063-9417
Irene Edwards	1-(737)291-2098
Katherine Brooks	2-(119)171-8065
Susan Nguyen	8-(423)514-6771
Linda Carroll	2-(938)712-7562
Tammy Flores	5-(639)595-1793
Lori Schmidt	5-(226)488-5851
Theresa Johnston	9-(343)709-3563
Susan Berry	0-(153)521-6133
Kelly Moore	5-(214)812-2430
Katherine Wells	7-(834)957-4937
Karen Lopez	8-(255)784-7628
Marilyn Porter	2-(368)385-9777
Martha Myers	7-(411)921-8693
Mary Garza	9-(255)542-3086
Ruth Reed	8-(697)534-9408
Judy Mendoza	5-(798)648-7905
Jennifer Carr	8-(286)726-9477
Jane Garrett	8-(412)882-2203
Robin Turner	4-(773)430-9968
Angela Butler	4-(301)596-8197
Evelyn James	7-(042)330-6465
Anna Webb	2-(771)395-7031
Diana Harvey	2-(359)210-3694
Theresa Rice	3-(131)640-0236
Helen Reed	5-(825)704-2819
Lori Montgomery	3-(651)400-3983
Carol Matthews	7-(328)238-8504
Lori Ramirez	3-(660)233-2077
Lori Simmons	5-(103)915-7797
Kelly Hayes	7-(522)692-0875
Cheryl Jordan	4-(891)448-7505
Lisa Berry	4-(963)644-5394
Betty Russell	0-(530)380-8765
Tammy Hudson	8-(077)328-9400
Rebecca Hill	2-(486)412-7174
Michelle Day	2-(304)922-1046
Kathryn Burke	3-(044)959-6353
Lisa Elliott	1-(911)429-5635
Emily Stewart	7-(278)441-9732
Diana Crawford	4-(185)438-9442
Frances Stewart	2-(936)549-8308
Norma Ramos	2-(593)137-3358
Marilyn Gilbert	6-(846)034-1353
Kathy Wright	2-(582)776-0491
Pamela Harper	0-(222)711-7862
Sandra Little	1-(221)225-3906
Ruby Garrett	0-(774)776-2857
Irene Sanchez	7-(846)712-8280
Bonnie Cunningham	8-(080)982-1664
Rachel Hawkins	5-(909)389-4520
Andrea Hernandez	9-(050)839-8756
Carolyn Morales	2-(597)262-0795
Norma Powell	3-(834)863-6291
Judy Jones	9-(068)932-3564
Margaret Long	9-(620)264-5967
Melissa Wilson	3-(570)446-9548
Sarah Holmes	1-(592)678-3574
Lisa Little	2-(902)345-7223
Kathryn Nguyen	8-(543)090-2958
Diana Porter	2-(417)617-7443
Jessica Cole	4-(343)052-3975
Pamela Gonzales	7-(575)094-2045
Theresa Coleman	9-(767)297-9743
Rachel Lawson	9-(748)552-1007
Lisa Allen	3-(702)462-7937
Frances Ferguson	0-(489)860-3320
Diane Flores	8-(142)842-3672
Anna Robinson	4-(710)551-9672
Christine Rogers	7-(207)462-2781
Rachel Stevens	6-(265)387-1513
Margaret Burke	8-(220)799-7644
Linda Davis	0-(545)559-8886
Amy Alexander	0-(960)516-5893
Shirley Jenkins	6-(086)088-9628
Kelly Bradley	5-(337)746-7968
Judy Lawrence	6-(536)267-8295
Paula Tucker	5-(273)101-3648
Kathy Rodriguez	0-(174)684-8695
Mary Allen	7-(661)715-9647
Betty Grant	9-(052)590-7839
Wanda Jenkins	4-(195)214-6098
Andrea Johnston	4-(401)843-1547
Diane Daniels	6-(593)233-0951
Denise Palmer	5-(290)466-8714
Annie Brooks	1-(970)547-6992
Patricia Thomas	4-(533)349-2203
Angela Anderson	7-(110)328-2001
Nancy Day	7-(989)972-3198
Wanda Flores	9-(288)965-3352
Betty Parker	5-(527)719-9555
Christina Burke	9-(658)953-3725
Robin Thompson	8-(258)072-2594
Margaret Fox	2-(718)780-0590
Cheryl Miller	1-(617)721-1401
Diana Jenkins	5-(416)182-5939
Helen Mccoy	5-(743)537-6599
Ashley Cox	5-(504)994-3839
Norma Brooks	2-(488)296-2292
Jacqueline Knight	1-(135)433-8692
Marie Carr	7-(041)260-0133
Julie Hawkins	4-(345)117-9820
Anna Ford	4-(055)850-2911
Janice Dunn	3-(589)794-7217
Marilyn Bradley	9-(441)951-3647
Robin Elliott	1-(521)606-4895
Sarah Daniels	9-(690)475-6665
Robin Webb	7-(554)505-8832
Andrea Hudson	1-(812)508-0072
Joan Black	4-(309)393-3012
Donna Fields	8-(275)804-1453
Julie Lee	0-(920)504-3212
Joan Long	5-(336)325-8451
Kathy Frazier	3-(748)900-7474
Julie Greene	0-(036)526-4965
Rose Frazier	4-(447)333-8528
Marie Watkins	2-(025)215-0359
Marilyn Cole	3-(989)581-3290
Joyce Wood	1-(127)044-3834
Janet Medina	6-(386)399-0285
Joan Ramirez	2-(108)642-9527
Kimberly Hudson	6-(701)551-1076
Irene Palmer	2-(857)547-1134
Shirley Mitchell	6-(113)034-0850
Emily Grant	8-(945)259-1925
Tammy Thompson	8-(961)457-8438
Jacqueline Lawrence	7-(874)602-1165
Ashley Shaw	1-(512)532-9510
Rebecca Dixon	9-(345)000-6117
Alice Reed	6-(166)567-4967
Joan Wood	5-(200)600-2950
Linda Carpenter	9-(606)156-2627
Laura Rice	4-(840)771-3183
Lisa Adams	4-(538)314-5898
Dorothy Mitchell	5-(129)445-3906
Tammy Butler	6-(385)733-6558
Christine Butler	8-(194)161-5237
Jessica Holmes	4-(783)880-5596
Emily Collins	7-(257)647-5055
Beverly Powell	0-(743)314-3072
Maria Washington	1-(860)672-9090
Virginia Welch	9-(731)665-9282
Norma Richards	5-(891)164-6421
Andrea Ward	2-(054)789-3022
Amanda Jacobs	1-(577)190-7848
Carolyn Jones	6-(516)631-4462
Jean Burke	5-(757)677-6063
Emily White	8-(982)811-1094
Rebecca Mendoza	2-(498)194-3457
Catherine Jenkins	4-(688)579-6931
Nancy Cooper	5-(295)235-7923
Judith Lawrence	5-(078)420-3916
Jean Gordon	4-(743)924-5379
Kathryn Willis	2-(163)983-7456
Bonnie Reid	1-(807)672-8945
Ruth Dean	5-(659)093-5854
Jean Jenkins	0-(519)391-8538
Ruth Schmidt	2-(927)552-0171
Deborah Ward	5-(276)952-4165
Kathy Cruz	6-(026)717-8468
Nancy Alexander	7-(468)409-6824
Phyllis Arnold	3-(539)694-1530
Anne Garza	1-(465)185-5345
Doris Nelson	2-(755)849-5646
Teresa Mcdonald	4-(998)502-5151
Paula Alexander	8-(352)760-4329
Janet Dunn	3-(939)852-4091
Judith Reynolds	1-(069)916-3096
Cheryl Burns	1-(967)690-5870
Marilyn Stevens	6-(822)737-3748
Judith Dunn	7-(746)592-0572
Anne Smith	6-(668)703-6797
Tammy Arnold	9-(985)063-4893
Diane Bradley	4-(790)896-4575
Theresa Torres	4-(235)832-7713
Joyce Palmer	6-(775)908-9475
Frances Kim	2-(674)768-7830
Robin Meyer	5-(791)315-0313
Kathy Fernandez	5-(904)976-4298
Cheryl Reyes	6-(369)364-4571
Gloria Miller	9-(233)507-8630
Annie Rodriguez	7-(506)698-6093
Jacqueline Garcia	5-(313)236-0992
Janice Martinez	3-(395)827-1130
Christine Jordan	2-(995)044-5934
Cynthia Mills	8-(526)704-2648
Rose Jordan	0-(398)982-6983
Jessica Brooks	8-(940)282-4675
Nancy Andrews	9-(374)777-2268
Barbara Reed	3-(051)704-3937
Irene Ford	7-(043)188-1710
Joan Marshall	3-(223)815-6531
Rebecca Patterson	5-(469)686-8339
Beverly Martin	0-(175)196-6986
Kathleen Sanders	8-(832)612-2009
Barbara Coleman	7-(448)025-0671
Mary Bryant	6-(823)219-7898
Jessica Boyd	0-(261)207-4396
