Alice Walker	5-(786)140-3346
Ruth Mason	8-(475)722-0049
Julia Walker	9-(796)834-3745
Irene Matthews	7-(311)429-8958
Nicole James	0-(872)714-5494
Ann Jackson	4-(821)857-9971
Dorothy Parker	5-(307)915-5050
Deborah Hunter	0-(654)147-5757
Andrea Mills	0-(336)608-8792
Lisa Carroll	6-(797)619-9917
Angela Harvey	5-(084)349-3681
Virginia Ruiz	0-(107)058-4802
Amy Reynolds	4-(661)407-4976
Angela Jacobs	7-(640)410-9088
Angela Peterson	0-(053)454-7517
Shirley Larson	5-(548)923-4290
Louise Gibson	7-(514)948-5800
Betty Phillips	9-(338)461-4282
Frances Harrison	6-(524)881-7119
Sara Stewart	6-(722)968-4769
Tammy Chapman	9-(434)587-8095
Barbara Hamilton	4-(924)124-1680
Debra Vasquez	6-(407)553-1905
Heather Mason	1-(045)646-2146
Lillian Graham	0-(598)158-4739
Susan Grant	0-(469)598-4829
Debra Gray	3-(337)182-4232
Barbara Carr	6-(150)846-3201
Shirley Lee	2-(590)438-1474
Shirley Sanders	0-(005)620-4409
Linda Austin	9-(000)174-5552
Kelly Mcdonald	1-(351)073-4615
Virginia Russell	6-(382)643-5080
Joyce Mcdonald	3-(775)196-4648
Helen Dixon	9-(936)669-7386
Pamela Graham	9-(946)567-4980
Sandra Smith	5-(850)734-9869
Maria Henderson	7-(892)654-3945
Nancy Knight	5-(510)729-3964
Nicole Cruz	9-(081)772-7693
Rose Garrett	3-(321)809-4697
Laura Coleman	6-(635)329-9230
Kathryn Gray	4-(950)401-5476
Stephanie Gomez	8-(502)711-2757
Lois Gonzales	2-(560)700-7462
Joyce Ray	7-(102)125-5995
Sara Ortiz	5-(615)915-5253
Dorothy Roberts	3-(767)320-4744
Jean Ramirez	4-(871)153-0485
Margaret Chavez	9-(728)617-0136
Carolyn Lee	5-(916)833-0863
Carol Perez	0-(288)571-3561
Louise Payne	8-(044)294-7192
Janice Hall	0-(408)974-1822
Donna Clark	1-(774)128-8203
Sharon Mitchell	2-(160)731-8714
Michelle Foster	3-(638)640-4474
Diana Ferguson	7-(296)349-9502
Jacqueline Griffin	3-(183)352-6604
Robin Stevens	1-(334)642-8788
Joan Myers	5-(601)964-8064
Mildred Brown	1-(073)809-9560
Debra Hawkins	3-(979)142-5217
Gloria Bryant	4-(511)191-2222
Joan West	3-(279)727-9580
Andrea Moreno	4-(097)708-1870
Carol Mendoza	0-(253)026-2048
Betty Mendoza	2-(454)754-9079
Janice Hart	1-(007)907-7492
Laura Webb	9-(349)680-2088
Angela Fields	5-(615)875-4530
Jean Crawford	0-(985)519-7389
Nancy Simmons	7-(226)523-0454
Kelly Oliver	9-(563)330-5481
Julie Graham	9-(953)433-2615
Jacqueline Rice	7-(701)549-5717
Kathryn Perry	8-(269)022-0832
Kathy Ward	3-(386)593-5198
Elizabeth Fowler	1-(553)286-0903
Robin Murphy	9-(376)582-5263
Laura Coleman	0-(779)046-7821
Dorothy Clark	1-(171)859-5829
Evelyn Vasquez	5-(711)759-0072
Frances Parker	4-(079)492-5353
Dorothy Romero	1-(947)786-4280
Jean Thompson	4-(933)313-8741
Melissa Anderson	4-(831)834-0066
Sharon Nguyen	6-(066)894-4108
Jessica Murphy	2-(021)107-7310
Irene Reynolds	9-(434)956-0467
Carolyn Graham	2-(448)813-4809
Cheryl Cook	2-(703)156-3647
Angela Lane	1-(094)410-8945
Laura Ford	7-(011)041-2583
Anne Mason	9-(856)671-4660
Ann Torres	4-(209)124-2730
Michelle Arnold	3-(166)109-2025
Marilyn Gardner	3-(364)902-9017
Annie Gonzales	0-(167)100-4407
Tina Harrison	3-(884)557-2778
Linda Wagner	1-(639)738-4160
Janice Baker	3-(210)475-5584
Bonnie Brooks	9-(466)412-5142
Maria Howell	0-(418)164-7428
Michelle Reed	9-(607)338-4933
Emily Daniels	6-(035)350-8409
Christine Garza	3-(503)322-9809
Martha Richardson	6-(538)223-6183
Nicole Nichols	6-(828)270-9606
Lois Ruiz	6-(397)568-2661
Amanda Murphy	1-(283)814-2889
Emily Ray	9-(670)617-6471
Nicole Smith	4-(742)304-4939
Rebecca Black	5-(964)439-4268
Kathy Phillips	3-(699)449-8648
Julie Welch	4-(663)184-9564
Jessica Allen	3-(814)734-8478
Rebecca Dunn	2-(923)669-4962
Susan Romero	6-(384)216-9252
Teresa Powell	7-(335)744-9344
Lisa Sims	8-(729)053-7507
Rebecca Palmer	1-(001)254-6680
Lois Hayes	2-(437)643-7948
Lori Myers	6-(777)743-4909
Virginia Wood	0-(307)889-9848
Donna Rice	0-(294)603-6521
Ashley Ross	3-(824)433-0075
Paula Rodriguez	6-(433)554-2277
Jacqueline Day	8-(094)699-3393
Mary Henderson	8-(994)203-4950
Ruth Sanders	8-(454)723-6799
Amanda Murphy	7-(808)678-8150
Anne Morrison	7-(133)272-6584
Sharon Reed	9-(300)320-0668
Irene Gonzales	9-(723)237-8034
Jane Young	2-(410)248-8941
Katherine Fernandez	3-(687)162-3026
Marilyn Morales	5-(293)467-7624
Lillian Frazier	7-(787)832-6649
Cynthia Wallace	0-(130)531-1415
Tina Campbell	1-(025)063-6136
Melissa Alexander	8-(645)776-5647
Betty Welch	8-(655)511-6653
Kelly Green	7-(428)101-6319
Janice Andrews	4-(026)577-4909
Catherine Rice	2-(504)775-3964
Laura Mcdonald	1-(060)388-4057
Irene Gray	1-(066)681-8265
Martha Morrison	3-(235)337-4940
Rachel Gutierrez	8-(889)312-0389
Cynthia Warren	5-(523)343-6896
Rose Foster	9-(203)325-3409
Cheryl Schmidt	5-(618)418-2745
Rose Warren	5-(717)858-4581
Heather Vasquez	4-(395)126-1074
Virginia Fernandez	9-(196)898-3146
Lillian Jackson	7-(401)443-8284
Janice Lopez	3-(729)136-5102
Ruth Ward	0-(394)528-9078
Kathy Harper	3-(013)350-6427
Ruby Clark	6-(748)323-2692
Lisa Collins	7-(861)231-8957
Debra Baker	9-(595)448-8727
Deborah Griffin	2-(169)536-1345
Stephanie Hayes	6-(679)222-4775
Judith Moreno	7-(638)466-7832
Christine Smith	8-(191)681-1817
Mildred Carter	0-(499)207-5256
Christina Hanson	0-(533)227-3325
Gloria Ruiz	8-(562)781-4657
Linda Walker	0-(857)386-1836
Katherine Burton	6-(577)123-6139
Julie Rodriguez	1-(899)011-2503
Kathy Freeman	9-(392)412-3941
Lisa Miller	2-(214)372-0982
Anna Robertson	6-(119)248-4954
Amy Gardner	5-(131)684-6589
Joan Rodriguez	6-(071)910-5245
Kathryn Gomez	8-(188)569-1537
Jean Patterson	9-(431)541-1254
Ashley Vasquez	6-(508)182-6739
Helen Owens	0-(122)932-5260
Karen Graham	8-(564)291-3116
Maria Bailey	0-(947)661-2772
Rose Lynch	5-(758)333-9860
Rose Alvarez	5-(880)492-0667
Joyce Gomez	6-(775)085-5569
Janet Williams	7-(081)673-3608
Nancy Kelly	8-(208)854-4245
Jacqueline Howard	6-(822)146-1973
Heather Stephens	3-(528)639-2625
Ruth Hudson	5-(784)135-1966
Wanda Palmer	3-(727)486-0166
Diane Peters	3-(376)490-9413
Lori Snyder	8-(044)144-2250
Rachel Payne	8-(454)591-1979
Carolyn Henry	2-(377)866-9210
Debra Greene	3-(206)811-7661
Christina Robertson	9-(288)542-5407
Jennifer Russell	2-(283)573-3236
Anne Snyder	6-(190)445-2962
Betty Chapman	8-(279)641-6704
Betty Howell	1-(713)476-0890
Lisa Lynch	2-(300)710-5697
Kimberly Willis	3-(853)123-1734
Kathleen Harper	8-(082)134-5440
Diana Simmons	2-(088)902-2716
Wanda Owens	9-(630)001-3687
Helen Stone	5-(357)812-3500
Paula Little	8-(644)330-3463
Tina Gilbert	0-(423)373-3309
Sara Freeman	5-(426)313-2430
Ashley Clark	3-(055)826-3397
Cheryl Duncan	3-(124)007-3255
Susan Richards	9-(004)400-7445
Evelyn Cox	1-(455)374-1789
Nancy Lee	9-(899)400-3939
Doris Garrett	2-(945)356-3131
Julie Webb	6-(949)977-8306
Gloria Ferguson	2-(314)079-3201
Mary George	5-(531)821-2823
Betty Kelly	1-(700)567-5508
Ashley Fox	6-(826)358-3574
Wanda Moreno	9-(003)598-7005
Tammy Price	3-(902)430-7773
Wanda Gutierrez	9-(621)074-9614
Sarah Scott	4-(022)911-1716
Rose Clark	9-(491)821-2406
Phyllis Peterson	3-(784)020-3312
Annie Roberts	0-(253)451-3787
Mildred Mills	9-(168)101-3361
Julie Gordon	6-(735)335-4240
Donna Simmons	0-(838)554-2154
Laura Gonzales	1-(896)876-2758
Christina Mcdonald	9-(326)272-5862
Rachel Lewis	0-(772)727-8202
Janet Reynolds	6-(928)801-1016
Melissa Long	6-(198)454-6562
Anna Fowler	2-(907)614-4858
Louise Gordon	4-(816)029-4022
Ruth Gutierrez	2-(313)437-8114
Judy Warren	9-(107)203-6111
Judith Garrett	1-(636)596-8998
Maria Warren	3-(577)126-8858
Sarah Gonzales	2-(530)322-9855
Rose Nguyen	0-(381)310-8671
Rebecca Young	6-(195)909-8322
Cheryl Martin	3-(145)755-8408
Lois Rice	3-(049)228-1304
Melissa Lawson	3-(842)093-5606
Anna Bishop	3-(279)120-2433
Kimberly Hart	5-(637)870-0205
Cynthia Brown	9-(619)255-1783
Ruby Cunningham	1-(492)865-2042
Theresa Larson	4-(588)569-8947
Susan Wright	2-(882)009-6291
Jacqueline Wells	1-(074)127-6303
Julie Bryant	6-(124)075-4234
Lois Cruz	6-(936)239-8663
Marie Diaz	5-(408)972-5715
Anne Burton	8-(468)210-7382
Judith Banks	2-(329)363-2554
Stephanie Bishop	7-(734)293-4734
Amanda Edwards	5-(769)515-1662
Sandra Kelley	1-(305)168-3713
Sharon Owens	2-(290)025-4965
Virginia Chapman	7-(272)160-4713
Teresa Weaver	9-(040)002-6289
Alice Young	2-(105)495-4593
Jessica Cunningham	8-(582)594-1643
Bonnie Brown	4-(076)034-1241
Joan Reyes	1-(136)540-7705
Margaret Snyder	2-(545)643-0936
Christine Russell	8-(585)914-5210
Louise Adams	4-(850)795-0426
Andrea Stevens	9-(582)132-2798
Denise Pierce	8-(515)993-6262
Shirley Hall	4-(337)237-9760
Jessica Barnes	3-(842)043-3352
Heather Bailey	9-(740)032-7854
Carolyn Crawford	4-(726)395-7296
Betty Torres	9-(478)728-4403
Patricia Hill	1-(280)247-8782
Pamela Gibson	5-(996)140-5498
Lillian Russell	0-(905)345-3997
Heather Cox	0-(614)260-1134
Tammy Harris	7-(735)369-9153
Irene Alvarez	2-(352)784-9365
Brenda Crawford	3-(047)780-7166
Gloria Kelley	4-(785)087-5546
Rebecca Murray	8-(174)926-2658
Karen Kelley	9-(745)905-7286
Jane Arnold	8-(646)417-4388
Judith Powell	4-(790)604-2716
Julia Cook	8-(296)991-8146
Amanda Holmes	6-(358)684-6781
Ann Graham	2-(116)125-1202
Julia Lee	8-(622)520-5074
Sarah Gomez	2-(832)846-8002
Sandra Fernandez	1-(062)100-0876
Irene Howard	4-(599)154-0254
Ruby Olson	5-(699)568-3925
Jessica Lawrence	1-(985)586-5515
Marie Hill	8-(352)284-9239
Kathy King	8-(362)731-3855
Teresa Medina	7-(518)878-2736
Frances Wells	5-(053)784-2630
Michelle Williamson	8-(104)151-5941
Judy Powell	1-(818)112-5776
Betty Roberts	4-(861)097-8954
Ruth Robertson	7-(505)623-6357
Martha Porter	4-(448)346-8839
Judy Lynch	3-(730)339-4727
Lois Wheeler	7-(208)414-8240
Heather Kelley	8-(008)975-2988
Kathy Williamson	4-(960)769-5522
Cynthia Nichols	2-(225)285-5294
Martha Carr	5-(659)763-2622
Patricia Bennett	6-(496)156-6393
Marie Hayes	1-(469)308-7871
Phyllis Welch	7-(557)713-5133
Paula Hamilton	5-(663)946-7081
Louise Torres	0-(697)751-3196
Susan Elliott	9-(517)426-3158
Norma Warren	6-(236)456-6262
Phyllis Franklin	0-(413)093-2330
Sara Carr	5-(925)811-2359
Annie Bowman	4-(524)502-7437
Phyllis Murray	1-(035)901-7971
Lillian Williamson	6-(941)906-1826
Jennifer Frazier	7-(547)426-3643
Catherine Gordon	9-(427)850-8981
Lillian Stephens	9-(617)848-1106
Julie Elliott	9-(730)428-9525
Kathy Peterson	6-(151)157-0822
Kimberly Perkins	6-(603)551-6576
Jane West	0-(523)959-8562
Sharon Ross	2-(464)867-7649
Ruby Riley	1-(447)882-0581
Virginia White	3-(583)800-8083
Anne Lynch	4-(264)829-6998
Donna Harris	8-(977)306-8461
Tina Moore	6-(292)547-7971
Lois Chavez	7-(042)916-4172
Carolyn Stevens	4-(287)760-9464
Pamela Harper	0-(708)876-3094
Alice Cooper	2-(912)173-3001
Jennifer Fisher	2-(182)496-9820
Julia Spencer	8-(220)530-1707
Patricia Hunt	1-(979)889-1166
Ruby Hayes	5-(290)436-0008
Patricia Woods	9-(141)706-4037
Irene Schmidt	3-(119)023-1217
Joan Jordan	7-(417)250-6017
Debra Rice	2-(882)636-7610
Bonnie Henry	8-(503)124-2596
Jessica Lawrence	3-(984)600-5232
Cynthia Sullivan	5-(252)804-3321
Kathleen Ortiz	9-(224)572-4392
Rebecca Medina	4-(916)908-0445
Frances Grant	0-(817)710-6270
Susan Ramirez	4-(872)180-3218
Robin Myers	9-(637)744-3464
Ruby Rice	0-(459)161-0647
Kimberly Taylor	6-(204)324-7700
Ashley Rice	0-(070)552-9197
Karen Watkins	1-(717)004-1279
Jacqueline Morgan	8-(493)095-8353
Beverly Graham	9-(233)644-6869
Angela Vasquez	7-(756)598-7496
Judith Kelly	9-(333)678-8622
Sharon Bailey	7-(627)953-3647
Doris Rivera	5-(996)260-6852
Wanda Edwards	8-(122)400-7517
Anna Mccoy	6-(083)649-0055
Louise Duncan	1-(101)420-9853
Ann Diaz	2-(611)222-4711
Carol Olson	6-(090)743-4155
Melissa Cook	4-(390)210-1828
Ashley Gonzales	9-(164)230-4977
Doris Kelley	4-(760)098-0422
Anna Hill	4-(068)162-7047
Kimberly Cunningham	3-(650)476-4630
Kelly Bennett	8-(681)093-7783
Diane Fowler	6-(239)274-8848
Rose Williamson	3-(640)985-8480
Margaret Day	5-(103)515-7108
Bonnie Gibson	6-(064)718-0268
Brenda Elliott	8-(152)228-5921
Catherine Tucker	0-(439)356-3835
Anne Cole	0-(545)198-8186
Cynthia Scott	4-(809)100-8465
Rose Ferguson	8-(520)455-7966
Jacqueline Henry	3-(167)881-0484
Barbara Hughes	6-(037)079-5424
Mildred Gilbert	9-(530)886-9139
Judith Andrews	8-(739)134-2152
Lillian Rodriguez	6-(847)857-6824
Kelly Rice	8-(408)075-0142
Maria Adams	7-(878)548-9134
Annie Bradley	6-(792)473-2848
Teresa Fisher	9-(996)632-2531
Stephanie Hicks	5-(982)879-5909
Stephanie Richardson	5-(293)897-9724
Alice Hicks	3-(302)803-5071
Catherine Mendoza	5-(599)186-7081
Angela Washington	1-(281)808-4560
Patricia Lawson	8-(772)454-1447
Lillian Lawson	1-(823)352-5602
Bonnie Gardner	1-(275)884-0048
Marie Palmer	3-(897)989-6066
Julia Mcdonald	3-(696)688-3603
Sara Stewart	9-(684)106-6373
Sandra Watkins	5-(509)892-5839
Marie Ferguson	9-(405)991-0192
Patricia Edwards	9-(214)529-2823
Beverly Rivera	5-(625)816-4223
Sarah Moreno	3-(561)886-4633
Kathryn Dixon	8-(768)717-2501
Christina Myers	6-(962)347-5354
Andrea Ramos	2-(878)227-9817
Wanda Murray	2-(392)886-6300
Lisa Snyder	3-(023)807-4377
Andrea Marshall	9-(652)720-4759
Tina Frazier	9-(857)328-4093
Teresa Edwards	0-(352)379-0796
Kelly Stevens	8-(480)402-0961
Irene Marshall	1-(338)482-3129
Carol Russell	0-(981)505-6790
Tammy Lane	7-(527)313-6515
Gloria Chavez	6-(315)948-9565
Nicole Ramos	4-(262)475-7440
Emily Cook	1-(174)969-5539
Helen Black	8-(879)890-2378
Mildred Gardner	1-(926)938-7409
Christina Stephens	7-(196)780-6604
Heather Gordon	3-(750)112-4692
Deborah Mason	3-(739)402-0040
Melissa Jacobs	8-(018)516-9807
Alice Hunter	0-(961)918-6989
Ruth Carter	9-(814)304-8598
Lisa Nelson	9-(626)228-8787
Julie Marshall	2-(511)762-1283
Sara Martin	9-(384)492-6686
Amy Morgan	4-(315)321-8136
Helen Stephens	8-(871)483-7111
Rachel Parker	3-(967)235-9693
Jean Bradley	7-(268)788-0679
Diane Alvarez	0-(619)219-9796
Angela James	9-(089)412-4939
Teresa Thompson	1-(603)525-4762
Cheryl Watson	9-(775)226-9765
Mary Campbell	1-(902)613-9445
Anna Watson	5-(401)489-3096
Anne Young	6-(483)874-9021
Marilyn Parker	0-(904)221-7339
Martha Smith	0-(448)045-1735
Jennifer Gardner	5-(609)821-0769
Beverly Burke	1-(814)015-4596
Theresa Parker	8-(835)362-0954
Jessica Campbell	6-(418)254-1232
Deborah Hill	9-(832)798-2410
Emily Gonzalez	7-(687)958-6411
Irene Torres	5-(208)007-4780
Kelly Owens	3-(202)771-5508
Pamela Gibson	2-(629)338-0689
Jean Vasquez	3-(788)453-9116
Sharon Robinson	0-(323)138-5330
Mildred Martin	9-(673)399-1527
Martha Bradley	2-(988)899-0892
Ashley Owens	6-(106)389-5082
Andrea Matthews	4-(930)210-7650
Shirley Bell	1-(862)492-6439
Evelyn Rose	0-(375)443-4774
Lillian Olson	8-(598)394-8026
Dorothy Campbell	4-(455)620-6837
Lisa Austin	3-(156)056-4484
Heather Alvarez	7-(883)477-6324
Heather Young	5-(049)994-0644
Margaret Fowler	7-(004)546-0746
Lori Johnson	9-(906)814-7556
Louise Griffin	7-(013)314-4931
Emily Hicks	9-(532)675-5555
Amanda Crawford	5-(424)115-9564
Stephanie Fuller	9-(028)662-2155
Jane Cox	0-(560)081-5664
Kathy Carr	2-(674)241-7758
Anne Hernandez	5-(138)284-4463
Phyllis Cook	4-(931)521-3274
Theresa Diaz	3-(808)651-6823
Teresa Peterson	5-(482)168-7393
Phyllis Fields	1-(494)651-4517
Kathy Warren	6-(364)414-5940
Kathryn Medina	0-(565)019-2808
Heather Adams	0-(673)729-4509
Rebecca Harris	5-(051)518-6128
Laura Marshall	7-(592)739-5671
Lisa Perry	8-(242)475-4310
Christina Harris	3-(087)161-1753
Kathy Morrison	0-(953)421-2504
Jacqueline Cruz	5-(051)462-3392
Sandra Evans	3-(897)904-3078
Alice Parker	3-(584)866-3730
Gloria Phillips	7-(143)339-4779
Emily Powell	6-(029)604-4971
Alice Mcdonald	8-(501)818-5095
Angela Bell	7-(336)844-3666
Janet Banks	8-(140)499-0588
Amy Gonzalez	3-(004)568-0139
Jane Meyer	1-(032)514-9038
Christina Berry	9-(309)185-8021
Sarah Spencer	1-(932)702-1770
Joyce Roberts	0-(340)041-4567
Jane Holmes	1-(050)172-9864
Elizabeth Robinson	1-(664)957-8716
Bonnie Henry	1-(343)135-5867
Joan Morrison	9-(872)946-4979
Irene Wright	4-(469)170-2620
Shirley Elliott	7-(342)417-9879
Shirley Adams	5-(462)196-7859
Janet Torres	5-(033)375-5352
Tina Johnson	2-(568)219-0366
Heather Peters	8-(762)347-0699
Ashley Crawford	3-(971)893-8881
Jean King	0-(184)470-2022
Doris Daniels	2-(670)414-0196
Cynthia Black	8-(246)500-3938
Kelly Rivera	5-(152)825-9335
Patricia Green	6-(204)848-9911
Laura Burton	6-(014)506-2588
Christina Wilson	3-(594)685-8165
Heather Garza	7-(363)458-1472
Stephanie Castillo	8-(746)618-6367
Virginia Barnes	5-(557)096-3746
Wanda Davis	4-(313)447-1713
Lillian Tucker	9-(376)469-5876
Doris Hunter	6-(103)553-8635
Lisa Holmes	3-(188)162-8283
Teresa Cook	7-(467)809-7656
Rebecca Hall	6-(223)652-2156
Catherine Webb	6-(808)469-9056
Joyce Hernandez	9-(254)882-5061
Barbara Harrison	8-(392)916-4982
Donna Scott	7-(364)770-5771
Carol Morgan	4-(327)261-0452
Phyllis Hall	2-(060)541-7966
Diana Chapman	3-(320)933-9366
Janice Price	1-(946)037-3454
Shirley Nelson	1-(655)051-1818
Nancy Frazier	4-(593)444-3631
Laura Stevens	8-(813)517-7189
Bonnie Jones	4-(684)432-7402
Kathryn Larson	2-(992)335-7442
Evelyn Willis	3-(691)594-0824
Angela Lewis	7-(443)951-9216
Teresa Kim	3-(459)739-6351
Julie Jackson	3-(394)496-9075
Denise Gomez	2-(419)418-9124
Lillian Hawkins	7-(119)247-5517
Carolyn Pierce	8-(004)818-4609
Jane Howell	7-(566)510-7956
Diana Washington	3-(989)318-5899
Elizabeth Miller	9-(978)713-1498
Heather Morgan	4-(388)828-0308
Jennifer Morales	2-(226)751-4173
Beverly Dixon	5-(841)617-9934
Marie Mendoza	4-(864)753-5875
Heather Robertson	2-(120)987-8135
Stephanie Garcia	8-(416)626-5541
Sara Washington	7-(574)933-0255
Joan Simmons	7-(680)284-8510
Ruth Gardner	4-(042)298-1699
Irene Palmer	3-(211)526-6022
Dorothy Welch	2-(069)585-1092
Sarah Rice	6-(436)675-3666
Phyllis Hansen	8-(578)779-4811
Cheryl Watson	8-(517)274-4413
Annie Garcia	6-(712)396-9759
Virginia Watson	9-(665)150-5558
Maria Reed	9-(050)315-5452
Ann Graham	7-(133)700-0516
Jacqueline Jordan	9-(145)992-9111
Denise Hughes	2-(002)123-0738
Michelle Dean	2-(120)424-2228
Elizabeth Johnston	0-(003)033-3021
Jessica Lawson	2-(552)950-4363
Teresa Baker	8-(491)672-5107
Lois Williams	5-(419)705-5542
Mildred Ward	3-(364)985-7820
Robin Roberts	4-(608)629-1861
Marie Lynch	4-(419)241-0801
Evelyn Hamilton	0-(357)680-2238
Sandra Bowman	9-(728)398-1858
Jacqueline Price	3-(998)785-0307
Debra Watkins	3-(701)350-3683
Mary Garrett	8-(512)337-1563
Jessica Freeman	9-(612)144-1842
Sarah Johnston	5-(148)581-8010
Amanda Harper	7-(440)183-2766
Andrea Watkins	1-(898)605-2807
Mildred Diaz	3-(118)050-4847
Robin Marshall	5-(161)260-6769
Gloria Hart	8-(544)360-0234
Alice Reid	1-(345)720-4299
Jean Harris	0-(264)104-1588
Elizabeth Weaver	4-(809)472-4619
Carolyn Freeman	5-(139)528-9173
Katherine Ramos	9-(288)669-6647
Cheryl Andrews	3-(599)592-9469
Carolyn Rose	4-(122)259-4425
Heather Thompson	2-(679)694-4990
Melissa Oliver	0-(626)709-3094
Robin Carroll	1-(280)558-7820
Rose Phillips	0-(576)394-7953
Theresa Murphy	6-(763)152-1815
Lori Torres	3-(147)526-1772
Phyllis Richards	7-(211)289-0210
Betty Kim	7-(462)396-1280
Julie Murray	8-(503)736-5765
Nicole Moreno	7-(250)572-3270
Lisa Hart	6-(926)140-3544
Jessica Carpenter	4-(372)389-6467
Shirley Clark	8-(648)717-8526
Joan Harper	5-(879)171-5062
Judith Perkins	8-(856)779-4542
Sara Nguyen	1-(838)057-6720
Lori Olson	3-(631)239-5099
Heather Lopez	8-(815)647-6190
Marilyn Williams	5-(728)109-6769
Nancy James	3-(246)261-3956
Jennifer Dixon	4-(459)732-9407
Irene Harper	5-(188)170-6239
Cynthia Lawson	6-(541)754-1649
Laura Robertson	2-(856)743-8093
Tammy Kelley	1-(100)914-6746
Diane Green	5-(912)127-0491
Teresa Perry	1-(545)196-1082
Melissa Flores	1-(387)006-9943
Frances Frazier	5-(131)832-3881
Sandra Johnson	8-(928)778-6165
Rose Hunt	9-(302)257-8278
Tina Mendoza	1-(645)913-6282
Paula Harvey	2-(504)468-0928
Catherine Reynolds	7-(025)640-2493
Julia Edwards	7-(887)973-6983
Margaret Wheeler	1-(422)901-6142
Jane Watkins	7-(919)764-6961
Amy Roberts	5-(676)961-6606
Ruth Carpenter	6-(286)696-9310
Jennifer Foster	4-(023)014-1570
Margaret Austin	8-(298)193-3738
Anna Perez	7-(328)928-3779
Carol Reid	5-(929)453-1094
Nicole Kim	4-(772)892-9818
Amanda George	5-(123)856-9813
Angela Stephens	2-(285)939-5822
Amanda Wheeler	6-(106)315-9443
Barbara Gonzales	8-(329)728-0299
Jane Vasquez	2-(977)679-1910
Catherine Dixon	9-(716)451-2270
Louise Washington	0-(676)695-8698
Sara Rivera	2-(308)609-3738
Melissa Stone	9-(282)090-0065
Pamela Sullivan	1-(457)721-1254
Sarah Armstrong	6-(017)226-3159
Virginia Moore	5-(367)879-0061
Robin Ford	5-(036)239-3459
Kathleen Burns	5-(942)421-5363
Katherine Warren	9-(326)296-6373
Karen Fuller	1-(548)021-3180
Gloria Mccoy	9-(696)670-3816
Sandra Kennedy	6-(035)172-5918
Tammy Murphy	1-(323)438-7475
Tina Mccoy	4-(777)351-9901
Mary Armstrong	1-(785)437-3561
Betty Ramos	4-(038)411-2801
Tammy Murray	7-(853)095-6577
Evelyn Hart	6-(125)456-7074
Phyllis Carter	1-(074)757-8549
Cynthia Morrison	7-(076)816-1022
Lois Richards	6-(612)371-6620
Nicole Berry	0-(598)890-3296
Jacqueline White	1-(797)309-6632
Nancy Gilbert	9-(871)553-3198
Nancy Kelley	6-(208)524-2579
Judy Burke	2-(539)118-9570
Mildred Spencer	1-(093)860-7501
Doris Morris	7-(705)414-7150
Cheryl Stephens	1-(003)497-3695
Judith Stanley	7-(372)538-9669
Virginia Morales	5-(201)547-4188
Denise Nelson	8-(970)878-2111
Bonnie Gilbert	5-(566)404-5784
Laura Gordon	8-(536)400-2835
Donna Cox	5-(345)448-9659
Tina Jordan	2-(437)735-3220
Doris Bradley	7-(443)488-9724
Sharon Schmidt	1-(164)734-1288
Tina Perry	3-(223)250-4060
Kimberly Gomez	2-(983)544-0280
Sara Ramirez	2-(947)016-3548
Emily Ray	1-(609)457-4035
Debra Ortiz	2-(786)190-5260
Lisa Smith	6-(733)196-5792
Pamela Tucker	0-(331)694-3879
Jean Fuller	5-(023)517-6085
Dorothy Mendoza	9-(960)181-3282
Wanda Jackson	0-(763)307-9275
Irene Brown	9-(345)157-8944
Julia Wright	3-(023)105-0295
Susan Welch	6-(482)227-2960
Shirley Olson	4-(310)775-8839
Carol Miller	8-(447)933-2822
Kelly Young	9-(190)899-9170
Sara Bryant	2-(090)872-7016
Diana Hansen	8-(565)326-1263
Karen Hayes	8-(665)821-6480
Kelly Sanchez	7-(551)749-7010
Gloria Martinez	8-(161)593-9758
Julia Carr	5-(000)497-6023
Marilyn Gray	8-(559)150-2710
Phyllis Dunn	1-(957)016-0710
Karen Cooper	1-(086)851-6573
Joan Little	8-(281)152-2623
Brenda Crawford	1-(923)897-7828
Pamela Fox	3-(225)333-6264
Bonnie Webb	9-(772)185-6650
Ashley Stone	7-(532)652-7452
Marilyn Taylor	4-(762)941-4795
Jacqueline Stanley	2-(112)042-0952
Shirley Barnes	2-(287)523-3441
Christina Fisher	3-(314)193-9318
Patricia Hamilton	4-(057)919-5846
Jacqueline Watson	8-(625)106-4771
Susan Mason	6-(506)841-1109
Kathy Moreno	8-(562)941-7976
Catherine Nguyen	3-(716)232-8923
Betty Rose	3-(286)015-1757
Bonnie Barnes	7-(540)664-2303
Sandra Fisher	2-(030)660-1619
Evelyn Moore	9-(355)647-7666
Wanda Fisher	7-(880)787-5236
Lori Chapman	5-(722)484-3046
Kathy Cole	2-(752)050-4275
Brenda Carpenter	6-(552)242-4764
Andrea Elliott	8-(399)244-9136
Irene Myers	2-(063)160-0788
Teresa Sanders	6-(600)300-5263
Heather Crawford	7-(810)733-1338
Carolyn Bowman	7-(019)593-4650
Jean Long	2-(354)700-8147
Brenda Freeman	2-(731)414-8142
Jessica Knight	4-(540)836-5155
Kelly Turner	2-(495)227-7591
Brenda Elliott	6-(254)304-8413
Maria Gilbert	4-(352)176-7927
Jacqueline Burke	3-(515)187-6271
Maria King	9-(819)832-0446
Phyllis Rice	0-(177)789-2260
Jane Knight	7-(190)911-7936
Debra Mccoy	2-(394)707-4210
