Doris Washington	7-(502)158-6725
Joyce George	2-(059)871-8121
Helen Nelson	6-(324)130-0488
Nicole Nichols	3-(820)751-1911
Deborah Harper	5-(326)094-8568
Denise Carroll	6-(264)482-7939
Laura Burns	8-(715)921-4315
Ashley Berry	8-(325)520-7966
Rebecca Collins	7-(277)154-6764
Diana Gonzalez	8-(633)370-5452
Sharon Garrett	2-(723)396-5682
Stephanie King	9-(090)677-4804
Ann Alvarez	7-(536)541-1907
Ashley Gardner	3-(370)867-8230
Kathleen Chapman	7-(326)474-4098
Barbara Hayes	2-(799)028-4266
Michelle Mcdonald	2-(833)439-6910
Jane Fernandez	4-(473)084-8484
Teresa Howell	5-(059)888-2685
Diane Ramos	4-(855)361-7871
Tina Stanley	0-(373)423-5212
Carol Fernandez	4-(727)985-8630
Kathryn Bennett	0-(329)733-3122
Pamela Shaw	2-(741)163-2004
Andrea Dixon	6-(576)977-8114
Paula Howard	4-(654)092-0658
Sarah Mccoy	6-(870)999-1699
Susan Davis	5-(151)090-4516
Wanda Campbell	7-(657)599-7787
Julia Robinson	5-(133)734-7148
Kelly Ruiz	9-(160)914-1500
Jean Nelson	2-(399)929-9917
Judy Stewart	6-(739)526-2182
Norma Lynch	1-(055)759-1193
Pamela Roberts	7-(361)078-6717
Barbara Duncan	3-(772)234-0865
Andrea Hart	4-(222)632-2307
Doris Wheeler	7-(980)826-1507
Julie Perkins	2-(821)172-7375
Ruth King	3-(486)728-1657
Evelyn Hernandez	7-(650)733-2671
Denise Medina	7-(447)546-9136
Kimberly Gonzales	1-(904)259-5322
Pamela Fowler	7-(591)570-7166
Tina Gray	3-(269)214-2358
Diana Duncan	3-(147)702-9334
Joan Collins	5-(357)938-0217
Janet Rice	5-(556)563-1919
Sarah Evans	8-(850)835-4478
Patricia Spencer	3-(789)790-1106
Ruth Moreno	8-(894)280-3815
Julie Ramirez	8-(234)316-8577
Susan Hernandez	0-(938)362-8417
Amanda Payne	0-(670)167-9374
Margaret Washington	4-(824)102-7166
Janice Perkins	3-(798)647-1497
Donna Ryan	8-(508)489-5476
Carol Crawford	4-(613)233-8713
Jessica Turner	3-(624)005-2798
Melissa Hanson	8-(596)469-5904
Rose Sullivan	5-(347)118-2682
Julie Vasquez	6-(925)608-4532
Janice Patterson	9-(261)764-3771
Denise Arnold	0-(687)760-8792
Doris Matthews	1-(554)137-6081
Angela Day	6-(823)122-9569
Melissa Gilbert	6-(694)479-5255
Christina Harper	9-(110)876-9237
Helen Montgomery	2-(581)978-1163
Jacqueline Mccoy	7-(704)616-7303
Frances Dunn	9-(027)085-9864
Norma Mccoy	5-(075)302-3776
Julia Alvarez	5-(084)352-6366
Janet Williams	8-(698)680-6244
Michelle Hicks	5-(926)678-0102
Anne Evans	5-(693)243-3317
Angela Johnston	8-(906)317-5301
Kathleen Ward	0-(773)770-8782
Carolyn Larson	1-(636)490-3666
Kathryn Wood	7-(648)418-1522
Barbara Turner	7-(270)923-6966
Norma Harper	8-(927)877-6571
Melissa Hayes	2-(675)478-4832
Joyce Smith	7-(145)855-0081
Bonnie Welch	9-(040)094-7160
Annie Murray	3-(991)552-9620
Janice Daniels	9-(297)793-7423
Mildred Richards	0-(938)036-2219
Sara Jacobs	9-(596)276-5957
Janice Greene	0-(928)499-9697
Nicole Medina	7-(922)351-1671
Anne Hill	7-(974)925-4764
Deborah Wagner	1-(098)398-3539
Stephanie Hill	3-(055)958-2134
Tina Hart	3-(215)004-9106
Debra Campbell	2-(848)466-5409
Janet Crawford	7-(793)789-8838
Brenda Warren	0-(456)641-2165
Tammy Coleman	0-(265)445-8856
Joan Cox	3-(110)815-1332
Brenda Banks	9-(011)397-6230
Louise Woods	6-(560)063-7595
Marilyn Watkins	0-(582)141-0231
Betty Martin	6-(741)876-6044
Carolyn Burke	8-(022)336-0707
Maria Jacobs	6-(113)809-2692
Nancy Fields	1-(313)119-8775
Nicole Freeman	5-(190)294-8968
Irene Morales	3-(199)738-3830
Helen Rivera	5-(069)538-1282
Margaret Graham	2-(886)812-8328
Deborah Kim	1-(917)614-5635
Gloria Grant	1-(602)631-1296
Evelyn Hanson	5-(050)909-4885
Cynthia Rivera	6-(051)367-5150
Emily Pierce	9-(285)970-0694
Nancy Gutierrez	9-(350)209-5858
Doris Fields	5-(303)122-4193
Brenda Bailey	8-(665)563-5780
Nicole Perkins	8-(331)078-4010
Ruby Owens	9-(820)657-7610
Alice Hill	5-(168)437-0015
Sandra Burke	0-(987)377-7316
Maria Banks	6-(275)124-4813
Ruth Taylor	6-(549)755-5038
Julie Smith	0-(727)330-8973
Dorothy Hicks	0-(536)499-2606
Carolyn Wagner	6-(066)390-0889
Sharon West	1-(216)917-2294
Sharon Davis	5-(773)717-1759
Kathy Shaw	1-(484)897-0952
Jane Ray	0-(372)647-7837
Ruth Webb	4-(583)649-3671
Christine Sims	4-(928)934-8005
Lois Burton	0-(732)643-7103
Theresa Snyder	4-(419)636-7041
Deborah George	3-(616)668-0248
Kathy Wilson	0-(819)780-6726
Julie Gray	1-(891)797-5144
Cynthia Armstrong	6-(064)626-4160
Jacqueline Cunningham	4-(794)264-2003
Melissa Woods	1-(070)072-7039
Kelly Harper	2-(197)828-6702
Julia Hanson	8-(204)353-9169
Phyllis Harvey	3-(801)073-1552
Kathryn Graham	1-(858)719-9661
Helen Gonzalez	3-(654)498-6912
Tammy Coleman	8-(288)139-2386
Lori George	0-(707)123-9581
Lillian Peters	2-(845)965-3227
Irene Sanchez	7-(180)106-4006
Anna Myers	6-(707)675-4060
Wanda Thompson	6-(828)487-4688
Barbara Rogers	3-(866)826-3616
Janice Rivera	7-(986)703-7784
Margaret Price	6-(237)874-5724
Carol Nelson	8-(036)218-6288
Jennifer Owens	6-(991)086-9312
Diana Graham	5-(709)534-3831
Lisa Wright	8-(230)197-6287
Andrea Martin	1-(179)345-2050
Nancy Evans	2-(777)805-0688
Shirley Carr	1-(437)266-9063
Denise Kelly	2-(005)947-1499
Lori Patterson	6-(304)733-1579
Christine Smith	5-(096)770-0470
Alice Cruz	8-(431)633-0272
Betty Edwards	3-(468)537-7188
Virginia Dean	0-(819)418-4471
Shirley Mills	0-(531)619-1630
Tina Martinez	1-(828)907-5790
Carol Williamson	5-(719)252-8689
Margaret Weaver	6-(031)412-8115
Irene Woods	3-(191)642-0959
Mary Austin	5-(188)764-7816
Donna Morrison	5-(660)266-7872
Phyllis Howell	8-(236)069-0054
Denise Ortiz	5-(882)808-2438
Andrea Kennedy	1-(603)657-8057
Sharon Clark	5-(968)522-0896
Tammy Gonzales	6-(708)713-6081
Maria Daniels	0-(620)160-4693
Christine Vasquez	4-(014)576-3019
Amy Gutierrez	3-(067)176-6513
Debra Miller	7-(819)199-3536
Ann Bell	6-(728)588-9123
Cynthia Sanders	8-(947)216-6873
Karen Hughes	3-(034)557-6762
Pamela Hernandez	9-(474)369-2701
Lori Washington	0-(501)692-6493
Kathy Anderson	3-(368)695-3126
Carol Jackson	2-(491)022-6580
Nancy Roberts	0-(520)776-7549
Bonnie Garrett	4-(423)889-8592
Julia Watkins	0-(263)162-1408
Linda Miller	4-(588)929-6361
Stephanie Ray	2-(952)718-2510
Jacqueline Collins	0-(984)870-8455
Cynthia Pierce	9-(132)917-6247
Barbara Taylor	7-(603)978-3094
Phyllis Baker	1-(414)162-2202
Annie Lawrence	2-(019)696-7411
Angela Larson	9-(182)374-5712
Kelly Wilson	0-(558)368-9558
Lisa Kennedy	4-(247)360-9374
Sara Kim	9-(548)991-4049
Amy Lopez	1-(356)794-2572
Joyce Wagner	9-(246)090-8823
Maria Taylor	9-(596)936-8621
Judy Perry	1-(133)674-6018
Lori Bell	7-(553)115-0195
Ruth Ramos	1-(674)865-5103
Louise Brooks	5-(441)075-2813
Rebecca Burns	1-(096)789-5963
Cynthia Gomez	6-(842)615-7637
Debra Chapman	5-(139)946-2186
Lillian Robertson	1-(316)655-9091
Linda Morales	5-(914)003-0920
Judith Ortiz	4-(673)225-3676
Dorothy Mitchell	1-(394)841-6734
Karen Hughes	3-(347)946-6890
Martha Lynch	3-(920)062-5597
Betty Harvey	7-(791)535-3837
Jane Castillo	0-(566)602-5993
Debra Campbell	6-(403)970-7169
Annie Banks	2-(911)756-3261
Paula Ellis	6-(998)141-0433
Katherine Jackson	0-(914)032-7590
Carolyn Black	9-(603)360-7911
Shirley Ruiz	3-(675)141-4315
Susan Spencer	7-(233)208-2518
Margaret Chavez	4-(496)024-4298
Denise Allen	8-(837)430-8804
Carolyn Austin	4-(414)212-1756
Doris Kim	1-(363)923-5574
Maria Harvey	2-(793)503-5959
Norma Howell	0-(010)468-8541
Michelle Fox	3-(446)289-2921
Pamela Mason	7-(741)026-9625
Heather Snyder	0-(651)081-8583
Christine Porter	0-(762)043-4429
Phyllis Hamilton	6-(293)032-6715
Donna Brooks	3-(188)350-4299
Amy Campbell	4-(080)553-0812
Julie Fisher	6-(654)479-2715
Tammy Kennedy	6-(932)025-7235
Ruby Moore	7-(649)752-5900
Frances Carpenter	4-(965)704-4980
Jane Bell	4-(009)812-6732
Stephanie Owens	6-(135)006-3235
Deborah Fields	5-(809)597-8035
Ashley Griffin	5-(617)629-0582
Lori Torres	6-(260)938-6702
Nicole Fuller	9-(894)194-4794
Jessica Simmons	3-(575)730-9878
Sandra Ryan	1-(681)721-6955
Heather Hanson	0-(087)952-9315
Rebecca Cook	3-(416)444-2235
Heather Hayes	5-(569)508-6238
Debra Rose	4-(128)802-5267
Theresa James	5-(823)710-3928
Donna Fowler	4-(598)059-2735
Susan Smith	0-(009)227-0065
Michelle Armstrong	9-(528)803-8276
Lillian Murray	6-(142)315-4104
Rachel Alvarez	0-(079)054-2713
Anna Lawrence	7-(490)092-4094
Sharon Flores	8-(331)041-2158
Barbara Bennett	9-(182)359-1719
Katherine Woods	3-(617)986-6850
Emily White	6-(457)645-9820
Judith Brooks	4-(639)496-1772
Phyllis Hughes	5-(413)726-8732
Julie Jones	5-(273)044-2382
Anna Mitchell	5-(470)591-3086
Irene Bradley	6-(845)512-0462
Kathryn Reynolds	1-(733)611-4138
Pamela Howard	3-(150)620-5671
Melissa Spencer	6-(718)364-0630
Judy Graham	7-(994)010-8477
Susan Cox	0-(434)592-0033
Kathryn Bishop	7-(579)399-3047
Angela Palmer	2-(012)199-6624
Jean Bennett	8-(166)802-0698
Susan Hall	7-(125)993-0410
Pamela Bailey	5-(760)266-5955
Melissa Jackson	4-(369)780-6437
Kimberly Brooks	5-(203)347-9516
Teresa Hamilton	7-(175)788-8638
Lois Porter	9-(799)596-2576
Kelly Pierce	7-(771)364-0996
Norma Welch	0-(924)950-1172
Elizabeth Diaz	9-(739)251-1382
Julia Reid	8-(665)438-1157
Tina Morris	6-(979)761-2848
Brenda Wright	9-(973)810-5499
Phyllis Baker	2-(534)294-4584
Laura Rogers	2-(862)247-6009
Frances Simmons	8-(855)692-3203
Jessica Porter	8-(278)444-3887
Sandra Ruiz	4-(270)982-7330
Brenda Wagner	7-(326)298-9961
Cheryl Larson	5-(966)597-8627
Julia Riley	9-(875)539-5959
Martha Morrison	6-(998)620-8521
Barbara Thomas	8-(284)055-4691
Susan Ramirez	1-(653)144-2966
Cheryl Romero	4-(188)673-7517
Diana Robinson	8-(072)913-9621
Cynthia Kelley	6-(457)475-0893
Ruby Smith	2-(890)506-6728
Sarah Burton	3-(293)132-8258
Cheryl Stewart	7-(112)911-0240
Joan Ford	0-(580)695-0539
Joyce Russell	4-(415)259-5514
Jennifer Hunt	1-(197)017-3645
Lisa Garcia	1-(901)416-0407
Wanda Frazier	8-(349)975-6671
Barbara Gutierrez	4-(498)754-6066
Brenda Welch	2-(210)035-8339
Diane Reyes	1-(459)744-4230
Sarah Nichols	6-(583)379-5609
Teresa Wilson	2-(024)465-2123
Nancy Robertson	8-(479)833-0063
Rebecca Reyes	0-(413)889-3928
Lillian Hansen	6-(748)976-1490
Robin Powell	7-(836)623-0015
Mildred Bennett	8-(345)597-2185
Louise Fernandez	7-(850)099-2383
Marilyn Allen	6-(503)885-9390
Jessica Fox	4-(044)998-3487
Carol Powell	9-(463)272-3113
Tammy Woods	8-(325)955-9824
Phyllis Fuller	3-(198)189-9589
Deborah Chavez	2-(746)579-7908
Theresa Knight	7-(052)718-1294
Paula Turner	6-(525)476-2258
Shirley Barnes	0-(840)578-2744
Judy Hansen	1-(556)578-4634
Kimberly Hicks	2-(417)786-8013
Lois Morgan	7-(930)861-5355
Amanda Wheeler	3-(337)567-8925
Ashley Martinez	7-(782)962-3322
Helen Wagner	8-(742)463-2438
Deborah Bowman	1-(937)714-1333
Tammy Mitchell	8-(925)545-2329
Anne Stanley	1-(259)179-0415
Emily Williams	7-(861)849-4294
Bonnie Henderson	2-(639)042-8957
Marilyn Gomez	0-(610)699-9940
Louise Harper	3-(519)755-4414
Lois Myers	0-(268)338-1851
Pamela Richards	3-(744)843-7352
Catherine Andrews	1-(436)481-9811
Amy Hunter	5-(711)211-5046
Stephanie Parker	1-(329)080-1535
Stephanie Lawrence	0-(815)753-7824
Christine Stanley	1-(929)804-4348
Maria Castillo	7-(852)933-8247
Judith Gonzalez	4-(853)404-5475
Jean Richardson	3-(737)988-0377
Jean Brown	9-(369)171-8140
Beverly Harvey	7-(700)938-7321
Deborah Harvey	4-(144)771-3764
Sara Ramos	4-(135)218-7018
Stephanie Flores	3-(078)142-5433
Ruth Patterson	0-(935)669-6829
Cheryl Riley	7-(612)164-7616
Sharon Burns	4-(438)908-4929
Phyllis Tucker	3-(342)140-5091
Joan Marshall	7-(940)799-9448
Janet Garrett	1-(727)060-3689
Carol Flores	9-(374)249-9305
Lori Webb	2-(133)999-7227
Doris Hamilton	8-(024)984-3955
Bonnie Anderson	8-(909)305-0481
Maria Welch	7-(979)318-7317
Deborah Reynolds	0-(123)413-1808
Mary Foster	0-(798)315-3333
Deborah Fox	7-(916)225-0689
Mildred Flores	0-(992)845-4268
Irene Shaw	8-(333)079-5913
Teresa Wheeler	4-(419)806-2894
Betty Morales	7-(239)159-7164
Maria Schmidt	6-(346)986-7836
Maria Washington	8-(606)185-7987
Lori Ortiz	4-(545)329-1960
Heather Webb	3-(380)479-7451
Tammy Ramos	3-(615)348-6585
Lisa Reed	0-(450)817-8053
Paula Johnston	8-(480)793-3531
Nicole Peterson	1-(949)725-2449
Kathleen Allen	8-(684)499-8195
Melissa Hayes	3-(205)867-3916
Elizabeth Foster	5-(747)753-8021
Jean Gilbert	3-(919)083-0796
Jane Peterson	6-(562)224-6385
Barbara Owens	2-(688)392-6452
Virginia Murphy	7-(387)978-6710
Margaret Bowman	2-(576)468-5881
Laura Rose	9-(215)684-5778
Evelyn Wheeler	5-(184)720-7757
Louise Graham	3-(711)714-6308
Rebecca Alexander	2-(068)831-1069
Annie Romero	8-(724)553-1626
Annie Marshall	6-(003)179-1044
Brenda Ray	0-(857)055-3721
Beverly Simmons	0-(116)312-7591
Teresa White	2-(961)518-4195
Andrea Price	7-(134)637-5764
Lisa Wright	1-(307)240-5664
Kelly Long	8-(832)681-8549
Irene West	8-(822)843-5118
Christina Murphy	0-(927)454-7915
Sharon Chavez	4-(014)488-5575
Jacqueline Hunter	6-(832)512-7135
Andrea Harris	5-(428)936-8695
Gloria Fernandez	0-(050)634-2371
Pamela Perez	8-(667)438-9592
Nicole Webb	1-(845)940-5207
Frances Carr	7-(606)022-9652
Janice Alexander	1-(815)738-9128
Kelly Hunter	0-(612)653-1961
Jacqueline Fox	5-(690)592-1695
Patricia Kelly	9-(329)276-1172
Amanda Hayes	3-(913)783-2931
Sharon Smith	1-(648)399-8200
Shirley Hill	0-(576)244-9869
Judy Kennedy	2-(262)501-2623
Rebecca Powell	0-(610)412-3590
Phyllis Elliott	1-(964)420-8140
Judith Gordon	8-(527)039-0219
Bonnie Stone	9-(860)520-9734
Teresa Barnes	2-(472)934-5365
Kelly Washington	8-(301)849-5618
Tammy Dunn	7-(127)149-2094
Dorothy Johnston	1-(041)864-9102
Melissa Campbell	8-(980)560-4137
Susan Carter	8-(359)161-9308
Carol Alvarez	7-(187)532-4827
Jennifer James	2-(644)727-4147
Jessica Wells	8-(357)951-9514
Doris Kim	8-(765)419-7345
Susan Hall	2-(004)146-6406
Helen Robinson	9-(547)132-1566
Sara Ford	2-(265)186-5695
Ann Parker	7-(817)071-0243
Catherine King	8-(135)335-6512
Jacqueline Elliott	2-(141)196-3389
Brenda Lane	0-(862)765-4320
Theresa Gonzalez	7-(022)962-3306
Lois Wood	6-(203)366-2384
Irene Payne	7-(513)016-5431
Bonnie Henry	7-(250)089-6420
Lois Oliver	8-(007)638-0669
Carolyn Ferguson	3-(528)249-3984
Jacqueline Carpenter	9-(590)506-1929
Sarah Cox	8-(961)165-7798
Kelly Howell	8-(782)738-0300
Frances Porter	7-(091)424-9731
Denise Russell	5-(385)043-7612
Debra Berry	1-(760)092-7599
Diane Webb	5-(163)166-9604
Jennifer Hanson	3-(360)121-0756
Catherine Griffin	1-(295)346-3258
Lori Gutierrez	1-(229)559-3481
Sandra Jenkins	0-(448)248-7827
Annie Ferguson	2-(590)636-8907
Christina Burns	0-(125)520-4526
Robin Sanders	8-(721)472-1262
Virginia Johnson	5-(581)990-0794
Carol Washington	6-(597)899-5575
Nicole Kelly	4-(341)988-8384
Marilyn Wells	3-(790)923-1325
Joan Riley	9-(076)380-1528
Laura Henderson	4-(827)407-9320
Barbara Weaver	8-(895)617-2502
Marilyn Lawson	9-(046)684-8036
Judy Garcia	1-(148)901-4688
Betty Meyer	5-(408)446-2958
Lillian Williamson	7-(737)852-3423
Carolyn Shaw	2-(939)590-4023
Kelly Cook	1-(468)286-0058
Shirley Fowler	7-(704)856-9908
Julia Price	1-(578)463-3781
Martha Sanders	3-(841)407-1244
Diane Edwards	5-(976)490-6031
Kathy Peterson	1-(387)412-7767
Nicole Riley	1-(259)926-7771
Brenda Simpson	9-(906)187-8648
Louise Sims	8-(632)308-5997
Andrea Franklin	6-(385)986-2268
Bonnie Matthews	8-(579)367-9194
Jane Lewis	7-(819)058-8067
Helen Henry	8-(833)724-9475
Theresa Stone	8-(744)559-4426
Anne Mccoy	8-(449)211-4862
Heather Sims	1-(435)887-4011
Nicole Lee	7-(242)791-2050
Helen Medina	7-(825)199-9852
Nicole Murray	8-(252)909-9723
Diane Dixon	2-(736)958-6114
Ann Lane	4-(092)404-2116
Janet Knight	0-(852)868-1735
Susan Jones	5-(927)329-7732
Katherine Bowman	7-(580)700-8356
Mildred Dean	1-(572)191-2830
Maria Chavez	8-(842)385-2061
Cheryl Hayes	0-(570)021-4436
Jean Porter	9-(348)680-6062
Jean Ramos	8-(863)455-4556
Nicole Simmons	6-(786)677-8539
Karen Jordan	7-(313)190-2776
Angela Davis	3-(986)979-1553
Nicole Gomez	2-(019)119-1807
Christine Watson	0-(866)523-0514
Judy Hunt	0-(522)359-1837
Michelle Knight	5-(142)341-4237
Judith Perry	6-(065)983-8833
Emily Marshall	2-(005)891-7211
Rachel Weaver	9-(067)490-6264
Stephanie Walker	7-(274)500-1957
Ruth Warren	0-(483)548-6995
Rachel Reynolds	1-(927)742-5847
Paula Martin	9-(370)067-2995
Deborah Jackson	9-(741)143-1254
Sara Thomas	7-(319)457-8719
Amy Robertson	5-(481)315-1533
Judith Adams	0-(236)436-6122
Emily Flores	1-(037)254-9601
Lori Greene	9-(877)938-3837
Patricia Webb	8-(962)642-6087
Barbara Duncan	6-(681)634-6550
Carolyn Fox	2-(367)557-7266
Robin Griffin	2-(270)927-4302
Michelle Morgan	7-(599)223-1887
Joan Hall	5-(056)163-3046
Anne Fox	1-(227)223-9123
Margaret Ford	6-(111)831-7736
Annie Stewart	7-(903)109-2693
Margaret Myers	8-(896)669-1338
Ann Dean	4-(492)790-9224
Lisa Bryant	6-(834)566-8307
Kathy Riley	0-(248)226-6714
Norma Castillo	4-(387)511-8927
Phyllis Davis	5-(602)105-1084
Ashley Alexander	1-(931)283-9406
Brenda Graham	7-(948)551-5979
Christine Schmidt	3-(118)670-1198
Lillian Rodriguez	5-(088)998-0500
Margaret Cole	6-(539)255-4273
Donna Sullivan	4-(756)616-7263
Kathleen Stanley	6-(180)155-5653
Helen Green	9-(831)934-4972
Joyce Harris	5-(177)393-6624
Lillian Myers	5-(711)475-2959
Virginia Graham	5-(466)697-8347
Virginia Turner	7-(690)842-6933
Beverly Hill	8-(487)094-1178
Kathleen Marshall	7-(809)067-0988
Doris Henderson	5-(513)101-1728
Teresa Fox	3-(946)412-7827
Irene Rose	8-(288)679-7426
Jane Matthews	7-(385)183-3599
Doris Reynolds	2-(978)007-3363
Rebecca Anderson	2-(335)278-7754
Heather Palmer	5-(095)405-0849
Rachel Lawrence	8-(320)218-8344
Anne Rivera	3-(947)140-9516
Robin Wheeler	8-(650)343-4739
Lisa Cruz	7-(102)760-0734
Carolyn Tucker	2-(403)205-5166
Kathy Howell	1-(076)899-3192
Carolyn Foster	1-(621)003-4905
Jacqueline Howell	1-(160)048-1127
Cheryl Robertson	7-(349)867-7294
Ruby Garrett	6-(318)328-4310
Judith Jenkins	8-(604)008-2127
Joyce Edwards	7-(770)152-2330
Mildred Armstrong	9-(816)783-6196
Shirley Fox	8-(058)796-7656
Phyllis Griffin	0-(080)838-1888
Judy Berry	8-(000)600-2422
Pamela Richardson	1-(874)701-3255
Judy Watkins	9-(974)565-0655
Kathleen Smith	3-(376)413-7915
Irene Lopez	4-(118)158-2180
Amy Graham	9-(549)793-5954
Norma Fuller	5-(795)914-3874
Judith Carpenter	9-(356)086-2618
Kimberly Gilbert	8-(763)613-2698
Jennifer Garza	5-(847)914-1257
Amy Stanley	7-(353)261-5424
Mary Anderson	1-(657)099-8061
Helen Mccoy	3-(926)369-8884
Catherine Stephens	4-(388)264-5363
Mary Stanley	9-(779)533-1152
Annie Palmer	2-(157)303-8012
Judy Larson	8-(843)746-6323
Emily Welch	9-(955)089-1416
Alice Parker	1-(811)281-0088
Ruth Gutierrez	0-(852)295-9604
Julie Jordan	6-(602)909-6985
Ann Stone	5-(282)600-3898
Ashley Warren	1-(803)593-9438
Wanda Garza	6-(656)575-6681
Nancy Richardson	0-(390)508-6829
Anna Hansen	9-(563)855-9483
Cynthia Fernandez	7-(380)684-5793
Catherine Hall	9-(303)396-3363
Sarah Stevens	8-(069)665-5649
Patricia Bowman	4-(680)222-2378
Amy Little	3-(854)330-8566
Brenda Jones	2-(142)914-4609
Sandra Roberts	6-(838)818-1287
Sarah Welch	2-(715)047-9156
Janet Baker	1-(445)347-3360
Tina Patterson	4-(699)237-0149
Lillian Ruiz	6-(550)479-1512
Linda Kim	5-(422)166-1416
Doris Rogers	3-(094)610-3612
Laura Myers	8-(737)692-4094
Bonnie Richards	5-(428)195-1086
Jennifer Reed	0-(868)917-5962
Nancy Henry	2-(734)718-0734
Betty Woods	7-(557)358-2997
Stephanie Rogers	8-(535)388-7479
Bonnie Nguyen	3-(793)767-4520
Emily Garza	3-(603)522-5341
Teresa Ortiz	5-(154)736-2479
Lillian Howell	9-(084)078-8426
Amy Banks	3-(079)754-1690
Brenda Henderson	7-(382)720-2998
Frances Harper	1-(966)412-6819
Sharon Porter	0-(632)526-4673
Shirley Reynolds	2-(797)884-9145
Catherine Romero	9-(783)760-0306
Janice Morrison	0-(272)047-2485
Robin Chapman	5-(833)495-9147
Ruth Duncan	9-(660)015-6425
Heather Reynolds	0-(936)662-5625
Janice Cunningham	8-(210)511-6334
Shirley Alvarez	1-(128)716-7682
Melissa Lane	1-(298)943-2374
Janice Carr	6-(185)359-6255
Robin Grant	2-(499)644-9734
Jacqueline Dixon	4-(218)612-0621
Donna Castillo	2-(643)111-4046
Teresa Fisher	4-(391)362-2550
Denise Mccoy	4-(590)160-0580
Heather Gonzalez	5-(980)879-6410
Dorothy Garrett	2-(946)523-9615
Elizabeth Bowman	5-(270)290-8113
Virginia Vasquez	3-(156)394-1415
Pamela Lawson	5-(943)461-5895
Marilyn Robertson	9-(646)168-0247
Anna Lawrence	8-(231)276-5301
Bonnie Simpson	5-(439)852-5310
Amy Wallace	5-(300)628-4922
Norma Chapman	9-(479)602-4557
Karen Anderson	7-(099)772-4284
Jennifer Watkins	7-(051)688-7748
Alice Meyer	9-(447)332-1608
Dorothy Watkins	4-(480)617-0112
Beverly Kim	1-(771)638-1683
Janet Perry	0-(058)297-1853
Pamela Elliott	5-(381)248-1889
Rachel Peterson	3-(681)407-6664
Shirley Powell	2-(691)008-4951
Louise Oliver	7-(684)700-5235
Janice Smith	3-(250)328-0649
Michelle West	0-(949)215-1816
Irene Gomez	9-(780)454-1552
Betty Johnson	6-(075)303-6156
Ruth Duncan	2-(182)266-5625
Marilyn Allen	1-(765)439-8529
Teresa Robinson	0-(623)491-7161
Pamela Hamilton	5-(091)809-5700
Kelly Johnston	0-(187)983-6890
Jane Vasquez	5-(702)056-6164
Judith Henry	3-(447)913-7453
Sharon Fisher	6-(792)406-8757
Andrea Hansen	8-(113)697-3397
Pamela Fisher	9-(991)743-0064
Sara Murphy	2-(782)880-3554
Jessica Lynch	6-(376)319-8392
Pamela Lee	7-(073)266-9981
Katherine Johnson	5-(994)593-8476
Barbara Jacobs	5-(133)258-0732
Elizabeth Ortiz	1-(791)969-6592
Amanda Hunt	2-(158)322-7923
Dorothy Reyes	4-(966)408-9528
Andrea Thompson	1-(741)925-9883
Helen Alvarez	9-(483)598-9441
Lois Matthews	4-(274)827-1326
Laura Kelley	5-(191)279-6915
Gloria Cruz	7-(080)608-8954
Linda Carr	1-(649)516-0197
Theresa Burns	5-(815)039-2660
Melissa Larson	2-(385)318-4442
Kathleen Walker	1-(207)584-3747
Deborah Cunningham	6-(163)950-6271
Mildred Richardson	8-(683)314-0384
Cheryl Gardner	2-(384)210-2955
Julie Gardner	8-(464)506-4022
Betty Martinez	6-(347)647-0149
Nancy Torres	0-(068)424-8166
Ruby Chapman	1-(384)385-1473
Phyllis Gordon	0-(705)887-8139
Shirley Kennedy	8-(010)985-7600
Phyllis Long	2-(979)025-9166
Jennifer Weaver	8-(596)109-0796
Melissa Henry	6-(633)484-1305
Martha Webb	8-(899)829-3824
Joan Wright	5-(397)740-3421
Cynthia Hawkins	1-(956)919-9711
Amy Clark	6-(271)298-7576
Mary Bailey	1-(519)274-2820
Sandra Gordon	3-(305)277-7674
Dorothy Morrison	5-(007)135-1913
Kelly Perkins	2-(984)669-4182
Carol Ward	7-(985)747-7681
Jane Black	9-(779)119-5947
Andrea Campbell	1-(563)389-1513
Linda Snyder	4-(809)494-2315
Judy Davis	6-(205)013-6016
Kimberly Hicks	2-(625)736-8425
Janice Wagner	6-(701)356-2839
Ruth Ramos	3-(233)960-9142
Judy Fisher	2-(378)590-1991
Catherine Mendoza	9-(120)917-9020
Julie Roberts	4-(021)471-0698
Tammy Carpenter	8-(772)620-6179
Katherine Reyes	6-(674)879-5353
Anne Taylor	4-(374)971-1880
Michelle Young	7-(369)588-3753
Judy Rivera	1-(293)708-2366
Virginia Ferguson	8-(172)969-8630
Jessica Howard	3-(972)790-7999
Tina George	5-(103)622-9411
Emily Lopez	8-(993)442-3660
Anne Mason	6-(301)974-4447
Deborah Andrews	4-(745)839-1558
Anne Cruz	4-(775)815-1228
Norma Rodriguez	7-(455)617-0697
Tammy Ward	9-(580)411-7436
Alice Myers	6-(618)991-4424
Janet Wood	2-(582)326-6100
Dorothy Marshall	9-(963)572-4323
Frances Jones	1-(499)215-4950
Alice Fuller	0-(267)828-0443
Sharon Willis	7-(675)673-5076
Kathryn Garza	2-(858)326-8950
Teresa Reed	6-(118)234-8173
Shirley Vasquez	9-(259)629-0460
Julie Hughes	1-(755)933-8119
Annie Meyer	5-(494)287-5257
Christine Rice	3-(245)392-0039
Anna Bell	6-(323)636-1556
Kelly Sanders	7-(141)987-1699
