Melissa Little	0-(612)497-4308
Shirley Gomez	7-(352)912-0396
Martha Bowman	2-(564)957-7646
Debra White	9-(401)729-3896
Theresa Gonzalez	8-(604)982-0964
Julia Sullivan	3-(272)801-7729
Louise Coleman	4-(066)396-0492
Dorothy Cole	7-(772)265-6417
Jessica Nichols	1-(911)862-3285
Kelly Hughes	8-(395)166-9778
Pamela Garcia	6-(559)541-5054
Ashley Garrett	6-(778)310-3169
Ashley Holmes	3-(983)934-5304
Jean Long	6-(645)916-6683
Amanda Rice	5-(133)657-5402
Cynthia Mason	0-(951)050-0383
Sandra Richardson	9-(930)201-6821
Ashley Wagner	8-(906)673-2707
Karen Kim	2-(757)435-2188
Diana Bowman	6-(746)112-8037
Theresa Wilson	9-(914)087-0911
Judith Nichols	0-(738)744-7371
Nancy Wheeler	9-(301)448-0423
Lisa Young	9-(569)911-5768
Laura Austin	8-(436)774-3433
Brenda Daniels	3-(865)404-0429
Jean Roberts	4-(975)064-9088
Deborah Sims	0-(064)676-1626
Julia Chavez	8-(226)648-5519
Lois Dunn	6-(151)961-6637
Betty Lawrence	3-(680)597-7246
Andrea Mason	2-(232)557-5749
Norma Fernandez	3-(745)381-5010
Debra Burke	1-(757)612-1738
Donna Gonzales	8-(969)508-5457
Pamela Cooper	2-(715)820-6990
Denise Gutierrez	8-(213)597-8134
Carolyn Mason	7-(572)173-9126
Andrea Johnson	2-(698)432-8163
Catherine Ferguson	7-(600)241-4996
Marilyn Peters	7-(108)141-8794
Angela Barnes	6-(837)570-1618
Julie Baker	0-(264)626-2201
Robin Edwards	7-(865)511-7576
Amanda Ward	6-(572)572-4671
Ann Johnson	2-(918)424-9368
Paula Cox	1-(477)622-9624
Deborah Freeman	2-(561)024-5834
Annie Harris	4-(104)089-3282
Angela Turner	8-(787)773-2966
Lois Ward	8-(786)192-9345
Amy Jones	7-(782)635-9501
Sara Morales	6-(454)234-8418
Frances Perry	5-(800)706-8634
Joan Kelley	4-(672)825-9741
Cynthia Howard	4-(153)547-6682
Andrea Diaz	1-(592)830-5054
Ruby Walker	2-(003)635-2184
Karen Myers	2-(075)331-9704
Lori Harrison	1-(761)944-2886
Gloria Richardson	7-(916)576-1262
Lillian Edwards	4-(882)824-2527
Paula Holmes	5-(365)305-0159
Dorothy Ruiz	1-(722)560-8922
Susan Burton	8-(020)495-4118
Emily Weaver	7-(173)414-8439
Joyce Garrett	2-(578)446-1503
Lisa Adams	0-(593)607-7114
Janice Alvarez	0-(323)195-7588
Laura Wood	8-(045)635-5844
Jane Harvey	8-(652)654-5858
Jennifer Bradley	6-(975)624-6528
Kathleen Jacobs	2-(079)851-7636
Denise Harvey	4-(976)875-6405
Kathleen Oliver	0-(007)187-5458
Andrea Rivera	9-(252)248-3667
Gloria Rivera	5-(980)787-6425
Jessica Carroll	7-(754)140-9453
Wanda White	8-(169)758-5799
Jane Nelson	3-(803)570-9729
Betty Gardner	0-(128)861-3731
Sharon Ross	9-(720)610-1709
Brenda Alvarez	5-(352)446-0536
Lois Matthews	6-(301)003-9263
Pamela Bennett	7-(640)021-6950
Annie Parker	5-(654)389-8773
Pamela King	4-(391)428-0767
Joan Garrett	1-(878)416-1109
Joyce Watkins	7-(878)055-9266
Janice Wilson	2-(578)160-2417
Sandra Brooks	3-(257)194-4212
Lisa Carter	8-(481)296-6974
Mildred Chapman	4-(488)909-1527
Jean Webb	8-(527)646-7662
Sandra Perkins	4-(428)142-0941
Rose Murphy	2-(749)963-5229
Christina Garrett	2-(015)404-0715
Janice Fuller	0-(465)450-4965
Heather Dunn	8-(009)723-3977
Patricia Sanders	1-(065)667-9388
Donna Williamson	1-(496)406-2251
Donna Griffin	2-(211)460-3110
Helen Dean	5-(118)554-2751
Julia Rogers	3-(172)681-1615
Carolyn Moreno	4-(381)586-2041
Andrea Webb	9-(787)381-0541
Deborah Cook	1-(415)318-3214
Joyce Washington	9-(816)195-8925
Norma Elliott	8-(183)729-1982
Martha Elliott	4-(527)928-5971
Linda Knight	6-(311)628-2927
Anna Riley	5-(326)999-2574
Wanda Holmes	5-(464)622-5056
Susan Meyer	0-(067)005-0495
Patricia Bell	2-(265)544-6120
Sandra Garrett	8-(811)179-1183
Judith Burke	9-(527)115-8198
Nancy Austin	2-(229)453-5585
Norma Morris	8-(620)844-2774
Linda Jenkins	7-(656)758-1668
Beverly Diaz	7-(281)450-3169
Helen Gilbert	4-(952)083-4629
Karen Gibson	0-(364)477-9765
Tina Nelson	3-(683)319-6984
Ashley Black	0-(033)224-1538
Carol Reyes	9-(783)228-4343
Carolyn Wallace	3-(222)296-0907
Pamela Vasquez	3-(101)899-3999
Gloria Weaver	1-(940)002-9377
Martha Patterson	3-(208)998-0149
Lois Hudson	0-(975)449-0655
Rachel Smith	9-(893)618-1650
Betty Cunningham	8-(850)337-0569
Marie Evans	4-(209)126-0640
Tammy Ryan	3-(138)065-9293
Kelly Sims	2-(339)001-4370
Bonnie Gray	3-(312)497-1781
Alice Myers	5-(751)080-4187
Louise Jenkins	0-(251)023-5706
Pamela Collins	1-(483)079-6339
Alice Gibson	8-(488)384-1676
Andrea Baker	9-(484)159-0501
Jennifer Duncan	0-(383)938-7554
Robin Wright	3-(259)481-3734
Melissa Martin	8-(672)726-2020
Doris Hayes	9-(892)414-7501
Robin Ramirez	1-(186)907-4262
Susan Johnson	9-(291)318-8677
Stephanie Perkins	8-(947)842-5909
Bonnie Spencer	2-(247)699-2330
Wanda Holmes	7-(903)307-2826
Bonnie Burns	4-(782)252-4621
Judy Long	3-(994)501-8419
Alice Lane	4-(204)447-2235
Tammy Patterson	5-(315)993-2076
Heather Rogers	5-(960)392-3147
Shirley Schmidt	1-(381)241-7510
Jessica Schmidt	6-(469)022-1186
Andrea Black	6-(329)435-9399
Annie Harrison	8-(828)142-8731
Marilyn Porter	0-(967)719-3648
Diane Cooper	3-(575)874-2159
Kimberly Perkins	3-(410)713-7048
Marilyn Harris	5-(880)580-0450
Paula Ortiz	5-(386)884-4504
Pamela Alvarez	9-(638)695-4192
Stephanie Gardner	7-(772)046-2834
Nicole Edwards	3-(838)889-1264
Nancy Daniels	2-(026)451-4503
Janice Perkins	8-(439)978-5390
Susan Franklin	2-(862)734-5264
Heather Gardner	4-(953)365-9851
Heather Jacobs	3-(801)726-8194
Bonnie Wells	9-(781)956-0890
Christine Alvarez	0-(388)609-3629
Mary Little	8-(527)832-9409
Susan Cox	1-(735)238-9730
Michelle White	5-(107)515-5756
Irene Franklin	3-(505)822-3415
Kimberly Olson	3-(875)750-5235
Lois Dunn	6-(372)143-7641
Joyce Hudson	8-(792)177-4074
Sandra Chavez	0-(486)780-8093
Karen Robinson	0-(144)864-4680
Sarah Thompson	0-(874)545-5100
Martha King	1-(626)651-0845
Donna Fuller	7-(632)365-6868
Donna Harris	9-(136)434-3179
Christina Nichols	9-(472)936-5339
Dorothy Elliott	0-(719)530-6320
Janet Rivera	8-(355)782-9005
Lori Boyd	2-(099)177-0581
Anna Miller	4-(586)101-7184
Andrea Lawson	1-(145)649-1220
Andrea Freeman	1-(202)327-3222
Rachel Fowler	1-(626)682-2044
Joan Peters	8-(576)965-8467
Patricia Richardson	5-(530)603-0072
Sara Washington	6-(154)252-6359
Kathy Bishop	5-(524)718-3914
Irene Montgomery	7-(620)993-9779
Marie Hudson	9-(398)523-3599
Deborah Harper	9-(677)209-4314
Patricia Cook	5-(554)739-6075
Elizabeth Fuller	0-(127)020-1107
Beverly Bell	9-(288)649-0045
Virginia Jenkins	1-(609)890-8229
Catherine Daniels	3-(087)588-0118
Marilyn Mason	0-(671)760-3827
Ashley Thomas	1-(912)322-7379
Anne Russell	1-(556)957-1632
Stephanie Fernandez	2-(363)496-0024
Virginia Smith	8-(704)947-7077
Jennifer Shaw	1-(259)789-8779
Wanda Burton	9-(955)766-3539
Anne Matthews	4-(910)609-7762
Lois Cruz	7-(412)570-0977
Jennifer Wright	8-(261)108-2907
Donna Patterson	9-(828)017-4514
Judith Diaz	3-(310)025-7067
Donna Diaz	2-(376)281-3138
Gloria Bailey	9-(248)560-1869
Ruth Jones	2-(489)882-3492
Lisa Nelson	3-(432)491-5452
Andrea Anderson	2-(890)457-5069
Anne Woods	8-(634)946-4843
Mary Hayes	7-(900)753-9071
Joyce Brown	3-(380)660-9390
Amy Meyer	3-(146)588-3635
Jessica Stevens	7-(374)415-6767
Maria Mccoy	6-(129)625-2932
Lori Ortiz	2-(915)501-6795
Phyllis Chavez	5-(271)833-1633
Cheryl Jenkins	6-(494)621-6010
Maria Harvey	1-(558)483-1056
Lillian Riley	5-(458)271-6539
Marilyn Powell	1-(035)176-5683
Dorothy Williamson	0-(912)359-6866
Paula Hunter	8-(426)417-4513
Marie Thompson	1-(642)429-2864
Julia Harris	1-(722)063-8516
Donna Young	7-(390)704-8860
Julie Garcia	1-(667)970-9719
Diana Crawford	5-(603)389-2484
Angela West	7-(047)596-3799
Alice Perez	2-(116)771-7015
Janice Hughes	1-(998)060-0828
Judy Ramos	9-(868)273-0498
Virginia Dixon	9-(383)483-7010
Joyce Foster	8-(470)074-4940
Dorothy Stephens	2-(346)615-6382
Jessica Morgan	9-(634)289-9871
Catherine Gordon	0-(975)381-4765
Ruby Peterson	1-(601)203-4134
Debra Little	9-(810)965-4328
Ann Stanley	7-(287)479-2347
Ann Frazier	6-(674)241-7782
Sandra Kelly	5-(088)582-7069
Janice Long	4-(884)372-9347
Sharon Hunt	9-(903)839-0376
Rachel Elliott	9-(946)837-5871
Theresa Taylor	8-(968)302-4180
Kathy Reid	9-(955)133-3987
Susan Jones	6-(465)658-8914
Sara Montgomery	4-(732)825-4899
Deborah Hill	2-(679)937-6101
Doris Morgan	9-(115)240-0323
Sarah Rice	5-(537)906-4495
Kathryn Oliver	2-(949)813-9947
Melissa Pierce	6-(565)103-1587
Frances Carr	1-(954)289-2909
Doris Davis	8-(171)492-0670
Linda Hart	0-(508)441-3854
Lois Lopez	0-(111)524-0076
Shirley Barnes	7-(653)176-8802
Joyce Harper	4-(128)520-5577
Sharon Diaz	8-(540)526-1921
Jennifer Henry	9-(091)416-4332
Tina Chavez	1-(152)261-4139
Julia Hayes	9-(183)109-5728
Debra Little	7-(045)064-9034
Mildred Castillo	3-(646)484-0473
Kimberly Hunt	2-(584)843-8951
Theresa Brown	7-(020)853-1382
Julia Green	0-(522)954-1813
Alice Ortiz	8-(596)242-5384
Rebecca Scott	3-(587)112-9008
Jennifer Reed	5-(927)002-5477
Cynthia Cole	5-(274)504-1803
Tammy Carter	4-(372)779-5851
Judith Smith	2-(535)424-0749
Michelle Gonzales	3-(535)564-0193
Beverly Hill	3-(759)505-9128
Denise Hamilton	7-(145)228-1944
Maria Brooks	7-(928)329-5292
Paula Greene	7-(953)999-8285
Jessica Burns	2-(500)600-0314
Mildred Gonzalez	1-(820)660-2181
Kelly Franklin	7-(408)126-7978
Nicole Morrison	4-(396)608-4415
Mary Mason	1-(405)462-0675
Margaret Anderson	8-(679)037-7764
Lori Phillips	1-(311)217-3860
Kimberly Henderson	7-(458)546-2260
Kimberly Mitchell	7-(250)317-1326
Amy King	2-(413)661-4902
Patricia Gilbert	0-(450)678-3211
Teresa Perkins	9-(552)364-7899
Diana Jones	3-(850)174-1928
Kathryn Stevens	9-(796)418-2180
Elizabeth Lane	3-(075)416-6762
Nicole Hunt	0-(143)898-7602
Norma Webb	3-(534)596-1504
Sandra Reynolds	9-(464)022-6015
Janet Webb	0-(013)560-8098
Christina Ryan	2-(034)658-2841
Marie Garrett	9-(541)218-5136
Phyllis Sanders	1-(809)990-9805
Tina Bowman	6-(860)901-4707
Stephanie Ferguson	3-(453)838-7409
Christine Daniels	4-(628)796-1457
Rachel Cole	2-(053)679-5341
Diana Kelly	0-(436)785-9679
Dorothy Bowman	7-(389)255-8346
Virginia Montgomery	6-(585)534-4313
Phyllis Garrett	9-(675)755-3690
Joyce Watson	5-(782)997-1020
Julie Hill	8-(617)178-8434
Helen Carroll	7-(815)951-0360
Irene Ross	4-(111)632-5376
Mildred Cruz	9-(830)150-1439
Julie Rose	5-(533)773-1995
Beverly Brooks	5-(417)342-4971
Denise Sanchez	5-(053)539-5036
Louise Fuller	9-(836)783-9427
Alice Bailey	2-(365)850-7900
Donna Carr	7-(480)106-4494
Rose Garcia	1-(702)333-6984
Joyce Gardner	8-(004)337-9622
Shirley Garrett	9-(684)521-3919
Amanda Reynolds	0-(566)328-2262
Ann Carroll	9-(211)799-7018
Virginia Ferguson	2-(807)687-4098
Janice Hughes	1-(699)129-1132
Angela Foster	8-(242)649-3924
Amy Coleman	4-(022)363-6521
Carol Carter	2-(612)168-7407
Margaret Roberts	4-(332)686-8518
Nancy Harris	8-(491)616-6711
Beverly Adams	5-(855)036-9193
Melissa Bradley	7-(996)562-3566
Jean Murphy	9-(305)583-7600
Nancy Palmer	9-(491)435-9107
Jessica Edwards	1-(032)263-2085
Kathy Richardson	8-(794)445-0608
Anna Dixon	6-(866)054-6220
Jessica Jones	5-(739)210-7568
Diana Wheeler	6-(906)790-3650
Theresa Welch	3-(672)660-9837
Stephanie Elliott	6-(535)413-5585
Catherine Nelson	2-(289)712-1373
Jane Wells	9-(619)628-9868
Carolyn Vasquez	4-(566)438-6317
Joan Price	4-(064)011-3766
Emily Cole	3-(263)798-2768
Ruby Smith	2-(401)571-6233
Melissa Ramirez	7-(253)357-5329
Michelle Lane	0-(715)298-7184
Brenda Davis	8-(328)646-9018
Julie Gibson	6-(895)397-8985
Catherine Washington	8-(061)576-5349
Cynthia Jackson	6-(024)074-0629
Heather Garza	6-(978)250-6791
Nicole Crawford	0-(069)493-4892
Nancy Henderson	7-(182)916-2032
Carol Harper	0-(615)558-4111
Cynthia Wells	7-(156)196-5955
Paula Medina	4-(735)453-3265
Lisa Perez	6-(196)016-3761
Gloria Murphy	1-(917)810-1701
Joyce Griffin	3-(777)745-4013
Judy Gray	9-(730)241-8445
Debra Morales	6-(467)463-8044
Catherine Price	4-(047)780-5312
Christine Foster	2-(464)523-5430
Susan Bailey	7-(955)894-4162
Tina Boyd	2-(551)056-0725
Patricia Simmons	3-(426)656-2826
Cheryl Alvarez	7-(011)840-7822
Amy Hall	9-(460)834-3887
Phyllis Jones	3-(389)392-3841
Diane Richardson	4-(250)052-2490
Nicole Montgomery	7-(285)584-0616
Mary Medina	1-(309)235-7186
Robin White	5-(333)203-7465
Anna Rose	7-(067)416-8209
Ann Riley	2-(792)660-9289
Dorothy Hill	1-(038)828-6633
Dorothy Hall	9-(914)435-2819
Laura Moreno	5-(429)491-4963
Robin Coleman	2-(249)095-3684
Dorothy Frazier	3-(110)749-5530
Amanda Richardson	0-(984)172-4621
Susan Richards	6-(889)114-7377
Marilyn Hill	0-(144)798-3074
Linda Baker	7-(447)375-3682
Frances Mendoza	7-(499)512-3679
Kathryn Kennedy	4-(089)750-8969
Joyce Oliver	1-(844)486-7443
Robin Dean	3-(632)315-3004
Jessica King	6-(881)576-6883
Angela Ferguson	2-(070)469-8170
Kathy Harrison	9-(466)434-7882
Kelly Dixon	4-(407)368-3035
Catherine Davis	3-(456)889-8268
Judith Watson	9-(848)982-5956
Paula Day	3-(879)238-2909
Kathleen Harris	5-(891)965-9294
Christina Myers	6-(611)525-7877
Phyllis Reynolds	6-(679)717-5010
Nancy Anderson	5-(129)320-6587
Margaret Warren	9-(940)339-3762
Maria Baker	0-(258)429-9610
Cheryl Sanchez	8-(064)791-6800
Christine Wheeler	4-(737)211-4692
Cheryl Martinez	9-(286)434-4040
Helen Thompson	3-(766)866-0759
Elizabeth Harvey	0-(454)045-9599
Kathy Hall	6-(892)934-1272
Christine Chapman	6-(305)910-1121
Jean Morrison	5-(328)857-3135
Judy Roberts	5-(441)534-3359
Janice Russell	9-(631)256-7769
Catherine Stewart	5-(992)391-0096
Beverly Foster	7-(919)325-4615
Ruth Gardner	3-(763)985-8766
Anna Jacobs	9-(197)457-2651
Mildred Romero	8-(501)174-1004
Pamela Evans	3-(085)973-6140
Michelle Jones	2-(814)258-4205
Lillian Ruiz	8-(572)482-5076
Heather Stanley	3-(200)517-2419
Janice Garcia	9-(126)208-9506
Julia Grant	9-(003)814-6572
Rose Rivera	7-(630)098-3261
Wanda Castillo	8-(913)832-1699
Joyce Diaz	6-(700)393-8595
Lisa Freeman	0-(614)476-3630
Julia Vasquez	8-(788)404-9027
Sandra Sullivan	5-(083)123-4939
Judy Mills	2-(022)682-5028
Joan Stone	9-(459)950-7067
Beverly Watkins	8-(958)806-8342
Deborah Allen	4-(122)914-4470
Ann Bryant	4-(380)877-4386
Judy Payne	8-(808)043-4328
Denise Carr	6-(650)277-1513
Barbara Clark	3-(473)076-3080
Judith Mendoza	6-(624)852-5973
Carol Rice	2-(123)523-9181
Elizabeth Allen	3-(942)606-1983
Phyllis Long	9-(426)976-7749
Judith Crawford	6-(345)169-6239
Carol Lee	1-(977)373-1887
Kathy Rivera	6-(470)998-7040
Janet Edwards	7-(008)948-0186
Teresa Riley	9-(946)854-2208
Stephanie Howell	1-(559)683-6389
Heather Alvarez	3-(668)145-8738
Ann Nelson	0-(379)160-9498
Rachel Warren	1-(467)376-3899
Louise Stephens	9-(797)973-5164
Brenda Fox	8-(866)478-9509
Amy Gilbert	5-(136)253-9665
Debra Simpson	0-(827)486-1607
Deborah Thompson	4-(323)816-7174
Christine Ellis	8-(759)247-5130
Lillian Olson	3-(802)821-1056
Sarah Jenkins	9-(819)373-9098
Doris Cooper	6-(164)414-1841
