Jane Hayes	2-(643)886-5222
Bonnie Collins	2-(475)418-0420
Dorothy Lewis	5-(368)472-3448
Sarah West	3-(137)577-3886
Lisa Gomez	9-(341)946-3047
Michelle Flores	2-(227)985-4481
Karen Henry	2-(561)042-4794
Heather Sims	1-(352)409-8712
Katherine Morris	5-(521)502-5108
Christina Mills	8-(720)061-2232
Marilyn Freeman	7-(240)084-3032
Tina Clark	5-(284)237-0428
Betty Perkins	6-(598)909-2287
Kelly Sanders	6-(135)969-8917
Janet Warren	4-(575)844-9294
Wanda Brown	4-(709)234-9680
Kelly Henderson	8-(793)302-2680
Robin Hansen	3-(771)895-1644
Amanda Harris	1-(716)537-1104
Rose Duncan	5-(780)460-4292
Alice Rivera	8-(044)866-8925
Nancy Mitchell	2-(023)826-7451
Donna Bryant	9-(593)916-2219
Dorothy Reynolds	3-(463)994-5469
Tina Moore	2-(845)092-9318
Katherine Ward	5-(817)460-7949
Amy Morris	1-(104)286-4440
Denise Hicks	2-(553)855-7631
Virginia Carpenter	9-(440)475-9769
Annie Mcdonald	7-(940)292-6325
Lori Vasquez	4-(739)063-3994
Shirley Hanson	6-(456)934-9739
Ashley Butler	4-(934)899-0606
Helen Frazier	6-(140)490-3515
Rachel Rose	6-(563)226-2321
Amy Williams	1-(447)042-1052
Deborah Nichols	4-(739)976-8398
Carolyn Ruiz	2-(223)463-5809
Julia Garrett	6-(241)487-3902
Deborah Riley	3-(224)773-8989
Jennifer Vasquez	7-(557)170-3486
Karen Foster	6-(344)521-5576
Kimberly Alvarez	3-(031)332-7198
Jacqueline Bennett	6-(372)908-6204
Jessica Fox	6-(202)043-0254
Robin Richardson	3-(698)647-7142
Annie Mcdonald	5-(369)500-7160
Virginia Gilbert	9-(526)471-9949
Diana Phillips	8-(560)427-7517
Deborah Jacobs	2-(333)951-2415
Mildred Woods	5-(256)919-8983
Diane Stevens	1-(509)735-0976
Cheryl Clark	0-(193)270-8478
Robin Cunningham	0-(583)976-6786
Kelly Wright	9-(266)409-9528
Heather Kelley	9-(854)772-2040
Lori Collins	3-(871)677-2214
Emily Gibson	1-(603)552-0577
Michelle Baker	7-(777)767-0664
Michelle Washington	7-(936)309-8863
Kathy Armstrong	3-(393)752-0784
Wanda Ward	2-(362)351-9211
Amanda Duncan	0-(746)663-5095
Jane Medina	9-(805)957-8061
Phyllis Romero	1-(951)707-2195
Angela Marshall	2-(640)627-2127
Lois Watson	7-(993)359-5467
Judith Richardson	1-(169)478-9034
Sarah Rivera	8-(167)878-1884
Nicole Nichols	2-(265)985-0469
Lois Harrison	9-(567)207-5791
Alice Boyd	6-(782)195-0326
Ruby Nelson	2-(486)889-5732
Rose Russell	5-(267)429-0493
Laura Watkins	6-(967)483-4031
Teresa Lane	4-(099)205-1077
Brenda Collins	7-(330)573-7191
Lisa Carroll	0-(162)991-6075
Amanda Porter	0-(853)983-2249
Lisa Dean	6-(451)064-7961
Doris Martinez	0-(997)696-1875
Amanda Cruz	0-(200)939-6349
Evelyn Oliver	9-(909)941-7425
Phyllis Price	9-(476)871-7506
Lori Duncan	2-(306)026-3927
Dorothy Matthews	1-(111)214-5136
Denise Hernandez	0-(557)013-5532
Virginia Matthews	5-(719)966-2715
Carol Dunn	6-(258)173-5423
Robin Harper	1-(455)183-3489
Judy Gordon	4-(939)648-4662
Doris Hart	0-(460)922-3559
Theresa Thomas	3-(286)228-6441
Linda Ortiz	8-(514)823-4021
Anna Frazier	9-(959)087-1449
Carolyn Weaver	7-(722)774-6092
Marilyn Robertson	3-(072)491-7170
Jessica Nichols	4-(828)688-4913
Tina West	7-(240)738-1225
Jennifer Johnson	4-(764)127-5873
Phyllis Hanson	0-(774)094-5190
Kimberly Campbell	4-(943)404-7468
Louise Palmer	9-(067)813-2406
Barbara Graham	5-(450)681-9151
Ann Foster	7-(644)502-5283
Rachel Kelly	7-(768)001-2499
Debra Reyes	5-(786)782-2940
Jennifer Moore	0-(726)083-5702
Julia Chavez	6-(222)096-5531
Amanda Snyder	7-(548)293-1549
Anna Young	9-(049)711-0704
Carol Riley	1-(301)047-4523
Maria Rogers	1-(562)308-9911
Irene Montgomery	0-(566)076-0184
Lisa Fox	7-(661)723-0757
Bonnie Lewis	5-(884)580-7253
Helen Turner	8-(914)790-0705
Mary Carr	3-(851)205-1027
Julie Fuller	0-(039)671-0018
Pamela Brooks	5-(870)267-3966
Sara Ross	0-(640)430-6386
Karen Jordan	5-(652)554-4415
Marilyn Burns	4-(108)371-5324
Brenda Stewart	7-(368)926-4607
Amy Wagner	4-(050)392-2636
Amanda Palmer	2-(487)578-7307
Annie Bradley	8-(548)926-0516
Stephanie Nichols	3-(889)127-8512
Dorothy Campbell	3-(885)496-8278
Gloria Burns	3-(995)611-2069
Joyce Ellis	2-(211)291-6799
Irene Wells	9-(315)162-7973
Diana Garcia	2-(337)998-9375
Diane Henry	4-(084)332-3364
Andrea Jackson	2-(180)858-7655
Annie Brooks	5-(080)870-5719
Carolyn Fuller	2-(944)702-3514
Kathleen White	7-(158)465-6451
Kathy Wright	5-(085)463-2186
Deborah Bishop	7-(911)190-8558
Amy Murray	9-(326)607-8209
Diane Castillo	6-(178)316-1506
Helen Simmons	9-(212)294-3373
Jane Cook	1-(002)167-9172
Cynthia Woods	4-(455)441-2215
Cynthia Ortiz	8-(851)681-5340
Julia Lewis	2-(316)875-6097
Margaret Perkins	2-(143)160-7525
Margaret Dean	3-(676)762-6581
Ashley Banks	1-(782)418-1191
Norma Matthews	5-(801)199-1827
Ann Frazier	8-(220)090-9726
Nicole Reid	5-(622)091-0363
Wanda Lopez	4-(316)713-7129
Melissa Bowman	3-(258)579-1327
Lisa Reynolds	7-(004)389-1091
Julie Butler	5-(813)163-0546
Stephanie Sanchez	6-(489)850-9935
Patricia Simpson	0-(772)040-2945
Amy Duncan	2-(033)616-3022
Marie Foster	2-(210)029-5361
Ann Freeman	6-(662)260-3222
Kelly Weaver	6-(562)425-0752
Nancy Henderson	4-(846)438-5081
Rose Gonzales	9-(067)244-3472
Emily Bailey	7-(360)806-7211
Jessica Murray	0-(916)096-0813
Heather Mills	5-(266)917-8070
Betty Wheeler	1-(089)442-8133
Maria Sullivan	6-(448)374-6925
Linda Reed	0-(015)030-6550
Kathryn Adams	7-(109)265-5324
Denise Ferguson	3-(982)130-1616
Julia Black	9-(111)969-4008
Phyllis Henry	5-(202)554-0010
Judy Lane	2-(651)283-2165
Jennifer Day	0-(475)738-0375
Pamela Castillo	9-(557)196-2042
Margaret Lane	0-(565)004-8828
Kathleen Green	1-(152)265-8409
Sharon Kennedy	8-(057)306-9586
Lisa Wood	8-(772)365-2805
Patricia Gutierrez	2-(461)459-9869
Joan Freeman	5-(275)697-0766
Amanda Mcdonald	7-(881)020-8042
Kelly Shaw	0-(868)539-5969
Rebecca Rodriguez	7-(865)820-0260
Sandra Collins	4-(949)299-6869
Marilyn Cunningham	0-(495)463-2149
Marilyn Perkins	3-(295)441-3291
Irene Washington	0-(341)026-6048
Lillian Crawford	7-(882)615-7682
Judy Dixon	0-(448)206-8541
Gloria Roberts	5-(597)835-8783
Catherine Fields	2-(449)610-5163
Brenda Miller	9-(850)539-7278
Rebecca Reid	5-(243)155-3449
Mildred Coleman	7-(932)348-2398
Marie Morrison	6-(745)929-5264
Helen Cunningham	0-(849)861-3282
Mildred Fernandez	8-(166)868-4088
Lillian Frazier	4-(959)504-9147
Patricia Fisher	6-(612)902-7389
Julie Jordan	0-(163)136-1635
Kimberly Lawrence	5-(743)574-6621
Theresa Baker	0-(400)190-4245
Barbara Lee	5-(383)780-3329
Jennifer Murphy	5-(727)963-8926
Norma Watkins	9-(950)274-8148
Sara Kelly	3-(284)632-1192
Cheryl Clark	5-(888)289-2847
Jean Evans	0-(164)490-5468
Irene Adams	2-(678)775-9262
Anna Wright	3-(574)954-5108
Robin Fields	7-(510)117-1328
Christine Sullivan	8-(723)542-6047
Frances Sanchez	5-(264)967-8320
Tammy Duncan	8-(027)249-1264
Jacqueline Castillo	8-(105)269-9911
Helen Jacobs	4-(566)948-0388
Evelyn Fox	6-(488)033-6682
Kathy Montgomery	8-(709)153-7503
Julia Fields	4-(428)696-5322
Amanda Jones	9-(626)637-7256
Diane Grant	0-(313)781-0655
Kimberly Elliott	2-(582)303-1154
Betty Lane	5-(993)805-6300
Christine Warren	2-(055)591-2002
Brenda Wilson	2-(116)734-3079
Kathryn Foster	0-(145)227-4728
Kelly Hudson	6-(524)234-8811
Maria Morris	7-(141)241-6927
Cheryl Ford	7-(907)835-3434
Andrea Richardson	2-(298)661-6746
Christina Freeman	1-(512)432-4115
Dorothy Perry	4-(905)659-4200
Jean Martinez	6-(071)884-5402
Gloria Ellis	6-(973)737-5622
Alice Gonzales	0-(014)349-2548
Bonnie Hill	9-(260)836-4793
Judy Welch	0-(893)710-2536
Denise Elliott	2-(434)203-9724
Christina Ray	6-(763)419-3815
Catherine Brooks	1-(631)411-9532
Sharon Romero	2-(366)110-7217
Janice Welch	2-(693)027-0507
Diana Gordon	6-(855)564-8365
Rose Walker	9-(889)237-6119
Melissa Johnson	5-(569)291-2334
Dorothy Jacobs	1-(512)925-6209
Lillian Morrison	5-(550)440-8501
Michelle Barnes	3-(705)500-4544
Norma Williams	1-(004)650-7608
Amy Wilson	2-(445)691-0810
Lisa Coleman	7-(202)788-9000
Amy Day	3-(506)689-7798
Laura Lawson	3-(654)600-0035
Joan Hernandez	4-(588)329-3696
Lois Hamilton	4-(656)584-9328
Debra Hernandez	0-(572)310-4056
Joan Hudson	4-(279)971-5434
Dorothy Sanchez	7-(436)769-3633
Kelly Ramirez	4-(473)443-3052
Julia Gibson	4-(140)854-0825
Stephanie Thompson	8-(591)776-1787
Heather Freeman	3-(452)453-6032
Alice Morrison	1-(297)314-2829
Marie Wood	6-(750)701-2581
Cheryl Alexander	3-(991)132-8942
Laura Myers	8-(828)724-6683
Martha Wagner	0-(924)686-9071
Katherine Robinson	1-(584)504-3192
Carol Reed	6-(603)497-5951
Theresa Martinez	9-(770)417-3979
Nancy Castillo	8-(002)098-3076
Amanda Griffin	5-(415)663-9360
Judy Simmons	7-(805)559-9109
Martha Woods	6-(785)216-1724
Sandra Henry	4-(396)340-1688
Sandra Ellis	3-(310)830-2257
Kathryn Burton	9-(713)668-3659
Lori Adams	4-(341)728-3239
Robin Owens	5-(328)749-4761
Amanda Nguyen	7-(113)737-7155
Norma Rogers	7-(658)308-4177
Joyce Rose	2-(944)541-3899
Evelyn Garrett	3-(943)626-6809
Lois Meyer	4-(431)091-0568
Beverly Collins	2-(776)741-1640
Catherine Bradley	5-(400)799-4228
Susan Cox	2-(402)704-0462
Sarah Lopez	0-(697)514-4898
Mary Fisher	2-(725)933-1375
Patricia Kelly	4-(310)465-1090
Julie Murray	8-(060)360-6024
Ann Chavez	5-(312)491-6963
Mary Jacobs	8-(805)115-6745
Ann Coleman	5-(610)029-2468
Marie Ryan	2-(675)004-8498
Robin Spencer	2-(289)248-6344
Cynthia Morris	9-(538)723-5392
Karen Owens	4-(047)730-9968
Amanda Garza	7-(420)472-7853
Jane Gardner	3-(597)383-8488
Dorothy Harper	0-(945)945-5723
Deborah Montgomery	9-(600)532-3154
Jacqueline Moreno	7-(956)164-7696
Paula Armstrong	9-(333)141-0791
Carolyn Ford	9-(617)506-3230
Dorothy Jenkins	4-(334)431-1184
Anna Fowler	4-(620)095-1673
Louise Ortiz	0-(476)988-5872
Julia Burke	7-(963)503-6005
Jacqueline Cook	6-(545)071-0170
Kathleen Weaver	8-(983)569-6951
Phyllis Ward	0-(938)999-2371
Susan Gomez	8-(719)390-8642
Carolyn Cruz	7-(520)925-9786
Norma Franklin	9-(658)529-7777
Stephanie Hernandez	5-(267)919-3922
Dorothy Cole	1-(859)311-4545
Lori Sanchez	2-(599)634-7208
Doris Robinson	7-(790)001-6560
Gloria Owens	3-(054)659-5045
Beverly Watson	5-(958)893-2116
Ruby Nelson	5-(233)002-3475
Rebecca Wells	0-(056)986-8930
Irene Harris	8-(588)972-9331
Gloria Freeman	3-(113)405-8340
Christina Clark	6-(261)921-0622
Sharon Boyd	4-(107)630-0596
Elizabeth Carroll	0-(421)869-0825
Jane Ray	3-(231)751-2988
Paula Allen	3-(773)467-0002
Annie Banks	3-(892)569-9313
Debra Mills	1-(653)115-9742
Ruby Stephens	2-(812)419-2691
Kathleen Roberts	0-(819)095-9410
Lisa Tucker	0-(057)127-3625
Betty Olson	6-(610)035-3546
Irene Lopez	8-(706)590-7794
Jennifer Allen	7-(715)003-2755
Evelyn Hudson	5-(808)676-6909
Amy Oliver	0-(824)222-4216
Brenda Ellis	2-(518)671-6826
Joyce Holmes	2-(212)949-5964
Alice Reed	0-(915)402-9283
Kathryn Romero	7-(009)472-1669
Doris Simpson	2-(186)820-8452
Anne Mccoy	8-(130)972-8805
Helen Elliott	8-(219)686-0971
Helen Payne	8-(915)605-8461
Pamela Snyder	6-(358)119-3306
Phyllis Morris	6-(856)825-2114
Catherine Brooks	0-(192)361-4342
Marie Torres	7-(692)766-1810
Cynthia Hart	0-(612)678-0113
Theresa Medina	0-(155)163-8385
Donna Dean	3-(936)115-3600
Michelle Smith	8-(276)271-2901
Nicole Wood	9-(120)093-5841
Carol Butler	0-(327)297-2759
Betty Spencer	2-(483)649-3531
Sarah Wells	7-(660)120-1382
Lillian Lee	0-(144)709-0014
Kimberly Davis	5-(347)366-2244
Margaret Kim	0-(697)811-6883
Linda Kennedy	0-(071)770-6017
Evelyn Murphy	7-(707)571-6576
Patricia Russell	1-(904)044-0239
Michelle Gomez	9-(848)539-5579
Frances Shaw	0-(223)988-7713
Brenda Stephens	8-(409)077-1895
Barbara Russell	4-(484)974-4280
Annie Jacobs	2-(932)280-4464
Judith Lewis	5-(261)645-4044
Evelyn Fisher	0-(358)419-3706
Kathy Gibson	6-(851)297-9823
Anne Nichols	6-(345)434-1223
Elizabeth Jackson	9-(224)769-2696
Janet Richards	9-(020)754-4260
Angela Payne	6-(473)905-6754
Julia Washington	1-(640)978-4362
Alice Olson	9-(857)002-0904
Lillian Evans	3-(674)713-7754
Heather Crawford	1-(896)100-6026
Christina Boyd	0-(550)806-9585
Jennifer Lawson	2-(506)687-2722
Doris Mcdonald	3-(407)138-2222
Christine Riley	2-(760)833-5059
Marilyn Myers	6-(105)200-7586
Brenda Jacobs	6-(064)433-2896
Lori Carroll	8-(894)342-7075
Marilyn Bowman	0-(440)686-6035
Janice Fields	0-(332)786-3899
Pamela Owens	9-(101)614-6491
Emily Chavez	0-(451)560-8909
Helen Hughes	8-(962)221-0548
Bonnie Gonzales	4-(952)751-2314
Ruby Flores	8-(176)084-2422
Christine Kelly	9-(985)616-8850
Carolyn Porter	7-(650)428-1123
Sandra Castillo	0-(246)432-7500
Janice Peterson	7-(795)888-3017
Andrea Knight	3-(062)211-3951
Pamela Collins	6-(815)182-8689
Jean Snyder	7-(569)858-7075
Angela Montgomery	8-(785)491-8562
Maria Gutierrez	6-(770)934-8576
Patricia Wells	4-(114)310-9768
Anna Young	8-(838)918-0512
Lillian Hart	4-(730)994-9548
Stephanie Perez	7-(641)206-5124
Rachel Long	6-(066)366-9382
Lisa Hawkins	8-(994)453-1908
Margaret Nichols	7-(733)679-9316
Patricia Hernandez	9-(360)577-1059
Virginia Wheeler	6-(000)857-2513
Bonnie Jenkins	9-(377)186-7327
Wanda Anderson	5-(307)872-2358
Tina Rivera	2-(385)036-0739
Debra Adams	7-(378)960-0982
Joyce Matthews	8-(963)802-7883
Phyllis Carr	8-(661)422-3820
Andrea Ryan	2-(323)426-1590
Robin Fuller	8-(306)393-0298
Jean Porter	6-(309)947-2688
Ashley Cole	3-(924)680-6361
Sara Frazier	6-(345)198-2995
Marilyn James	4-(943)207-8450
Robin Frazier	0-(541)587-9218
Evelyn Spencer	5-(943)448-0891
Stephanie Thomas	7-(358)323-9577
Andrea Wells	0-(224)215-8113
Kathy Wells	2-(320)297-6593
Rebecca Little	1-(789)321-6713
Rachel Duncan	0-(489)219-4568
Tina Chavez	6-(234)066-0050
Joan Griffin	3-(331)360-9083
Kathleen Freeman	2-(151)023-6690
Jessica Reynolds	7-(029)689-3827
Phyllis Williams	7-(412)383-6654
Ann Knight	2-(799)082-5779
Marie Cruz	0-(402)489-8016
Nancy Armstrong	3-(401)853-9665
Marie Thomas	7-(891)449-6459
Rebecca Andrews	9-(498)772-0390
Brenda Stewart	2-(392)542-3780
Denise Hanson	0-(068)211-0418
Sara Martinez	6-(868)313-2225
Maria Black	9-(984)270-8894
Paula Henderson	1-(815)745-9895
Heather Willis	8-(375)438-3768
Paula Kim	2-(599)124-3276
Julie Burns	7-(935)291-3383
Joyce Alexander	9-(433)291-2456
Michelle Murphy	4-(524)011-2184
Sandra Moreno	7-(048)520-5641
Mary Shaw	9-(569)991-8989
Ruth Reynolds	2-(931)667-3408
Carolyn Wells	4-(900)944-4763
Michelle Ford	4-(467)913-6534
Kimberly Jacobs	1-(467)476-1798
Janet Jones	4-(664)937-6733
Emily Morales	9-(860)676-6586
Cheryl James	1-(823)717-2092
Judith Burns	5-(203)349-7381
Patricia Miller	4-(984)758-2814
Mildred Patterson	3-(598)362-4873
Diane Sims	6-(141)357-6368
Debra Murray	1-(788)025-2809
Cheryl Kim	4-(237)043-6716
Pamela Diaz	2-(854)969-7030
Jennifer Henry	8-(246)065-5193
Helen Allen	0-(056)088-3696
Angela Rogers	4-(645)719-8094
Angela Owens	6-(049)957-0236
Amanda Ford	8-(710)603-5244
Jennifer Olson	3-(040)552-8389
Virginia Gomez	6-(905)908-9061
Mildred Rodriguez	0-(284)983-9494
Virginia Jenkins	8-(199)344-0521
Marie Cook	0-(901)663-5537
Jacqueline Howard	8-(708)215-5481
Jean Stanley	8-(019)368-3090
Jacqueline Mitchell	1-(058)569-2433
Nicole Spencer	9-(959)570-4762
Judith Peters	1-(235)996-7977
Lillian Watkins	1-(613)297-4413
Kimberly Campbell	5-(689)648-0332
Ruby Taylor	8-(868)886-6695
Debra Harris	6-(122)167-0356
Janet Kennedy	9-(026)418-2091
Teresa Gray	0-(636)336-4571
Andrea Mccoy	0-(948)707-0005
Emily Patterson	8-(584)779-7360
Sara Harvey	4-(852)444-1284
Karen Warren	1-(581)502-8972
Carolyn Pierce	2-(537)615-6519
Anne Baker	6-(517)040-3849
Mildred Moore	8-(541)423-4841
Beverly Castillo	8-(087)094-5899
Kimberly Hill	0-(556)124-5920
Cynthia Banks	1-(715)522-5913
Helen White	3-(440)597-0715
Heather Crawford	0-(218)981-3544
Ann Dixon	7-(995)670-7760
Kimberly Stewart	1-(078)384-6138
Cheryl Warren	5-(566)324-8582
Ruth Sanchez	4-(736)332-4806
Nancy Martin	6-(378)467-3753
Pamela Davis	5-(305)089-2644
Mary Wright	3-(004)145-4390
Diane Wilson	1-(582)984-5782
Rose Harrison	2-(336)636-4569
Ashley Lewis	1-(149)322-0704
Doris Sanchez	9-(484)530-1572
Rose Woods	6-(802)373-5582
Shirley Payne	4-(540)366-7413
Patricia Matthews	3-(174)445-3506
Andrea Peterson	4-(783)403-5233
Sara Reed	7-(004)801-2287
Donna Johnston	2-(559)932-0161
Ashley Kim	4-(790)195-4311
Carolyn Foster	2-(476)977-9159
Ann Ellis	0-(999)501-9109
Marie King	2-(097)050-0881
Donna Wheeler	1-(606)276-6481
Jean Snyder	0-(955)521-2686
Stephanie Taylor	6-(183)663-0758
Carol Murray	2-(950)928-3365
Ann Williamson	4-(004)886-7487
Janice Thomas	8-(462)688-0764
Sandra Riley	9-(272)850-5615
Michelle Chapman	2-(740)557-2347
Ann Little	9-(861)802-7948
Irene Morales	6-(833)524-2422
Melissa Meyer	1-(962)453-6007
Anne Welch	1-(269)046-3273
Christine Harper	3-(592)501-1386
Phyllis Arnold	7-(258)656-4889
Marie Simpson	5-(276)333-2647
Joan Lewis	9-(253)317-3202
Kimberly Watkins	2-(905)714-2502
Diane Bradley	0-(179)686-8136
Jacqueline Bell	2-(982)876-3671
Janet Kelly	4-(691)601-6222
Evelyn West	2-(909)736-8967
Deborah Adams	4-(354)386-4000
Carolyn Peters	6-(899)395-0562
Janice Ellis	0-(319)229-3935
Mildred Hawkins	6-(389)289-1124
Evelyn Olson	7-(562)996-3888
Julie Lee	3-(964)646-5225
Karen Wilson	0-(897)612-7265
Lois Taylor	3-(762)222-1709
Robin Reid	8-(868)995-5154
Elizabeth Kelley	3-(091)245-5285
Alice Vasquez	4-(727)911-6405
Donna Nichols	4-(632)372-0358
Julie Payne	9-(150)889-0126
Janice Stevens	3-(265)199-8087
Beverly Robinson	7-(174)068-0132
Tina Baker	6-(893)577-2616
Maria Robinson	9-(907)060-1207
Margaret White	0-(424)091-2200
Kathryn Riley	8-(992)228-1477
Anne Evans	2-(499)239-5455
Barbara Smith	5-(710)459-2466
Christina Mitchell	2-(639)503-8186
Debra Watkins	2-(867)159-8456
Bonnie Shaw	3-(135)843-3940
Irene Phillips	9-(037)476-3951
Amy Ray	6-(421)291-6247
Phyllis Andrews	2-(229)274-7376
Carolyn Thomas	1-(050)642-6253
Norma Allen	2-(749)073-2814
Jane Perry	2-(010)132-7038
Janice Reid	2-(607)496-6344
Amy Robinson	3-(974)485-2268
Katherine Sanchez	1-(513)594-8346
Pamela Mills	9-(194)275-4888
Karen Sanders	4-(843)829-4244
Brenda Webb	0-(665)435-7807
Gloria Flores	6-(601)365-9094
Barbara Watson	0-(687)080-3287
Diane Diaz	0-(483)091-7675
Kathleen Hansen	4-(940)488-0219
Lois Black	6-(583)437-9216
Kimberly Ferguson	4-(193)949-7798
Lois Walker	6-(645)737-3745
Karen Flores	4-(967)997-1338
Irene Weaver	9-(416)944-7794
Ruth Ferguson	8-(432)930-5559
Carolyn Vasquez	7-(425)305-6851
Melissa Hill	4-(577)646-3457
Jean Edwards	7-(031)701-3638
Janet Scott	3-(190)800-8949
Christina Lee	9-(574)907-3366
Sara Wallace	1-(402)405-7688
Sarah Foster	5-(378)227-6534
Carolyn Rose	4-(084)836-1282
Rose Spencer	3-(680)688-8832
Carol Olson	9-(432)028-8853
Rachel Brown	4-(990)543-7685
Elizabeth Owens	6-(184)438-8576
Sarah Green	4-(341)243-8693
Rachel Cole	6-(016)355-6747
Catherine Willis	7-(859)586-6356
Elizabeth Cooper	9-(498)925-9357
Barbara James	7-(293)798-4502
Marie Collins	9-(882)866-2124
Patricia Cox	4-(816)858-3623
Marie Fisher	3-(245)255-4391
Christina Wright	8-(527)774-8441
Jane Mendoza	6-(125)133-3844
Lisa Garza	8-(621)380-6354
Angela Jacobs	6-(711)487-9405
Anna Wallace	0-(983)860-3156
Jane Lewis	3-(305)392-0314
Doris Hicks	4-(900)718-9230
Gloria Chavez	6-(114)759-9092
Dorothy Garza	7-(825)056-3451
Debra Lopez	7-(478)047-9937
Amy Gomez	1-(028)311-5791
Marie Snyder	1-(836)903-4092
Dorothy Burton	6-(711)010-0288
Martha Holmes	5-(932)471-3361
Kathy Russell	9-(250)331-7374
Martha Bennett	2-(247)660-2754
Jane Ray	0-(968)432-6326
Bonnie Hudson	8-(072)565-9398
Emily Nguyen	6-(638)062-7711
Maria Ruiz	5-(305)417-7399
Dorothy Ray	6-(461)669-1377
Diane Fuller	4-(092)679-1268
Louise Holmes	2-(241)559-0224
Dorothy Hill	3-(340)113-7015
Stephanie Robinson	1-(499)263-9981
Helen Howard	0-(588)173-2461
Nancy Diaz	5-(023)942-1819
Sharon Diaz	0-(930)740-4699
Amanda Scott	6-(277)155-3534
Laura Green	0-(701)149-1862
Theresa Peterson	0-(570)092-5678
Gloria Berry	3-(701)255-5325
Annie Stone	6-(619)442-1883
Janice Young	6-(250)666-3864
Joan Matthews	7-(902)950-5975
Kelly Ray	8-(909)219-1356
Elizabeth Bennett	2-(710)244-2280
Irene Martin	5-(904)924-4780
Sandra Schmidt	2-(353)470-7604
Nancy Anderson	2-(743)392-0700
Mary Richards	6-(284)193-3092
Paula Meyer	3-(268)707-5115
Anne Kennedy	3-(801)502-7105
Tammy Lane	0-(559)999-9705
Lisa Vasquez	3-(281)241-5161
Laura Diaz	2-(363)406-2176
Rachel Perry	4-(261)692-3412
Norma Lewis	6-(757)162-8462
Marilyn Campbell	2-(580)064-4077
Katherine Kim	0-(843)695-3396
Martha Marshall	8-(644)796-9711
Ann Henderson	3-(208)767-0715
Janet Anderson	0-(087)471-0863
Christina Burke	2-(374)775-9032
Rose Ward	2-(609)830-9762
Nancy Bishop	6-(423)064-1666
Tammy Lee	5-(936)408-4571
Heather Morrison	2-(506)457-1788
Catherine Powell	0-(995)928-7069
Evelyn Evans	1-(769)498-9848
Julia Gutierrez	8-(268)338-0539
Louise Jones	2-(453)634-8008
Wanda Hughes	7-(297)800-8193
Norma Freeman	0-(760)993-0445
Cheryl Oliver	5-(617)172-4540
Brenda Mcdonald	3-(177)738-4746
Anna Duncan	4-(008)199-1908
Annie Nichols	2-(764)407-0627
Kathleen Flores	3-(012)312-1556
Rebecca Wright	8-(980)834-2517
Debra Robinson	9-(078)751-2806
Julia Thompson	5-(002)167-9725
Stephanie Bishop	7-(155)234-0207
Lois Evans	5-(779)961-4392
Nancy Romero	3-(000)864-8991
Dorothy Coleman	9-(066)779-8464
Deborah Sanchez	8-(584)148-9518
Mary Hernandez	1-(317)215-6884
Cynthia Lopez	0-(799)425-8002
Angela Gomez	2-(806)939-4777
Jacqueline Garcia	1-(781)624-6868
Rachel Rogers	0-(914)571-5448
Joan Howell	6-(778)076-9376
Diana Rodriguez	1-(875)545-4933
Lisa Gray	0-(246)521-3418
Christina Frazier	1-(057)630-6506
Doris Johnson	3-(420)116-7895
Ann Baker	6-(572)932-7161
Angela James	7-(165)405-5568
Stephanie Baker	3-(372)633-4422
Katherine Lawson	2-(424)698-5074
Christine Burns	8-(835)433-6857
Doris Bradley	7-(580)751-4513
Tammy Bryant	9-(741)763-7413
Martha King	4-(885)981-0955
Melissa Hamilton	6-(181)972-4154
Betty Washington	3-(899)651-9459
Cynthia Cooper	8-(327)327-9413
Ruth Webb	8-(535)743-3380
Nicole Wheeler	7-(314)494-8788
Theresa Mason	4-(724)661-6883
Phyllis Stephens	0-(467)418-1040
Diane Hanson	0-(620)802-6931
Tammy Bishop	1-(183)537-9794
Mildred Watkins	4-(531)263-5611
Ruby Olson	1-(361)881-6949
Diane Brooks	1-(886)812-1653
Ann Harper	6-(120)323-1290
Judith Woods	9-(592)645-5606
Mildred Fuller	2-(689)442-6487
Judy Boyd	8-(238)225-0876
Joan Alexander	3-(831)406-8357
Judith Nelson	8-(584)888-0391
Sharon Patterson	4-(680)982-5692
Kathleen Rivera	3-(454)296-1992
Phyllis Robinson	5-(695)200-5832
Jean Mccoy	3-(381)961-0767
Jean Fox	6-(033)080-4130
Ashley Flores	1-(941)403-2775
Rachel Campbell	8-(457)861-6308
Frances Oliver	1-(144)708-8035
Jean Hudson	5-(268)314-1851
Denise Webb	6-(423)897-6815
Janice Tucker	1-(792)546-3801
Sharon Peters	9-(868)142-8487
Robin George	3-(120)828-5992
Lisa Hughes	8-(605)375-1214
Paula Hart	7-(536)817-8960
Robin Torres	3-(847)604-2336
Martha Baker	5-(379)748-4069
Cynthia Sullivan	5-(357)515-4639
Karen Alvarez	4-(128)051-7271
Lois King	5-(216)092-6428
Rose Garrett	7-(917)798-4243
Ashley Sanders	4-(500)444-8712
Rachel Moreno	9-(922)196-1782
Paula Frazier	1-(955)576-0112
Susan Jacobs	2-(205)098-8430
Theresa Chapman	6-(047)144-6329
Margaret Gonzales	0-(578)515-0869
Donna Rice	0-(407)799-2947
Rachel Tucker	2-(675)091-0402
Judith Thomas	1-(476)878-3989
Virginia Hicks	8-(230)835-5648
Anne Lynch	7-(761)024-0305
Robin Schmidt	8-(698)444-8364
