Marilyn Hayes	6-(540)865-2507
Nicole Bishop	4-(669)963-5499
Judy Alexander	5-(303)208-2496
Martha Harper	0-(609)968-3146
Dorothy Gibson	4-(184)838-1497
Marie Gonzales	0-(893)731-5207
Paula Garcia	6-(611)261-6182
Annie Webb	8-(894)734-0106
Jean Price	0-(509)778-9656
Rachel Patterson	0-(029)236-5361
Kimberly Knight	8-(746)248-5984
Amanda Green	5-(859)187-4596
Betty Roberts	2-(454)112-3566
Nicole Perry	9-(138)522-6766
Beverly West	8-(913)437-3523
Joyce Cook	6-(031)855-6901
Amanda Murray	8-(051)634-9876
Janet Ray	2-(956)551-1119
Jessica Henderson	2-(803)956-9658
Carol Simmons	2-(024)350-4279
Bonnie Patterson	9-(950)828-1535
Nancy Reynolds	6-(045)246-2456
Robin Alexander	9-(578)349-1073
Anne Palmer	5-(979)320-9989
Kimberly Oliver	8-(278)995-7738
Angela Hunt	2-(076)038-9207
Jessica Medina	8-(693)950-6524
Ruby Henry	0-(860)893-5544
Beverly Rose	5-(288)359-1622
Betty Lewis	9-(979)270-8172
Donna Brown	2-(220)759-7364
Judith Lawrence	7-(071)654-6613
Nicole Davis	9-(646)116-2325
Beverly Wilson	1-(484)975-7362
Emily Schmidt	6-(974)874-5303
Donna Welch	2-(617)473-9787
Ashley Martinez	3-(344)418-1627
Paula Hart	2-(764)072-3727
Donna Ruiz	9-(417)867-4548
Denise Woods	7-(096)171-9398
Julie Perez	8-(479)147-6535
Debra Hill	2-(975)184-2396
Annie Young	6-(644)817-0297
Janice Kennedy	1-(801)474-5767
Lori Carr	7-(025)153-2417
Theresa Vasquez	0-(440)866-4880
Lois Gardner	4-(963)714-4157
Jane Harris	1-(146)381-1860
Julie Cole	6-(196)570-2233
Katherine Perkins	6-(404)194-0094
Anna Hudson	6-(028)198-2183
Denise Freeman	6-(763)176-9059
Frances Murray	9-(966)338-2567
Stephanie Cole	0-(973)714-6593
Margaret Murray	9-(207)875-8429
Jacqueline Sullivan	8-(745)511-6126
Susan Wilson	3-(499)460-9468
Ann Evans	4-(482)249-1570
Judy Cox	7-(887)665-6093
Bonnie Parker	5-(339)107-2714
Barbara Sanders	3-(550)767-2541
Sandra Knight	2-(844)152-4112
Diane Smith	1-(192)308-9332
Anna Carr	5-(741)429-2913
Joyce Carroll	1-(038)518-3166
Margaret Kelley	9-(381)638-4986
Christine Brown	3-(568)491-7908
Elizabeth Hart	9-(502)480-8372
Catherine Willis	7-(105)266-1747
Rose Foster	8-(989)989-7692
Patricia Matthews	1-(740)854-6240
Norma Moore	7-(471)875-0999
Kathleen Torres	2-(328)614-1655
Bonnie Powell	0-(289)266-8380
Judy Harper	7-(633)527-6850
Theresa Watkins	2-(045)662-7461
Kathryn Mendoza	3-(712)398-6904
Frances Alvarez	4-(969)473-0205
Julia Oliver	0-(239)014-3275
Melissa Turner	9-(207)986-2356
Martha Jordan	3-(887)575-3568
Irene Lynch	9-(729)705-8968
Joyce Graham	8-(154)470-2508
Cheryl Freeman	2-(270)230-0734
Laura Jones	8-(891)365-1876
Katherine Gilbert	7-(503)376-8774
Ann Scott	1-(557)598-8518
Linda Palmer	0-(433)033-0545
Joyce Lee	1-(300)104-4372
Betty Dunn	6-(812)190-8817
Judy Morris	6-(192)498-2353
Judith West	0-(211)051-9386
Denise Riley	2-(424)508-9299
Andrea Hill	8-(480)871-7819
Martha Snyder	4-(602)039-0207
Amy Smith	9-(961)810-5692
Heather Freeman	0-(759)016-9863
Ashley Coleman	1-(225)931-7815
Nicole Hudson	6-(267)888-1181
Elizabeth Gordon	7-(392)205-9058
Wanda Reed	4-(151)199-4517
Emily Robertson	1-(303)711-0948
Laura Taylor	9-(245)938-5211
Brenda Banks	7-(771)539-2474
Theresa Duncan	9-(688)287-7945
Ashley Martinez	2-(803)452-0333
Heather Hayes	8-(087)058-4366
Teresa Hill	0-(418)372-1669
Nancy Smith	4-(460)127-9467
Doris Kennedy	4-(012)730-5192
Anna Sullivan	9-(709)409-3831
Heather Rogers	7-(881)329-9181
Marie Matthews	5-(692)417-8471
Janice Simmons	2-(173)626-0218
Jean Rose	5-(046)285-1928
Mary Chapman	0-(596)645-1575
Louise Ramirez	3-(225)090-4135
Norma Ramirez	6-(972)223-9490
Frances Rice	1-(821)634-7637
Tina Coleman	3-(342)931-4892
Emily Ray	2-(599)471-7944
Dorothy Montgomery	4-(005)284-0262
Mary Ward	7-(267)866-8292
Kathy Chapman	9-(763)023-9271
Annie Kim	6-(857)603-8661
Elizabeth Cox	6-(370)685-0740
Robin Cox	6-(053)422-3355
Mary Mcdonald	8-(500)370-1258
Frances Wells	8-(840)828-3627
Kelly Mills	7-(511)516-1595
Theresa Meyer	3-(420)150-2991
Marie Bennett	8-(535)903-6745
Debra Washington	8-(671)360-8104
Amy Gray	7-(990)081-7721
Julie Porter	3-(129)062-2790
Kathryn Woods	5-(555)057-2883
Ruth Perkins	4-(633)468-8015
Helen Edwards	8-(560)610-3031
Marie Sims	4-(328)771-5032
Theresa Johnston	9-(458)884-2274
Ashley Jones	7-(101)490-5682
Heather Black	4-(621)330-7409
Jennifer Richards	9-(295)260-2600
Ashley Wilson	9-(167)511-4046
Mary Alexander	4-(795)837-5798
Julia Knight	8-(197)258-0647
Ashley Hansen	9-(304)965-4675
Joan Burke	6-(497)771-7541
Anne Alvarez	0-(202)801-1387
Andrea Washington	5-(564)576-1596
Kelly Lopez	4-(029)351-4095
Christina Cox	3-(968)771-3129
Sandra Mcdonald	5-(734)088-3495
Janet Richards	2-(834)407-4312
Dorothy Hughes	5-(304)458-3010
Donna Vasquez	2-(495)592-5703
Judith Powell	5-(997)103-0732
Anna Wells	5-(194)225-5893
Bonnie Wright	4-(968)172-7025
Denise Kelly	1-(587)033-7507
Tammy Howell	8-(265)721-4329
Rebecca Barnes	5-(842)573-8838
Jacqueline Robertson	9-(188)798-9812
Paula Carter	5-(709)349-6787
Melissa Richards	5-(188)220-1943
Marie Porter	0-(918)524-7934
Teresa Reynolds	9-(183)965-4680
Julie Cook	0-(450)967-7422
Margaret Jacobs	8-(491)049-4300
Paula Perkins	4-(228)948-3541
Lisa Jones	2-(402)748-5959
Emily Kennedy	4-(413)428-7930
Beverly James	3-(474)649-3489
Stephanie Weaver	7-(121)858-2831
Wanda Shaw	9-(359)731-4024
Evelyn Mcdonald	0-(976)180-8672
Kimberly Ellis	7-(013)086-3962
Kathy Harrison	6-(909)229-9468
Tina Watson	7-(276)290-9569
Michelle Wallace	6-(130)911-4771
Susan Grant	9-(489)843-1783
Gloria Stone	7-(869)043-9173
Joan Watson	1-(636)432-2651
Janice Oliver	7-(457)690-5851
Amy Bailey	3-(243)256-4332
Kathryn Green	1-(532)234-5751
Diane Hunter	4-(641)077-3382
Janice Robertson	0-(257)481-6856
Jean Nichols	8-(636)675-3451
Kelly Adams	5-(045)609-2942
Julia Lewis	1-(525)861-4924
Lillian Murphy	0-(363)830-9172
Anne Morrison	9-(594)046-5263
Helen James	3-(106)423-4755
Sharon Sanchez	2-(751)793-8211
Rachel Day	1-(319)952-1321
Jacqueline Long	2-(432)391-7953
Sharon Romero	8-(507)880-5913
Stephanie Phillips	9-(018)426-5311
Patricia Howard	2-(207)362-1127
Jean Baker	1-(520)465-4859
Doris Austin	2-(469)675-9663
Judy George	3-(151)169-3582
Amanda Davis	8-(447)557-4332
Maria Rodriguez	1-(106)265-5762
Kathryn Kelly	0-(879)169-1384
Tammy Perkins	7-(309)138-7660
Kelly Hanson	3-(859)725-0956
Gloria Lee	3-(558)473-6196
Christine Young	4-(046)744-5546
Ann Cole	9-(067)511-4066
Ruth Harvey	9-(982)121-7379
Jean Stewart	1-(726)177-9680
Emily Franklin	1-(908)418-3858
Helen Hunt	4-(637)016-6561
Katherine Welch	8-(077)754-0336
Evelyn Montgomery	5-(926)470-6294
Doris Richards	3-(863)452-4403
Ruby Gonzalez	1-(684)531-0739
Margaret Miller	7-(994)478-8742
Marilyn Wallace	9-(060)810-1447
Sandra Jackson	6-(203)137-2887
Nicole Ward	6-(957)240-7895
Sandra Riley	2-(075)133-2634
Ashley Lawrence	7-(511)308-7238
Annie Bradley	4-(089)179-8335
Sarah Lopez	4-(711)028-7553
Katherine Collins	1-(545)207-1513
Joan George	1-(369)131-5012
Alice Chapman	2-(802)455-7516
Brenda Mendoza	5-(931)516-8033
Teresa Moreno	9-(031)768-1311
Wanda Fernandez	5-(339)852-6754
Lois Brooks	9-(717)540-3953
Jane Cook	8-(491)773-0343
Margaret Boyd	7-(735)347-1729
Lillian Mcdonald	2-(281)229-1409
Michelle Duncan	1-(202)730-7046
Diana Weaver	9-(681)470-4578
Jessica White	2-(007)778-5387
Louise Gardner	9-(765)903-3647
Cynthia Reed	8-(132)939-7665
Joan Flores	5-(957)532-9513
Sara Mcdonald	0-(050)210-2037
Jennifer Carpenter	1-(026)421-2681
Ashley Griffin	0-(556)439-6237
Sara Wheeler	8-(782)580-2045
Linda Henderson	1-(971)243-0070
Angela Sanders	8-(405)097-3346
Andrea Wheeler	0-(113)312-0860
Lori Cooper	5-(374)639-0615
Kathy Rogers	3-(367)943-8189
Irene Rogers	1-(449)856-7929
Mary Castillo	2-(726)355-6615
Shirley Armstrong	1-(900)698-6185
Joyce Bennett	0-(919)974-2847
Christine Franklin	5-(356)996-3320
Kathy Webb	6-(650)838-6956
Joan Cruz	3-(360)656-2821
Phyllis Stone	3-(359)245-2173
Paula Hall	9-(287)542-9708
Julia Kelley	1-(107)767-7827
Kelly Gardner	5-(860)289-4203
Amanda Richards	9-(888)495-0529
Denise Marshall	4-(873)851-8325
Helen Wells	0-(378)848-7508
Wanda Sullivan	0-(041)670-7953
Amanda Olson	8-(016)301-0023
Michelle Reed	0-(707)160-6420
Karen Simpson	1-(907)245-0267
Phyllis Payne	1-(726)365-7703
Janet Knight	4-(786)107-6703
Nancy Bryant	6-(830)322-3243
Jean Kennedy	7-(630)803-6931
Carol Washington	0-(552)792-4526
Catherine Dean	9-(307)467-5023
Karen Stone	7-(638)440-2384
Anna Welch	5-(890)144-2149
Annie Kelley	4-(139)354-0615
Patricia Kelley	2-(391)157-7602
Ashley Carpenter	8-(450)451-9154
Sharon Torres	6-(694)267-5974
Louise Miller	5-(859)323-1314
Sara Jenkins	2-(932)105-7886
Rose Hughes	9-(368)149-5332
Jacqueline Chavez	0-(869)365-3423
Pamela Gonzales	8-(763)055-9351
Joan Reid	9-(405)827-8189
Beverly Nichols	6-(125)756-4460
Nancy Sullivan	5-(805)556-7232
Jennifer Simmons	7-(911)072-5428
Mary Vasquez	0-(368)550-3625
Donna Hicks	0-(065)426-3567
Susan Campbell	8-(071)850-1045
Catherine Wagner	0-(125)278-3692
Alice Lawrence	5-(275)422-5783
Jean Young	0-(396)237-0210
Brenda Jenkins	7-(206)232-0312
Sara Sims	3-(488)548-4711
Patricia Cook	0-(278)368-2749
Michelle Roberts	6-(347)522-9435
Diana Matthews	1-(526)486-1457
Lori Carr	9-(714)422-3909
Ruth Rodriguez	7-(038)840-7933
Michelle Black	6-(903)248-3670
Barbara Campbell	3-(087)999-0553
Sharon Ferguson	1-(001)816-7318
Debra Reyes	8-(617)973-4647
Robin Mcdonald	2-(568)418-2139
Cheryl Fernandez	2-(580)567-7166
Christina Perez	6-(391)451-3262
Amy Green	5-(024)649-0646
Jennifer Lawson	1-(094)265-7063
Bonnie Adams	5-(509)875-9090
Kathy Rose	9-(714)063-6401
Deborah Carr	7-(969)173-8433
Carolyn Austin	3-(921)123-6232
Laura Ryan	3-(064)876-9843
Tina Duncan	8-(119)535-8528
Laura Gonzales	3-(102)151-9014
Doris Peterson	8-(710)919-3812
Amanda Kennedy	1-(315)150-2910
Helen Simpson	5-(597)789-2685
Carolyn Jacobs	2-(220)389-8651
Gloria Davis	4-(280)758-0615
Denise Franklin	5-(800)554-2442
Rachel Scott	2-(260)492-8083
Sandra Dean	1-(027)787-6033
Christine Tucker	4-(473)828-8440
Sharon Roberts	4-(708)056-4486
Annie Sullivan	4-(998)872-0772
Lori Wilson	5-(702)239-0223
Deborah Rose	9-(069)447-5403
Linda Ross	9-(683)836-6151
Pamela Rogers	1-(762)123-6799
Elizabeth Adams	4-(808)296-1623
Katherine Bryant	5-(057)932-0167
Anne Riley	6-(577)387-3212
Karen Day	8-(790)729-6391
Shirley Martin	9-(395)594-2240
Carolyn Green	9-(712)912-0249
Norma Garcia	7-(368)448-5084
Joyce Long	1-(321)067-1765
Ruby Bailey	0-(616)643-5842
Lillian Woods	1-(200)620-2452
Kelly Morgan	9-(509)391-2230
Theresa Elliott	2-(901)085-6863
Maria Wheeler	0-(862)965-9421
Marilyn Day	4-(381)026-4657
Julie Stevens	6-(680)659-6217
Teresa Bowman	9-(771)156-3019
Cheryl James	9-(883)395-5551
Jessica Sullivan	5-(107)795-0172
Rose Walker	4-(298)944-9310
Diane Montgomery	3-(123)886-5261
Ruby Davis	6-(706)966-2256
Julia Perry	1-(462)005-1157
Norma Burke	8-(800)852-3689
Maria Nelson	3-(404)983-9123
Laura Ramos	9-(952)010-6736
Diane Alexander	6-(397)385-7842
Tina Watson	6-(887)024-9529
Betty Holmes	9-(140)119-8216
Teresa Coleman	3-(506)314-1323
Beverly Riley	1-(331)192-9227
Amanda Bowman	7-(865)761-3664
Margaret Welch	3-(217)641-9499
Norma Wheeler	1-(449)614-5769
Doris Hicks	9-(648)103-9088
Shirley Rodriguez	0-(368)658-1094
Elizabeth Green	6-(589)772-6995
Annie Martin	5-(672)140-0026
Mildred Smith	2-(191)035-4273
Kathryn Arnold	0-(555)820-9870
Michelle Vasquez	3-(924)028-6050
Julie Perkins	2-(999)044-1147
Stephanie Bailey	8-(756)868-4469
Beverly Roberts	7-(534)848-2789
Emily Webb	8-(245)234-5752
Marilyn Hart	7-(471)658-8180
Sara Campbell	1-(040)187-1507
Deborah Mitchell	4-(149)791-6546
Doris Phillips	7-(609)979-5779
Laura Dean	3-(271)731-0542
Nancy Robertson	5-(717)765-8721
Jane Diaz	5-(231)772-8474
Nancy Cook	6-(173)118-6159
Catherine Garcia	6-(855)378-7728
Julia Cruz	4-(942)883-3501
Julia Banks	4-(805)800-0965
Tammy Bradley	8-(024)833-8456
Stephanie Scott	9-(646)476-8304
Ruby Campbell	7-(475)026-5458
Linda Martin	5-(942)508-9386
Tina Wilson	1-(024)683-6189
Denise Baker	5-(990)047-5262
Linda Perkins	8-(999)705-1702
Marie Russell	0-(178)175-3653
Ashley Wilson	8-(472)745-1121
Irene Tucker	8-(094)902-6920
Ruby Boyd	9-(529)554-2496
Sara Howell	0-(402)449-2438
Rebecca Hayes	0-(308)767-7327
Cheryl Williamson	1-(394)142-5587
Phyllis Rice	6-(792)624-0274
Mildred Sims	5-(369)989-4822
Jennifer Gilbert	3-(376)081-8809
Christine Hernandez	0-(736)452-7612
Sharon Rogers	9-(596)288-8557
Sandra Lawson	0-(024)464-0395
Jane Medina	0-(870)916-6287
Nicole Campbell	2-(341)468-1859
Julia Mccoy	4-(237)165-4277
Tammy Lopez	9-(190)862-3442
Nicole Hart	7-(221)029-7348
Theresa Edwards	4-(916)861-8439
Angela Carroll	9-(136)441-7645
Alice Fields	8-(543)201-5814
Christina Moore	8-(067)384-1869
Diane Gilbert	6-(112)509-4175
Gloria Larson	4-(153)063-4940
Virginia Hamilton	8-(215)487-0868
Phyllis Long	9-(495)378-0051
Diane Murray	4-(048)582-1828
Judy Dean	2-(808)223-2288
Teresa Carroll	7-(418)172-9730
Rachel Martin	4-(247)271-9654
Julie Washington	5-(218)702-4884
Jennifer Peterson	4-(870)289-4748
Sarah Moreno	5-(703)888-3949
Sandra Ramos	8-(262)429-6668
Sandra Kim	8-(018)260-4653
Jessica Collins	0-(377)915-8519
Ruth Diaz	4-(658)703-9177
Donna Freeman	6-(500)988-8422
Diane Harrison	4-(531)461-1695
Barbara Barnes	6-(268)698-6446
Christine Carter	1-(087)475-3241
Heather Nelson	2-(583)301-7095
Martha Owens	0-(985)084-1388
Janice Carr	1-(684)887-1472
Lois Bryant	9-(978)635-2105
Gloria Peters	2-(802)043-8427
Ruby Schmidt	0-(336)201-6689
Kathryn Adams	8-(366)117-2279
Rachel Peters	2-(318)044-1244
Julie Carter	6-(277)075-9693
Pamela Garcia	7-(285)023-5727
Sharon Cox	8-(054)302-5099
Tina Stephens	4-(276)557-9354
Ruth Cooper	6-(270)597-6267
Sandra James	1-(422)173-8721
Lillian Moore	0-(014)726-5877
Judy Crawford	5-(556)332-3109
Sharon Gonzalez	3-(802)096-9286
Dorothy Alexander	4-(082)009-5149
Robin Simmons	8-(204)348-0905
Linda Adams	4-(150)024-7206
Heather Jordan	2-(837)873-2946
Ann Hall	4-(725)054-5717
Brenda Bennett	0-(825)622-2989
Linda Riley	8-(841)714-0869
Louise Cole	7-(796)800-3265
Paula Lopez	4-(627)377-0182
Angela Ryan	8-(444)258-8151
Rachel Jacobs	2-(171)517-9761
Christina Henry	3-(544)546-2361
Sarah Gonzales	6-(816)041-9670
Diana Wheeler	8-(738)450-0909
Katherine Clark	2-(990)793-5195
Nancy Campbell	7-(867)087-7231
Shirley Hunt	1-(922)774-6859
Gloria Hart	9-(403)870-4119
Amanda Fernandez	9-(487)426-8938
Marie Ruiz	6-(952)885-1678
Beverly Rivera	6-(295)794-7238
Deborah Morgan	7-(802)547-0813
Ruth Campbell	8-(879)806-7263
Evelyn Bowman	4-(426)187-6179
Heather Ross	3-(320)563-5720
Louise Parker	8-(931)792-2477
Jacqueline Carroll	4-(085)329-7793
Irene Freeman	2-(793)772-7074
Sandra Hall	1-(983)768-1532
Amanda Bennett	2-(813)971-7644
Beverly Hamilton	7-(943)244-7369
Rose Anderson	9-(979)738-2081
Gloria Peterson	5-(268)800-3323
Gloria Hawkins	9-(813)497-5827
Katherine Pierce	8-(383)933-9404
Rachel Fisher	5-(695)298-4866
Janet Diaz	2-(687)226-3987
Jennifer Harris	0-(611)681-0224
Laura Gray	6-(556)395-7982
Rose Stephens	6-(543)085-6013
Kathryn Mcdonald	5-(240)458-8562
Shirley Bishop	0-(945)819-9205
Katherine Dixon	4-(981)037-9262
Jacqueline Sanchez	4-(773)751-0033
Kathryn Bryant	5-(329)126-0072
Phyllis Jordan	6-(835)590-3905
Joan Lee	6-(010)493-1894
Janice Day	5-(800)920-3723
Judith Welch	6-(057)694-7077
Kimberly Garrett	1-(642)821-4760
Andrea Vasquez	2-(850)928-6791
Lois Graham	1-(510)343-3208
Annie Larson	8-(461)509-6235
Donna Ford	8-(690)166-4262
Barbara Martinez	0-(610)067-5830
Sara George	4-(961)943-1992
Julia Lawrence	6-(088)603-2932
Margaret George	9-(938)782-7941
Kathy West	3-(039)157-2731
Phyllis Franklin	7-(479)285-5361
Lois Medina	4-(377)876-9161
Theresa Snyder	5-(327)719-8274
Tina Parker	5-(706)079-7266
Anna Young	1-(504)245-7359
Jean Vasquez	8-(205)105-7695
Denise Young	5-(550)435-2903
Anne Elliott	5-(193)293-6445
Jennifer Smith	9-(563)527-4532
Jessica Kelly	4-(670)935-7965
Annie Hamilton	5-(484)309-4563
Amy Ryan	7-(080)532-9496
Doris Carroll	2-(018)986-9260
Ann Mills	4-(998)740-4305
Sandra Hansen	3-(962)395-2866
Stephanie Mccoy	9-(918)558-3883
Amy Kim	9-(020)919-5689
Karen Griffin	9-(204)824-2905
Beverly Banks	0-(096)841-5800
Lois Woods	8-(195)780-0894
Rose Adams	3-(096)147-3748
Donna Sims	9-(500)616-4890
Tammy Reid	9-(907)346-3228
Cheryl Crawford	7-(003)970-9646
Catherine Lewis	5-(950)528-8951
Joyce Berry	1-(184)786-2888
Janice Watson	8-(057)500-2024
Phyllis Riley	8-(745)431-0908
Rachel Willis	1-(184)142-8194
Cynthia Bowman	9-(724)990-9567
Nancy Reed	8-(715)077-3466
Denise Reynolds	0-(195)340-1154
Marie Wheeler	8-(521)011-6921
Kathryn Ross	5-(444)944-1882
Melissa Fields	6-(234)152-4616
Brenda Ross	3-(855)611-0624
Emily Stanley	9-(596)663-9570
Ruth Medina	3-(586)449-3715
Kathryn Snyder	6-(181)335-0957
Lillian Shaw	3-(321)324-7688
Christine Meyer	3-(964)899-2061
Rebecca Chapman	7-(240)704-6496
Kathleen Reyes	5-(605)527-4248
Donna Thomas	7-(551)482-1285
Rebecca Holmes	3-(022)080-3099
Wanda Austin	8-(892)567-8734
Carolyn Simpson	6-(064)062-7969
Lillian Ward	3-(040)386-3882
Laura Powell	2-(533)015-3534
Janice Burton	8-(853)247-9378
Jane Shaw	2-(872)761-9276
Mary Wheeler	1-(854)405-0682
Stephanie Bowman	9-(099)196-0214
Alice Gilbert	4-(519)556-6133
Joyce Andrews	3-(828)809-0641
Nancy Hansen	5-(227)942-4697
Janet Alexander	3-(267)715-9831
Annie Wheeler	6-(631)980-7639
Kathryn Perry	9-(264)231-7692
Louise Kennedy	0-(876)681-9227
Ruby Ellis	2-(434)067-0482
Cheryl Nelson	1-(215)295-5289
Julia Wallace	5-(699)305-2679
Julia Powell	7-(275)867-7183
Christina Oliver	3-(641)415-4507
Nicole Watkins	0-(799)329-6232
Ashley Sanders	1-(558)887-6246
Anne Barnes	6-(990)601-2992
Lori Collins	2-(582)618-2943
Andrea Wells	9-(319)925-0949
Ruby Butler	3-(847)889-7534
Jacqueline Reyes	0-(183)273-6407
Betty Peters	0-(020)487-0680
Cheryl George	1-(204)215-4471
Deborah Flores	8-(826)201-8908
Shirley Austin	4-(584)380-0363
Carolyn Ford	5-(272)923-2104
Paula Gutierrez	8-(106)159-9012
Catherine Martin	2-(419)649-4699
Teresa Hanson	7-(674)087-2556
Janet Rogers	2-(181)178-9581
Rebecca Williamson	8-(310)348-3641
Amy Lane	6-(052)002-2096
Ruth Gardner	3-(868)424-9829
Doris Spencer	5-(581)349-3808
Diane Mcdonald	4-(304)825-0391
Virginia Willis	0-(590)653-4093
Andrea Medina	1-(539)967-2558
Kelly Allen	9-(063)842-5263
Ruth Gilbert	0-(863)078-1055
Irene Graham	2-(846)711-6563
Helen Hanson	9-(791)982-0462
Shirley Richards	1-(134)017-5222
Brenda Ferguson	7-(338)381-3026
Anne Wagner	7-(285)683-3131
Joyce Peters	7-(053)971-7803
Martha Crawford	4-(765)174-4658
Louise Arnold	7-(282)218-6672
Laura Hanson	5-(790)342-7363
Virginia Anderson	4-(647)053-8651
Lois Rose	4-(134)163-0253
Dorothy Wood	7-(083)720-4789
Rachel Martin	4-(864)670-1018
Laura Stevens	7-(661)543-7403
Ruby Cunningham	5-(635)684-4717
Carol Simmons	6-(824)215-3906
Judith Turner	1-(560)020-7624
Diana Morales	6-(122)799-0994
Nancy Boyd	9-(605)875-4402
Marie Berry	3-(713)541-6277
Lisa Morrison	3-(820)867-9673
Beverly Powell	3-(234)236-5656
Rebecca Lawson	7-(110)676-6354
Janice Reid	9-(514)007-9446
Kelly Garrett	8-(116)614-5095
Evelyn Williamson	1-(141)893-1031
Amy Oliver	3-(771)218-9344
Carolyn Rose	2-(658)930-7352
Catherine Powell	1-(159)006-7010
Amy Phillips	9-(737)718-1337
Amanda Romero	8-(458)183-1320
Stephanie Green	4-(437)175-5181
Catherine Ramirez	5-(851)825-2005
Carolyn Wheeler	8-(749)189-7552
Teresa Riley	7-(832)769-7228
Tammy Ellis	1-(970)841-7897
Anna Ramirez	4-(169)970-8124
Phyllis Gardner	8-(842)066-3213
Jennifer Burton	3-(961)030-8363
Lillian Crawford	0-(843)629-0629
Donna Moreno	1-(544)330-6176
Ruth Hansen	0-(417)803-3440
Gloria Jordan	2-(374)027-2326
Nancy Williams	4-(297)442-4753
Teresa Ross	0-(658)334-5334
Tammy Franklin	1-(447)202-1412
Margaret Hawkins	9-(346)371-1849
Jane Mendoza	9-(004)132-6716
Nancy Gonzales	3-(983)612-4343
Frances White	2-(557)597-7134
Julie Campbell	3-(844)535-1077
Patricia Reed	1-(103)076-0111
Sharon Cole	8-(126)205-7170
Pamela Lawrence	2-(213)853-2824
Michelle Jenkins	7-(813)057-8620
Irene Holmes	7-(353)143-7151
Marilyn Schmidt	4-(189)047-3844
Nancy Collins	7-(354)478-6558
Carolyn Greene	6-(815)131-9644
Janice Reed	9-(435)620-8816
Amy Bailey	9-(809)097-9390
Kelly Watkins	5-(889)894-7308
Christine Bishop	2-(527)655-7527
Mildred Sanders	3-(077)103-1651
Catherine Martinez	1-(816)468-3358
Anna Green	6-(257)389-7175
Elizabeth Riley	8-(449)380-3815
Emily Vasquez	3-(376)265-1543
Betty Woods	0-(840)064-7764
Irene Olson	8-(481)787-8044
Mary Hansen	0-(855)355-2276
Brenda Fernandez	3-(809)993-7396
Angela Hawkins	5-(741)419-1702
Emily Wallace	4-(787)201-2488
Dorothy Arnold	8-(697)400-8773
Linda Lee	4-(212)627-7799
Laura Chavez	0-(713)263-6315
Tammy Russell	0-(453)761-0786
Elizabeth Davis	4-(837)767-5419
Ruby Webb	7-(676)876-2755
Kathryn Howard	3-(722)004-4453
Judy Sims	0-(142)710-9312
Barbara Price	7-(740)861-6521
Jessica Medina	7-(970)887-3332
Joan Dunn	6-(758)456-0579
Margaret Dixon	8-(619)402-2227
Wanda Crawford	6-(625)103-8870
Irene Burke	5-(450)197-2997
Theresa Pierce	4-(160)649-5986
Brenda Scott	7-(817)186-3945
Melissa Perez	6-(271)459-3146
Pamela Cooper	3-(803)829-7073
Beverly Ortiz	7-(533)176-1727
Ruth Davis	5-(713)135-9632
Kathy Garcia	2-(271)088-5433
Pamela Spencer	4-(771)294-9833
Cheryl Day	3-(934)266-5350
Anna Reynolds	6-(196)837-7393
Irene Russell	2-(460)526-5528
Kelly Gomez	7-(230)016-0755
Theresa Henry	5-(013)348-0894
Joan Warren	3-(059)755-2160
Amy Ryan	1-(095)114-6951
Angela Hicks	8-(675)178-9444
Anna Elliott	2-(558)934-7789
Maria Black	8-(567)507-5130
Mary Sanchez	1-(582)051-5047
Lois Peters	2-(243)209-1543
Paula Alexander	1-(114)985-5378
Lori Parker	3-(388)007-5207
Lori Harper	8-(746)849-0634
Stephanie Reyes	7-(196)111-5581
Martha Wright	7-(253)173-2840
Teresa Moreno	1-(825)071-8834
Ann Adams	2-(824)174-0075
Cynthia Dean	8-(455)231-0158
Kathy Rice	9-(702)302-1397
Emily Morales	5-(371)752-2918
Betty King	5-(648)898-9339
Amy Larson	0-(524)900-8858
Amanda Ross	2-(432)297-8463
Ruth Riley	3-(705)845-9696
Heather Stewart	9-(634)271-9054
Amy Hicks	9-(233)791-8352
Paula Duncan	2-(731)262-9778
Cheryl Day	6-(688)329-3668
Diane Gibson	9-(034)072-4683
Patricia Gomez	2-(851)144-3216
Emily Parker	8-(561)862-3927
Donna Cooper	7-(090)097-4862
Ashley Collins	4-(140)230-5663
Jean Simmons	2-(393)891-0848
Lisa Robertson	8-(797)812-6890
Carolyn Watson	6-(057)978-6793
Ashley Sullivan	5-(241)291-4174
Diana Brooks	4-(458)517-8115
Brenda James	1-(245)016-1915
Kimberly Barnes	9-(315)801-5944
Cheryl Chapman	4-(874)589-4305
Virginia Turner	9-(321)087-6239
Marilyn Hill	1-(532)395-0629
Julie Harris	1-(329)209-4970
Karen Phillips	5-(589)147-1788
Robin Harper	0-(233)359-3022
Jane Duncan	9-(073)032-8506
Cheryl Ramirez	3-(099)992-2627
Betty Myers	9-(243)637-2555
Alice Parker	2-(665)966-5847
Teresa Mcdonald	7-(349)159-0784
Elizabeth Campbell	4-(964)768-4909
Katherine Ford	6-(250)956-1879
Kathy Reed	4-(816)571-4826
Susan Young	9-(066)064-1275
Kathy Sullivan	9-(354)013-8915
Janice Hamilton	9-(761)930-3171
Lisa Larson	9-(953)805-2287
Heather James	0-(151)732-2237
Lillian Vasquez	3-(079)176-5735
Christina Bishop	9-(109)254-1509
