Karen Peters	0-(138)071-3364
Beverly Gutierrez	6-(655)511-7250
Stephanie Stephens	5-(607)288-9627
Julia Anderson	9-(028)068-0802
Jacqueline Turner	8-(031)978-3201
Amanda Cook	5-(560)172-7527
Marilyn Berry	4-(061)301-5779
Tammy Rivera	7-(211)144-0222
Janice Sanders	3-(745)781-9594
Linda Reynolds	6-(886)153-5499
Ann Nichols	4-(918)141-1003
Shirley Hudson	5-(922)970-1720
Christine Henry	6-(152)183-3751
Elizabeth Bailey	8-(652)430-6753
Phyllis Palmer	3-(621)042-4128
Kelly Anderson	6-(976)417-9073
Jane Fisher	1-(712)291-4237
Elizabeth Nichols	8-(212)894-4130
Kathryn Dixon	0-(091)186-7584
Martha Sanchez	7-(425)611-2239
Anna Grant	8-(653)190-4484
Paula Lynch	4-(196)045-8736
Betty Wallace	2-(261)010-7475
Virginia Edwards	8-(940)901-7929
Jessica Ross	4-(165)914-9302
Ruth Mason	2-(141)994-8502
Kathleen Hanson	3-(854)875-1382
Phyllis Hudson	1-(285)864-0749
Kathleen Carroll	9-(621)140-9147
Ruth Cruz	1-(936)068-4576
Nancy Johnston	7-(240)922-9863
Kimberly Burns	5-(120)572-4556
Patricia Owens	6-(804)989-5887
Norma Edwards	6-(184)162-2943
Evelyn Morales	2-(412)808-5138
Christina Smith	8-(269)002-0620
Lori Payne	8-(401)465-5897
Diana Wright	7-(237)848-2056
Martha Rose	6-(191)239-2416
Diana Carter	1-(745)447-1802
Rachel George	9-(863)009-7459
Alice Ward	4-(827)622-3947
Jessica Rice	0-(829)028-1650
Shirley Ford	4-(941)830-0670
Tammy Holmes	6-(046)369-8428
Jane Cruz	1-(799)779-2631
Shirley Berry	1-(853)227-2475
Virginia Shaw	6-(548)926-8160
Jean Ward	1-(659)832-5609
Sara Howell	5-(291)218-2683
Sara Lewis	1-(196)023-9936
Rose Bowman	3-(206)245-9067
Joyce Chapman	4-(568)987-2002
Tammy Thompson	8-(236)161-4466
Doris Kennedy	2-(682)940-7212
Robin Reed	1-(131)718-3356
Julia Watkins	4-(279)013-4250
Gloria Gonzales	3-(755)110-1504
Tina Martin	3-(497)116-7753
Helen Wright	2-(486)536-0007
Melissa Lawson	0-(987)340-0557
Teresa Gutierrez	5-(705)835-2348
Donna Peters	7-(524)997-3927
Jennifer Hawkins	9-(769)954-8678
Tammy Carter	1-(104)883-1852
Nancy Knight	1-(853)793-1865
Lois Wallace	1-(575)206-4155
Pamela Mccoy	1-(287)520-1981
Andrea Simmons	7-(030)423-0276
Tammy George	1-(888)386-6758
Lori George	6-(200)081-0232
Virginia Perkins	2-(538)587-2726
Marie Wagner	2-(656)274-4461
Sara Harrison	9-(752)441-2824
Anna Scott	3-(398)157-2010
Lois Harper	3-(408)112-6409
Lisa Clark	0-(348)429-6664
Andrea Payne	0-(472)612-4744
Mary Castillo	0-(934)430-6135
Mildred Holmes	1-(965)983-1049
Robin Wallace	3-(365)853-3330
Susan Brown	0-(366)338-2782
Debra Fowler	9-(481)814-1586
Doris Martin	8-(991)918-8626
Annie Sims	3-(065)127-1089
Sharon Bishop	0-(581)093-0756
Christine Jordan	8-(002)073-7778
Melissa Ferguson	6-(527)148-8455
Cheryl Washington	0-(605)835-0882
Kelly Sanchez	8-(771)924-2293
Louise Crawford	5-(624)723-8166
Susan Brown	1-(777)783-6173
Alice Price	7-(485)746-2162
Katherine Foster	8-(162)303-1327
Lois Wilson	9-(346)021-0007
Lois Evans	5-(387)652-9090
Patricia Harrison	7-(772)346-2318
Jean Woods	0-(880)325-3935
Mildred Chapman	8-(452)961-2783
Melissa Gardner	0-(992)915-0647
Robin Owens	0-(418)420-6678
Betty James	0-(789)103-4220
Sandra George	3-(145)651-7820
Rose Burns	7-(806)610-4836
Evelyn Griffin	8-(303)565-7766
Amy Morrison	7-(228)561-2541
Lori Perry	2-(294)827-9355
Doris Jackson	8-(614)189-0335
Evelyn Johnson	7-(068)769-2360
Pamela Snyder	0-(608)287-5932
Catherine Harris	2-(291)919-6893
Joyce Alexander	4-(756)279-5662
Kathleen Robertson	6-(939)007-7337
Amy Harris	2-(759)914-3818
Judy Cooper	6-(678)790-8856
Catherine Daniels	6-(306)307-2210
Denise Marshall	9-(015)685-8853
Annie Gilbert	3-(860)469-2497
Betty Wheeler	7-(827)862-2010
Joyce Gutierrez	5-(980)985-2326
Deborah Snyder	9-(059)460-9534
Mildred Alvarez	3-(020)944-3684
Judy Carter	1-(879)816-8573
Susan Sanchez	8-(208)713-2387
Amanda Phillips	9-(289)744-8904
Judith Jenkins	1-(939)041-4310
Bonnie Wilson	9-(935)069-6020
Judith Boyd	7-(785)216-3821
Virginia Miller	1-(256)434-3685
Emily Stanley	2-(772)693-3835
Rachel Hayes	0-(970)208-2038
Denise Wright	9-(479)506-7098
Evelyn Reid	4-(022)187-4326
Rose Woods	6-(198)930-2717
Rose Olson	8-(858)285-1905
Anna Andrews	1-(811)011-5870
Virginia Matthews	2-(300)825-7950
Marilyn Richards	1-(520)166-8278
Cheryl Freeman	6-(097)687-4334
Amanda Hudson	7-(341)938-3913
Theresa Parker	5-(015)327-7310
Ruby Walker	7-(353)212-2966
Patricia Cole	5-(020)592-1450
Julie Stephens	2-(451)391-7666
Evelyn Castillo	7-(343)012-2330
Denise Gomez	1-(052)504-2934
Christina Woods	7-(087)715-7540
Emily Hanson	8-(170)426-4185
Angela Barnes	2-(230)287-8819
Betty Patterson	3-(656)543-6572
Tammy West	3-(311)448-4254
Janet Myers	7-(032)626-2471
Jacqueline Baker	8-(092)642-6128
Brenda Jordan	3-(838)181-8957
Frances Wallace	7-(415)124-4596
Theresa Evans	6-(080)635-5384
Lois Willis	1-(298)740-1233
Ruby Hughes	7-(364)918-0837
Norma Mcdonald	2-(689)868-9234
Pamela Garza	6-(950)540-5105
Virginia Reid	8-(255)938-3556
Paula Anderson	7-(862)940-3788
Evelyn Burke	9-(094)986-4358
Tina Woods	8-(608)598-8257
Andrea Lane	4-(482)027-6822
Marie Martin	4-(766)962-8582
Annie Garrett	1-(638)495-1469
Deborah Gardner	5-(881)204-3246
Anne Henderson	6-(053)703-8245
Betty George	2-(285)707-7133
Ruth Morris	7-(623)901-3919
Christina Gibson	5-(042)862-9352
Jane Parker	7-(253)416-8794
Linda Schmidt	2-(465)058-4414
Martha Kennedy	5-(068)893-6067
Maria Moreno	6-(357)328-5757
Jacqueline Long	4-(703)149-7384
Rose Wilson	4-(976)248-6156
Brenda Hall	7-(488)846-9027
Deborah Kim	8-(183)536-3225
Phyllis Garza	8-(675)984-0208
Linda Warren	0-(116)201-7897
Denise Turner	8-(385)992-6027
Sandra Jacobs	5-(295)417-3624
Catherine Washington	4-(755)699-2019
Evelyn Richards	6-(563)790-8132
Elizabeth Thomas	2-(701)031-3568
Carol Taylor	4-(225)257-6069
Irene Kennedy	8-(327)751-0956
Karen Riley	4-(155)628-5433
Helen Bryant	3-(736)738-0343
Christine Hansen	4-(281)810-0023
Denise Crawford	6-(745)187-7252
Julia Matthews	5-(987)557-2692
Sara Davis	8-(265)766-0275
Kimberly Ruiz	3-(325)992-5444
Angela Holmes	8-(795)289-4090
Catherine Greene	6-(404)205-6641
Christina Ellis	1-(431)002-7959
Kathy Hill	3-(204)683-7777
Doris Smith	0-(869)782-5396
Melissa Fuller	0-(329)849-7461
Kathy Price	5-(166)629-0694
Wanda Moreno	0-(283)706-1933
Ruby Bryant	4-(676)562-0631
Susan Alvarez	2-(128)804-2832
Joyce Reyes	3-(510)920-5865
Rebecca Nguyen	9-(058)460-7304
Wanda Bell	6-(158)911-6827
Rebecca Sanders	0-(818)920-3676
Anna Johnston	9-(322)295-9552
Cynthia Ford	4-(471)132-7845
Marilyn Payne	1-(541)621-1703
Betty Warren	2-(104)009-8451
Debra Dean	9-(009)769-7806
Donna Martin	7-(814)762-8495
Sara Castillo	3-(246)483-3233
Ashley Nguyen	9-(433)720-9179
Kimberly Ellis	5-(067)685-8332
Lois Jordan	6-(163)282-1688
Robin Johnston	1-(342)883-5373
Beverly Mendoza	2-(318)267-1328
Pamela Boyd	5-(378)651-6152
Tammy Mendoza	2-(668)793-4577
Elizabeth Frazier	9-(116)919-5744
Shirley Reid	0-(522)760-3701
Karen Watson	2-(275)605-7277
Elizabeth Hayes	8-(595)357-9650
Christina Thompson	0-(811)808-8880
Annie Lopez	6-(795)419-4888
Patricia Brown	2-(795)425-6686
Gloria Ruiz	9-(906)144-9990
Emily Ford	4-(890)803-1593
Anna Jenkins	8-(890)872-9018
Diane Jordan	4-(554)506-6375
Karen Lee	5-(737)130-9359
Kimberly Hamilton	4-(524)223-8268
Jessica Torres	6-(808)584-3723
Anna Gray	4-(910)351-6441
Rose Perez	5-(042)901-4459
Alice Austin	9-(902)398-0499
Debra Wells	7-(062)958-7928
Annie Russell	7-(099)297-2892
Alice Washington	7-(554)600-2074
Sharon Thomas	6-(599)521-0393
Ruby Ruiz	7-(856)938-9142
Gloria Butler	1-(586)668-5891
Tammy Day	5-(673)165-7749
Ruby Henderson	6-(956)660-2760
Sandra Williams	9-(278)521-7568
Judith Nichols	7-(294)023-5621
Evelyn Morris	2-(490)618-5140
Cynthia Perez	4-(850)656-5932
Ashley White	9-(194)058-6231
Stephanie Wright	9-(908)009-5959
Michelle Long	0-(727)679-7872
Diana Burns	1-(881)594-5713
Laura Morris	3-(367)936-2137
Beverly Moreno	7-(365)740-6930
Evelyn Montgomery	8-(996)327-3835
Cynthia Adams	1-(889)786-4415
Irene Hernandez	8-(063)232-8271
Sarah Hunter	9-(128)549-6733
Barbara Rodriguez	7-(534)215-0545
Marilyn Thompson	8-(915)462-8278
Angela Chavez	0-(886)278-0340
Martha Diaz	4-(759)141-9585
Doris Kelly	3-(592)816-8566
Katherine Mills	0-(084)533-2283
Susan Watkins	5-(151)350-1311
Emily Schmidt	7-(667)131-5127
Jessica Alexander	3-(564)850-2838
Amanda Fuller	7-(440)392-5306
Sarah Green	9-(108)170-0405
Frances Bishop	8-(228)425-7886
Lisa Garcia	8-(294)523-5583
Julie Morrison	7-(795)084-6914
Amanda Ray	8-(443)220-7380
Kathleen Allen	8-(786)601-2519
Norma Lawson	2-(496)401-1305
Catherine Lewis	0-(045)997-1791
Jessica Rose	1-(659)747-9203
Donna Moore	3-(023)687-6491
Tina Hudson	0-(158)114-1775
Maria Gardner	2-(800)822-9627
Judy Nguyen	7-(467)465-9428
Joyce Harrison	9-(368)450-2438
Shirley Powell	3-(728)622-2613
Cheryl Kim	0-(355)459-0629
Judy Wheeler	5-(425)273-8609
Sandra Bishop	1-(941)727-9443
Lori Thompson	7-(884)752-5736
Ann Ray	6-(430)645-8927
Tina Thomas	9-(956)720-6032
Jessica Fernandez	8-(572)133-7438
Emily Fox	8-(361)470-5046
Betty Simpson	3-(335)545-8213
Katherine Davis	4-(312)287-5551
Kathryn Cruz	2-(834)938-5910
Beverly Roberts	2-(528)835-0205
Irene Dixon	4-(189)701-0052
Patricia Dunn	3-(330)795-7290
Andrea Graham	1-(190)872-4920
Joan Fisher	4-(111)649-2631
Ruth Powell	3-(040)040-2030
Betty Jenkins	7-(523)794-7553
Jacqueline Cole	9-(706)269-2110
Cynthia Kelly	1-(336)373-8851
Judith Miller	6-(339)734-0506
Julia Day	8-(603)115-0157
Judith Hernandez	9-(514)332-7917
Joan Wilson	7-(864)037-2984
Pamela Edwards	0-(867)392-8482
Kathryn James	2-(007)721-9859
Katherine Moore	5-(604)335-4924
Evelyn Murphy	9-(495)175-8470
Christine Mccoy	1-(486)215-2493
Barbara Olson	4-(058)359-6007
Cheryl Hunt	5-(968)789-9016
Deborah Harper	3-(376)808-6841
Christina Martin	1-(468)277-6985
Ashley Jones	7-(056)084-9192
Nicole Moreno	3-(736)536-9721
Jessica Romero	6-(933)755-8999
Shirley Burke	1-(982)543-7675
Ashley Berry	0-(603)120-6932
Susan Mitchell	5-(368)424-6317
Phyllis Vasquez	5-(183)334-0167
Melissa Jones	9-(769)840-0575
Paula Mitchell	9-(183)553-6520
Kimberly Garcia	1-(981)579-0699
Marilyn Hansen	3-(640)531-9966
Stephanie Cruz	9-(025)706-1506
Jane Armstrong	7-(408)945-8038
Alice Medina	5-(661)429-7811
Norma Butler	2-(824)969-2041
Sarah Weaver	7-(503)358-0221
Susan Evans	9-(432)714-9207
Kelly Vasquez	0-(021)291-7813
Teresa Berry	8-(538)818-3658
Ann Knight	7-(712)234-0354
Jean Henry	9-(924)216-9867
Rachel Montgomery	2-(503)290-8546
Mary Murray	5-(472)238-7267
Deborah Little	9-(042)573-8028
Jennifer Harrison	7-(456)143-6212
Margaret Willis	0-(186)029-9197
Virginia Bennett	1-(840)866-1049
Emily Green	2-(757)363-5813
Barbara White	4-(974)965-6495
Michelle King	7-(442)183-6895
Christina Welch	4-(940)238-1481
Rose Wallace	0-(666)275-7461
Paula Brown	7-(206)002-8237
Sara Grant	1-(593)498-6028
Tammy Bennett	2-(952)948-1475
Kathleen Lawrence	9-(276)691-6128
Anna Sanchez	2-(798)807-5173
Beverly Perez	0-(030)210-7780
Mary Daniels	3-(552)483-6817
Amy Martin	5-(295)814-6951
Susan Dunn	2-(257)360-8558
Helen Grant	8-(633)851-7408
Margaret Miller	7-(165)054-4216
Susan Gibson	9-(588)495-7325
Judy Peters	6-(860)608-9143
Denise Gordon	1-(060)740-4584
Phyllis Hernandez	3-(932)618-9842
Amanda Walker	8-(443)341-1803
Theresa Gray	7-(969)075-5672
Pamela Reid	9-(161)715-5774
Doris Sanders	6-(716)372-0858
Tina Smith	0-(401)996-0249
Sarah Armstrong	6-(601)765-4204
Sara Ramos	7-(751)187-7781
Cheryl Richardson	8-(847)349-2921
Anna Stanley	3-(382)738-2759
Anne Henry	9-(647)127-2333
Marie Stevens	7-(999)597-8211
Anna Green	5-(828)467-3446
Diane Morrison	2-(183)506-8838
Pamela Banks	9-(954)452-2597
Nicole Long	3-(792)232-4988
Tammy Bell	0-(457)508-7828
Kathy Butler	7-(083)003-6263
Kathy Mitchell	4-(324)335-1774
Ruth Bradley	2-(088)895-6868
Teresa Graham	2-(486)674-2424
Julie Gardner	4-(562)714-4298
Mary Stephens	0-(610)303-5704
Rose Arnold	6-(514)109-7165
Frances Hernandez	0-(751)940-7609
Cheryl Graham	0-(991)575-1359
Dorothy Kelly	1-(964)156-8742
Jennifer Ferguson	9-(704)614-9541
Carol Carter	0-(186)275-3714
Virginia Ortiz	1-(276)944-1138
Jessica Ford	5-(904)006-4428
Frances Richardson	9-(273)604-8748
Marilyn Wallace	9-(717)908-8901
Christine Rogers	3-(882)655-5061
Sara Jackson	1-(614)712-9759
Kelly Long	0-(889)989-9426
Teresa Tucker	6-(720)334-3482
Pamela Kelly	4-(148)037-2046
Heather Dean	0-(156)711-8618
Heather Stephens	0-(778)320-1445
Lori Richardson	2-(704)058-5549
Melissa Bailey	5-(951)792-7882
Margaret George	4-(587)274-9430
Tina Anderson	1-(529)910-8941
Marie Chavez	6-(135)448-5792
Diana Ward	4-(729)272-8849
Joan Berry	7-(371)131-3703
Margaret Reed	1-(377)369-3621
Sarah Hawkins	0-(067)738-7374
Norma Johnston	0-(615)652-0022
Kathleen Tucker	8-(316)547-3476
Norma Torres	8-(759)126-7687
Barbara Rose	8-(232)971-4013
Joan Henry	6-(911)005-6977
Heather Gonzales	1-(056)520-1653
Denise Rice	6-(765)420-0088
Brenda Elliott	9-(688)968-9955
Joyce Bailey	7-(402)690-3873
Patricia Baker	6-(531)784-5922
Irene Boyd	2-(767)966-5153
Kathy Davis	0-(225)209-5621
Susan Olson	7-(205)235-9285
Kathy Fernandez	2-(070)164-3435
Helen Washington	7-(357)758-4727
Mary Baker	3-(287)303-1606
Cheryl Carr	4-(339)448-5683
Virginia Spencer	3-(080)874-7759
Frances Romero	2-(607)621-2654
Michelle Kelley	5-(439)514-2731
Christina Cole	3-(786)092-1663
Judith Flores	9-(254)293-1376
Donna Weaver	5-(633)226-2738
Rachel Andrews	9-(287)905-1231
Susan Watkins	9-(704)008-8984
Teresa Carter	4-(986)389-3724
Elizabeth Harper	9-(431)937-7170
Angela Schmidt	1-(852)543-0723
Kathryn Jenkins	7-(234)549-7587
Ruth Reyes	4-(395)322-3994
Patricia Turner	7-(200)707-7398
Jessica White	9-(872)179-0617
Paula Sanders	6-(446)623-9631
Virginia Patterson	3-(153)116-7432
Lillian Palmer	1-(484)013-0296
Margaret Richards	7-(724)932-5834
Helen Wright	6-(750)791-7951
Sharon Turner	2-(893)420-4070
Amy King	4-(963)651-3686
Teresa Barnes	0-(052)361-0107
Jane Ortiz	4-(675)744-0386
Janet Mitchell	9-(194)421-2432
Robin Carter	2-(972)041-6506
Lillian Gibson	3-(231)997-3061
Patricia Spencer	0-(408)290-3947
Margaret Young	3-(748)410-1876
Tina Sanchez	8-(446)192-1743
Phyllis Welch	3-(643)400-7852
Diana Ward	0-(514)828-1835
Diane Webb	0-(589)876-7211
Lillian Lewis	4-(340)389-6778
Anne Willis	3-(589)150-3644
Marie Arnold	9-(843)788-1487
Teresa Gardner	8-(760)645-1951
Janice Stevens	6-(410)570-2863
Marie Montgomery	3-(635)277-3982
Heather Mitchell	7-(910)165-1571
Heather Franklin	5-(137)072-7108
Amanda Larson	0-(163)699-9691
Jean Perry	0-(906)682-5166
Gloria Lane	7-(203)379-7680
Ashley Gonzales	1-(703)052-3142
Angela Ramirez	2-(024)181-9910
Ruth Daniels	3-(965)233-1801
Martha Moreno	0-(968)333-6762
Irene Davis	9-(075)633-0144
Andrea Castillo	7-(335)851-7998
Bonnie Stewart	3-(559)407-0363
Virginia West	5-(296)291-5811
Rebecca Fuller	0-(587)597-9134
Alice Wilson	2-(094)535-0300
Linda Green	2-(319)543-7237
Angela Ward	2-(379)902-9214
Elizabeth Bell	2-(146)939-3455
Andrea Cook	8-(076)892-2425
Annie Dunn	1-(046)436-5690
Rachel Sanders	9-(561)397-6307
Julie Webb	3-(534)628-9733
Marie Lawson	6-(718)196-6852
Catherine Ruiz	4-(300)422-0950
Lori Fowler	8-(182)803-7439
Emily Freeman	2-(843)166-5714
Lois Gomez	0-(192)897-8660
Anne Cruz	3-(307)792-5274
Angela Patterson	7-(232)246-6519
Alice Coleman	2-(522)608-0324
Rachel Moore	9-(621)386-2786
Jane Hunt	0-(206)109-4265
Alice Bryant	4-(809)814-0668
Brenda Jones	7-(390)039-4861
Christine Webb	9-(589)047-9433
Julia Hayes	7-(554)061-8141
Andrea Wheeler	9-(264)956-1681
Lois Lewis	1-(191)994-6408
Virginia Flores	5-(293)625-1252
Alice Boyd	2-(005)636-9374
Norma Burns	3-(047)601-9517
Diane Perez	9-(068)460-5049
Margaret Myers	0-(495)039-8173
Kimberly Duncan	6-(372)429-4635
Doris Little	0-(556)966-3437
Janice Wallace	0-(689)465-2580
Lisa Gonzalez	8-(199)628-9728
Karen Ford	3-(464)109-8189
Lillian Garza	3-(675)029-3969
Brenda Hall	7-(591)495-5829
Norma Foster	7-(607)331-9861
Amy Watson	7-(197)882-8886
Pamela Arnold	1-(921)953-8418
Alice Murray	4-(796)120-3517
Pamela Garcia	7-(734)799-2434
Denise Smith	0-(378)924-4347
Carolyn Davis	1-(442)058-9921
Amanda Russell	0-(027)352-4376
Elizabeth Carpenter	0-(791)250-5380
Alice Graham	7-(667)907-1224
Pamela Carroll	2-(403)431-0348
Teresa Hicks	6-(104)642-4479
Lori Scott	5-(289)526-8014
Marie Burns	1-(026)648-6688
Gloria Elliott	5-(520)369-8366
Jacqueline Hart	3-(534)379-8117
Anne Howard	5-(864)120-0900
Carolyn Arnold	4-(385)423-4305
Annie Mendoza	2-(758)048-4248
Elizabeth Moreno	3-(905)518-5510
Doris Perez	3-(528)486-4302
Robin Wells	8-(323)431-0460
Carolyn Burton	3-(282)426-2807
Rebecca Campbell	5-(484)719-0429
Michelle Richards	0-(337)839-3205
Christina Cook	4-(725)968-0579
Judy Watkins	8-(871)183-8921
Christina Peterson	8-(786)634-6969
Tammy Snyder	7-(694)242-1418
Rose Jackson	9-(446)958-9583
Judith James	4-(090)436-1061
Bonnie Lopez	5-(162)528-7511
Sharon Ramos	1-(769)747-9229
Mary Cooper	3-(064)581-4673
Catherine Wagner	2-(382)234-3295
Annie Hernandez	0-(861)884-1054
Joan Hughes	7-(397)362-9729
Shirley Watkins	5-(987)110-1497
Jane Medina	7-(948)387-4069
Laura Porter	5-(677)657-9093
Anne Coleman	1-(057)058-3734
Lori Garza	2-(082)356-0745
Andrea Gonzalez	0-(304)144-4646
Joan Lee	8-(771)832-6516
Betty Jenkins	0-(532)438-1238
Elizabeth Sanders	8-(029)613-2984
Irene Powell	0-(788)998-6820
Robin Morales	2-(990)358-6964
Marilyn Crawford	3-(963)599-5003
Sarah Kennedy	4-(944)791-1818
Barbara Chapman	6-(500)789-9641
Sharon Ferguson	3-(435)606-7830
Kathleen Duncan	4-(215)399-9036
Robin Hayes	7-(098)550-1591
Marilyn Gordon	3-(163)215-2053
Christina Vasquez	3-(023)551-4792
Karen Hernandez	6-(818)796-6180
Carol Carpenter	4-(008)937-7621
Jean Brooks	6-(409)228-0468
Anne Garrett	2-(604)191-6627
Kathleen Ray	8-(048)597-6941
Kathleen Cunningham	0-(570)849-6226
Christine Clark	7-(770)697-7018
Julia Carter	0-(609)051-8005
Laura Williamson	1-(685)233-8717
Wanda Torres	4-(106)015-8257
Doris Parker	5-(052)504-0648
Christina Bailey	2-(982)529-3983
Ann Medina	2-(114)553-5035
Bonnie Lewis	0-(950)201-4143
Robin Cooper	8-(127)048-4656
Michelle Bennett	6-(302)030-2234
Judy Anderson	2-(005)241-2700
Julia Parker	8-(640)699-2260
Diane Sims	3-(406)557-0269
Rachel Phillips	7-(829)867-8950
Helen Hernandez	6-(228)518-3188
Ruth Jenkins	1-(195)445-7741
Helen Dixon	9-(598)726-3417
Lisa Robinson	0-(556)515-5881
Evelyn Ortiz	7-(739)484-8368
Pamela Wallace	4-(680)764-5209
Laura Powell	8-(486)828-4797
Annie Schmidt	0-(221)674-7080
Linda Garrett	6-(713)833-7717
Joan Lewis	9-(099)923-4159
Frances White	9-(901)701-3474
Tammy Chavez	3-(605)104-4404
Lillian Sullivan	5-(124)108-0321
Phyllis Lopez	7-(025)900-7874
Carol Howard	1-(035)069-9080
Ann Spencer	5-(304)309-4716
Brenda Butler	4-(429)662-6886
Tina Arnold	3-(058)293-5466
Janet Moore	6-(680)032-1991
Diane Young	2-(448)410-9750
Jacqueline Ramirez	3-(078)646-5705
Janet Lynch	1-(163)815-2761
Barbara Palmer	1-(788)832-5192
Judy Moreno	8-(578)256-7974
Frances Fields	7-(420)766-8431
Carolyn Willis	3-(470)443-9209
Lois Lane	9-(833)956-4832
Lori Morrison	3-(186)156-2312
Rose Garza	3-(919)497-0090
Anna Young	7-(331)491-9764
Sara Morris	2-(813)592-4148
Denise Duncan	9-(702)249-6909
Joan Kelley	8-(713)048-7289
Frances Torres	8-(662)439-7916
Ashley Simmons	0-(021)033-3828
Gloria Burton	9-(001)370-4199
Paula Dunn	4-(872)558-6177
Rebecca Fowler	1-(264)047-5915
Judith Bishop	4-(089)454-4126
Laura Moreno	3-(546)130-6721
Robin Gray	0-(322)177-4840
Debra Oliver	1-(653)731-0712
Tammy Medina	5-(221)651-4649
Catherine Fowler	2-(174)411-2171
Carol Roberts	7-(589)158-3804
Brenda Ryan	8-(614)078-2040
Emily Cole	5-(372)115-8869
Janice Hughes	3-(117)562-2765
Paula West	6-(193)904-5873
Cheryl Perez	9-(614)175-5112
Christina Elliott	8-(686)829-5251
Michelle Ortiz	7-(536)904-0969
Shirley Fisher	8-(934)526-9575
Beverly Hayes	7-(451)508-7435
Brenda Price	0-(624)030-2487
Maria Perez	7-(825)849-4185
Ashley Banks	4-(305)208-5676
Norma Williamson	3-(412)259-1896
Virginia Perez	3-(506)040-7206
Marie Adams	5-(666)488-4764
Sharon Kelley	5-(849)096-2902
Joan Gilbert	7-(117)663-3259
Sarah Coleman	1-(446)068-3954
Julia Gordon	1-(562)729-7695
Kathleen Thompson	8-(623)014-7808
Jacqueline Lewis	0-(440)345-8702
Ann Johnson	8-(431)465-0879
Kelly Campbell	2-(853)342-5812
Elizabeth Wheeler	1-(076)281-6501
Christine Johnson	7-(120)218-7764
Mildred Little	9-(740)107-3278
Pamela Arnold	0-(514)313-0266
Kelly Carpenter	1-(852)855-2140
Kathryn Mitchell	2-(430)572-9205
Norma Thomas	4-(582)238-6050
Rebecca Hansen	3-(394)818-3824
Melissa Larson	9-(768)385-1223
Julie Daniels	3-(075)808-2357
Brenda Edwards	4-(614)193-1726
Angela Rivera	9-(041)743-4738
Doris Gutierrez	7-(863)488-5918
Kimberly Russell	4-(259)531-2573
Amy Taylor	0-(824)188-9042
Cheryl Dunn	9-(452)205-5590
Anna Bowman	3-(963)794-6043
Judith Nichols	5-(257)985-2831
Bonnie Long	0-(772)073-5700
Joan Freeman	4-(607)938-6860
Judy Arnold	7-(761)377-9203
Louise Lawrence	7-(093)152-6248
Frances Long	1-(342)242-0242
Evelyn Allen	1-(550)051-7175
Carolyn Matthews	4-(172)018-4567
Doris Price	0-(558)079-9897
Kimberly Duncan	6-(203)122-0061
Shirley Campbell	0-(080)394-4665
Joyce George	7-(829)821-2378
Kimberly Brooks	3-(223)869-6149
Norma Armstrong	4-(632)346-4743
Nancy Frazier	8-(344)179-9048
Cheryl Lewis	3-(155)648-2807
Kimberly Woods	2-(490)962-6378
Mary Little	9-(209)569-7748
Diane Garcia	8-(602)465-5630
Evelyn Castillo	7-(188)566-7170
Barbara Simmons	0-(930)178-2927
Ruth Hansen	5-(038)175-0915
Lisa Peterson	9-(587)693-8951
Rose Harris	5-(518)461-7664
Michelle Mcdonald	7-(079)216-0927
Donna Chavez	9-(905)187-1268
Diana Mccoy	3-(079)571-4231
Ashley Nichols	3-(262)654-9832
Joyce Powell	9-(238)001-3682
Sarah Rivera	5-(192)529-7139
Debra Palmer	3-(483)566-4551
Annie Parker	1-(891)558-6667
Julie Moore	1-(410)428-6813
Shirley Carter	9-(937)314-3972
Alice Anderson	6-(865)270-1397
Angela Franklin	8-(689)912-0371
Carolyn Frazier	0-(189)889-5163
Michelle Fisher	2-(478)775-1462
Judith Simpson	3-(483)682-4455
Tammy Lawrence	0-(460)383-9368
Ruby Miller	7-(691)189-9111
Marilyn Reyes	4-(087)217-2273
Jane Wright	3-(018)290-4515
Lois Webb	0-(824)997-4952
Barbara Fernandez	8-(650)826-2991
Joan Weaver	3-(456)318-3894
Nicole Morgan	2-(390)418-2480
Mildred Nelson	8-(843)478-9242
Rose Taylor	6-(232)245-9408
Janet Phillips	1-(512)217-0936
Joyce Day	5-(999)053-0493
Margaret Mcdonald	6-(196)667-6728
Nancy Stewart	8-(904)015-1545
Julia Thomas	2-(849)514-6992
Rachel Alexander	9-(564)075-4365
Heather Wells	1-(177)607-7426
Phyllis Green	0-(670)999-5002
Deborah Burke	0-(827)975-1399
Virginia Gordon	8-(528)523-0152
Cheryl Mitchell	7-(548)046-9573
Christina Cole	6-(522)907-0603
Heather Day	9-(464)837-7513
Rachel Torres	5-(851)640-5581
Theresa Chavez	4-(645)220-6521
Helen Hansen	8-(237)915-7293
Helen Henderson	9-(698)377-0656
Shirley Thomas	1-(316)912-2027
Maria Alexander	9-(566)139-9774
Rachel Wells	5-(514)235-5782
Brenda Adams	3-(969)214-7761
Lois Wells	1-(042)289-6306
Joan Garza	9-(180)686-9606
Teresa Gibson	6-(771)616-5425
Mildred Kelly	4-(639)737-9801
Virginia Mccoy	7-(862)906-1614
Nicole Morris	2-(285)028-9840
Amanda Young	3-(838)777-1823
Linda Palmer	4-(611)477-5205
Marie Sanders	2-(038)246-4053
Helen Grant	4-(787)491-5718
Jacqueline Miller	6-(084)628-0552
